session,opening_minutes,bins,reload_zone,minimum_breakout_relative_volume,acceptance_closes,retest_bars,stop_mode,reward_risk,management,no_progress_minutes,score,train_pf,train_return,train_trades,validation_pf,validation_return,validation_trades
new_york_0930,30,48,vah,0.0,2,6,opposite_value_area,2.0,none,60,0.29602187963770393,1.801200686644931,12.86771222963039,39,1.7213369489479695,7.00533118723059,23
new_york_0930,30,24,vah,0.0,2,6,opposite_value_area,2.0,trail_1_5r,90,0.29422972668169517,1.6979976640239576,11.138579025349848,36,2.124356682687608,8.91350676435454,20
new_york_0930,30,24,vah,0.0,2,6,opposite_value_area,2.0,be_1r,90,0.2933929377439945,1.7439162725613508,11.105207494786985,36,2.0219148274649923,8.054658530175086,20
new_york_0930,60,24,vah,0.0,2,6,opposite_value_area,3.0,trail_1_5r,0,0.2926165893780043,2.081502246722588,11.624141840708923,37,1.9751352035307652,4.438186094920504,15
new_york_0930,60,48,vah,0.0,2,6,opposite_value_area,2.0,none,0,0.2913085372071138,2.1250652103025707,10.356545400848315,34,2.4722999618136883,5.334387266150786,14
new_york_0930,30,24,vah,0.0,2,6,opposite_opening_range,3.0,be_1r,0,0.2882477690702342,1.9723850594714074,10.85738536394556,36,3.2582659470399977,14.625213544973303,20
new_york_0930,60,48,vah,0.0,2,6,opposite_opening_range,1.5,none,0,0.2881946428630786,3.4115859199862846,10.845086553944139,34,2.7393774264524695,4.099746767604295,14
new_york_0930,60,48,vah,0.0,2,6,opposite_opening_range,1.5,be_1r,0,0.2881946428630786,4.443711923450456,11.964733892872935,34,2.7393774264524695,4.099746767604295,14
new_york_0930,60,48,vah,0.0,2,6,opposite_opening_range,1.5,trail_1_5r,0,0.2881946428630786,3.4115859199862846,10.845086553944139,34,2.7393774264524695,4.099746767604295,14
new_york_0930,30,24,vah,0.0,2,6,opposite_value_area,3.0,none,0,0.28769664995666694,1.5960442288536145,10.772918115141895,36,2.184109278553965,11.270935936244332,20
