server_time,event,detail,bias,zone_dir,zone_origin,zone_created,zone_low,zone_high,touch_time,held_at,hold_extreme,m5_high_time,m5_high,m5_low_time,m5_low,entry,stop,target,lots,risk_cash,equity
2026.06.29 13:50:00,held,at least two rejection wicks in three closed M5 bars,-1,-1,2026.06.29 05:00:00,2026.06.29 10:00:00,4039.309,4052.421,2026.06.29 10:10:00,2026.06.29 13:50:00,4044.164,,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,9575.97
2026.06.29 18:50:00,signal,confirmed M5 low-high-low break,-1,-1,2026.06.29 05:00:00,2026.06.29 10:00:00,4039.309,4052.421,2026.06.29 10:10:00,2026.06.29 13:50:00,4044.164,2026.06.29 18:15:00,4025.339,2026.06.29 17:55:00,4019.277,4016.172,4025.34,3997.836,0.11,100.848,9575.97
2026.06.29 18:50:00,accepted,10,-1,-1,2026.06.29 05:00:00,2026.06.29 10:00:00,4039.309,4052.421,2026.06.29 10:10:00,2026.06.29 13:50:00,4044.164,2026.06.29 18:15:00,4025.339,2026.06.29 17:55:00,4019.277,4016.172,4025.34,3997.836,0.11,100.848,9574.92
2026.06.29 18:50:00,fill,10,-1,-1,2026.06.29 05:00:00,2026.06.29 10:00:00,4039.309,4052.421,2026.06.29 10:10:00,2026.06.29 13:50:00,4044.164,2026.06.29 18:15:00,4025.339,2026.06.29 17:55:00,4019.277,4016.172,4025.34,3997.836,0.11,0.0,9574.92
2026.06.30 00:00:00,bias,last fourteen completed daily candles,-1,-1,2026.06.29 05:00:00,2026.06.29 10:00:00,4039.309,4052.421,2026.06.29 10:10:00,2026.06.29 13:50:00,4044.164,2026.06.29 18:15:00,4025.339,2026.06.29 17:55:00,4019.277,0.0,0.0,0.0,0.0,0.0,9587.04
2026.06.30 00:37:32,exit,5,-1,-1,2026.06.29 05:00:00,2026.06.29 10:00:00,4039.309,4052.421,2026.06.29 10:10:00,2026.06.29 13:50:00,4044.164,2026.06.29 18:15:00,4025.339,2026.06.29 17:55:00,4019.277,3997.771,0.0,0.0,0.11,0.0,9777.77
2026.06.30 14:25:00,invalidate,M5 close through far edge,-1,-1,2026.06.29 05:00:00,2026.06.29 10:00:00,4039.309,4052.421,2026.06.29 10:10:00,2026.06.29 13:50:00,4044.164,2026.06.29 18:15:00,4025.339,2026.06.29 17:55:00,4019.277,0.0,0.0,0.0,0.0,0.0,9777.77
2026.06.30 22:00:30,zone,H1 low-high-break,-1,-1,2026.06.30 12:00:00,2026.06.30 21:00:00,4008.664,4009.889,,,0.0,,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,9777.77
2026.06.30 22:05:00,invalidate,M5 close through far edge,-1,-1,2026.06.30 12:00:00,2026.06.30 21:00:00,4008.664,4009.889,,,0.0,,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,9777.77
2026.07.01 00:00:00,bias,last fourteen completed daily candles,-1,0,,,0.0,0.0,,,0.0,,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,9777.77
2026.07.02 00:00:00,bias,last fourteen completed daily candles,-1,0,,,0.0,0.0,,,0.0,,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,9777.77
2026.07.03 00:00:00,bias,last fourteen completed daily candles,-1,0,,,0.0,0.0,,,0.0,,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,9777.77
2026.07.03 14:00:00,zone,H1 low-high-break,-1,-1,2026.07.03 09:00:00,2026.07.03 14:00:00,4168.373,4172.163,,,0.0,,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,9777.77
2026.07.03 14:55:00,touch,first completed M5 touch,-1,-1,2026.07.03 09:00:00,2026.07.03 14:00:00,4168.373,4172.163,2026.07.03 14:50:00,,0.0,,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,9777.77
2026.07.03 15:15:00,invalidate,M5 close through far edge,-1,-1,2026.07.03 09:00:00,2026.07.03 14:00:00,4168.373,4172.163,2026.07.03 14:50:00,,0.0,,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,9777.77
2026.07.05 22:01:31,bias,last fourteen completed daily candles,-1,0,,,0.0,0.0,,,0.0,,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,9777.77
2026.07.06 00:00:00,bias,last fourteen completed daily candles,-1,0,,,0.0,0.0,,,0.0,,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,9777.77
2026.07.06 06:00:00,zone,H1 low-high-break,-1,-1,2026.07.03 14:00:00,2026.07.06 06:00:00,4155.284,4164.631,,,0.0,,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,9777.77
2026.07.06 06:30:00,touch,first completed M5 touch,-1,-1,2026.07.03 14:00:00,2026.07.06 06:00:00,4155.284,4164.631,2026.07.06 06:25:00,,0.0,,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,9777.77
2026.07.06 07:50:00,invalidate,M5 close through far edge,-1,-1,2026.07.03 14:00:00,2026.07.06 06:00:00,4155.284,4164.631,2026.07.06 06:25:00,,0.0,,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,9777.77
2026.07.06 10:00:00,zone,H1 low-high-break,-1,-1,2026.07.06 05:00:00,2026.07.06 10:00:00,4144.725,4148.158,,,0.0,,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,9777.77
2026.07.06 10:05:00,touch,first completed M5 touch,-1,-1,2026.07.06 05:00:00,2026.07.06 10:00:00,4144.725,4148.158,2026.07.06 10:00:00,,0.0,,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,9777.77
2026.07.06 10:15:00,invalidate,M5 close through far edge,-1,-1,2026.07.06 05:00:00,2026.07.06 10:00:00,4144.725,4148.158,2026.07.06 10:00:00,,0.0,,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,9777.77
2026.07.07 00:00:00,bias,last fourteen completed daily candles,-1,0,,,0.0,0.0,,,0.0,,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,9777.77
2026.07.07 05:00:00,zone,H1 low-high-break,-1,-1,2026.07.06 14:00:00,2026.07.07 05:00:00,4128.561,4138.104,,,0.0,,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,9777.77
2026.07.07 05:10:00,touch,first completed M5 touch,-1,-1,2026.07.06 14:00:00,2026.07.07 05:00:00,4128.561,4138.104,2026.07.07 05:05:00,,0.0,,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,9777.77
2026.07.07 05:35:00,held,at least two rejection wicks in three closed M5 bars,-1,-1,2026.07.06 14:00:00,2026.07.07 05:00:00,4128.561,4138.104,2026.07.07 05:05:00,2026.07.07 05:35:00,4128.831,,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,9777.77
2026.07.07 08:30:00,invalidate,M5 close through far edge,-1,-1,2026.07.06 14:00:00,2026.07.07 05:00:00,4128.561,4138.104,2026.07.07 05:05:00,2026.07.07 05:35:00,4128.831,2026.07.07 08:10:00,4139.494,2026.07.07 08:00:00,4124.274,0.0,0.0,0.0,0.0,0.0,9777.77
2026.07.08 00:00:00,bias,last fourteen completed daily candles,-1,0,,,0.0,0.0,,,0.0,,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,9777.77
2026.07.08 09:00:00,zone,H1 low-high-break,-1,-1,2026.07.07 19:00:00,2026.07.08 09:00:00,4092.154,4114.128,,,0.0,,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,9777.77
2026.07.08 16:00:00,zone,H1 low-high-break,-1,-1,2026.07.08 10:00:00,2026.07.08 16:00:00,4040.373,4043.529,,,0.0,,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,9777.77
2026.07.08 16:10:00,touch,first completed M5 touch,-1,-1,2026.07.08 10:00:00,2026.07.08 16:00:00,4040.373,4043.529,2026.07.08 16:05:00,,0.0,,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,9777.77
2026.07.08 16:20:00,held,at least two rejection wicks in three closed M5 bars,-1,-1,2026.07.08 10:00:00,2026.07.08 16:00:00,4040.373,4043.529,2026.07.08 16:05:00,2026.07.08 16:20:00,4043.139,,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,9777.77
2026.07.08 16:30:00,invalidate,M5 close through far edge,-1,-1,2026.07.08 10:00:00,2026.07.08 16:00:00,4040.373,4043.529,2026.07.08 16:05:00,2026.07.08 16:20:00,4043.139,,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,9777.77
