weekend_open,side,source,reference_time,entry_time,exit_time,pending_price,fill_price,stop_loss,take_profit,exit_price,result_r,outcome,spread_usd_at_entry
2026-03-30T01:00:00+00:00,SELL,friday,2026-03-27T23:49:00+00:00,2026-03-27T23:51:00+00:00,2026-03-30T06:23:00+00:00,4495.99,4495.99,4515.99,4415.99,4515.99,-1.0,SL,0.25
2026-04-13T01:00:00+00:00,SELL,friday,2026-04-10T23:49:00+00:00,2026-04-10T23:53:00+00:00,2026-04-13T01:09:00+00:00,4747.93,4747.93,4767.93,4667.93,4667.93,4.0,TP,0.25
2026-04-20T01:00:00+00:00,SELL,friday,2026-04-17T23:49:00+00:00,2026-04-17T23:51:00+00:00,2026-04-20T02:43:00+00:00,4831.53,4831.53,4851.53,4751.53,4751.53,4.0,TP,0.25
2026-04-27T01:00:00+00:00,SELL,reopen,2026-04-24T23:49:00+00:00,2026-04-27T01:00:00+00:00,2026-04-27T06:41:00+00:00,4705.55,4699.03,4725.55,4625.55,4725.55,-1.326,SL,0.25
2026-05-04T01:00:00+00:00,BUY,friday,2026-05-01T23:49:00+00:00,2026-05-01T23:50:00+00:00,2026-05-04T04:26:00+00:00,4615.48,4615.48,4595.48,4695.48,4595.48,-1.0,SL,0.25
2026-05-11T01:00:00+00:00,SELL,reopen,2026-05-08T23:49:00+00:00,2026-05-11T01:00:00+00:00,2026-05-11T12:59:00+00:00,4713.32,4682.91,4733.32,4633.32,4656.95,1.298,TIME,0.25
2026-05-18T01:00:00+00:00,SELL,friday,2026-05-15T23:49:00+00:00,2026-05-15T23:50:00+00:00,2026-05-18T10:30:00+00:00,4536.68,4536.68,4556.68,4456.68,4556.68,-1.0,SL,0.25
2026-05-25T01:00:00+00:00,BUY,reopen,2026-05-22T23:49:00+00:00,2026-05-25T01:00:00+00:00,2026-05-25T12:59:00+00:00,4509.45,4537.04,4489.45,4589.45,4567.55,1.5255,TIME,0.25
2026-06-01T01:00:00+00:00,SELL,friday,2026-05-29T23:49:00+00:00,2026-05-29T23:53:00+00:00,2026-06-01T12:57:00+00:00,4539.93,4539.93,4559.93,4459.93,4496.45,2.174,TIME,0.25
2026-06-08T01:00:00+00:00,SELL,reopen,2026-06-05T23:49:00+00:00,2026-06-08T01:00:00+00:00,2026-06-08T02:55:00+00:00,4325.4,4323.49,4345.4,4245.4,4345.4,-1.0955,SL,0.25
2026-06-15T01:00:00+00:00,BUY,friday,2026-06-12T23:49:00+00:00,2026-06-12T23:50:00+00:00,2026-06-15T01:03:00+00:00,4216.82,4216.82,4196.82,4296.82,4296.82,4.0,TP,0.25
2026-06-22T01:00:00+00:00,BUY,friday,2026-06-19T19:54:00+00:00,2026-06-19T19:56:00+00:00,2026-06-22T12:55:00+00:00,4154.12,4154.12,4134.12,4234.12,4209.05,2.7465,TIME,0.25
2026-06-29T01:00:00+00:00,BUY,friday,2026-06-26T23:49:00+00:00,2026-06-26T23:52:00+00:00,2026-06-29T01:18:00+00:00,4077.31,4077.31,4057.31,4157.31,4057.31,-1.0,SL,0.42
2026-07-06T01:00:00+00:00,BUY,reopen,2026-07-03T19:54:00+00:00,2026-07-06T01:00:00+00:00,2026-07-06T08:03:00+00:00,4176.98,4188.49,4156.98,4256.98,4156.98,-1.5755,SL,0.25
2026-07-13T01:00:00+00:00,BUY,friday,2026-07-10T23:49:00+00:00,2026-07-10T23:53:00+00:00,2026-07-13T01:00:00+00:00,4115.4,4115.4,4095.4,4195.4,4095.4,-1.0,SL,0.25
2026-07-20T01:00:00+00:00,BUY,friday,2026-07-17T23:49:00+00:00,2026-07-17T23:51:00+00:00,2026-07-20T01:03:00+00:00,4017.46,4017.46,3997.46,4097.46,3997.46,-1.0,SL,0.25
2026-07-27T01:00:00+00:00,BUY,reopen,2026-07-24T23:49:00+00:00,2026-07-27T01:00:00+00:00,2026-07-27T12:59:00+00:00,4056.38,4087.13,4036.38,4136.38,4096.16,0.4515,TIME,0.25
