slug,label,mode,period,from,to,old_trade_coverage_from,old_trade_coverage_to,new_trade_coverage_from,new_trade_coverage_to,old_history_quality,new_history_quality,old_return_pct,new_return_pct,delta_return_pct,old_profit_factor,new_profit_factor,delta_profit_factor,old_win_rate_pct,new_win_rate_pct,delta_win_rate_pct,old_max_drawdown_pct,new_max_drawdown_pct,delta_max_drawdown_pct,old_trades,new_trades,delta_trades,old_commission,new_commission,delta_commission,old_swap,new_swap,delta_swap,old_total_costs,new_total_costs,delta_total_costs
us100-orb-new-york-m30,US100 ORB New York M30,standard,3y,2023-09-05,2026-09-05,2023-09-12T14:30:00,2026-08-10T16:44:13,2025-06-26T14:30:00,2026-08-10T16:44:13,98%,100%,36.94,8.55,-28.39,2.15,1.88,-0.27,50.79,50.0,-0.79,4.77,4.26,-0.51,63,16,-47.0,-58.57,-7.17,51.4,-14.05,0.0,14.05,-72.62,-7.17,65.45
us100-orb-new-york-m30,US100 ORB New York M30,standard,5y,2021-09-05,2026-09-05,2021-09-07T16:00:00,2026-08-10T16:44:13,2025-06-26T14:30:00,2026-08-10T16:44:13,98%,100%,40.09,8.55,-31.54,1.78,1.88,0.1,48.96,50.0,1.04,8.02,4.26,-3.76,96,16,-80.0,-92.65,-7.17,85.48,-14.4,0.0,14.4,-107.05,-7.17,99.88
us100-selective-orb-v3,US100 Selective ORB V3,standard,6m,2026-03-05,2026-09-05,2026-03-06T15:15:00,2026-09-02T19:55:00,2026-03-06T15:15:00,2026-09-02T19:55:00,100%,100%,-0.74,0.25,0.99,0.74,1.13,0.39,66.67,66.67,0.0,3.7,2.77,-0.93,3,3,0.0,-1.07,-0.55,0.52,-9.42,-9.37,0.05,-10.49,-9.92,0.57
us100-selective-orb-v3,US100 Selective ORB V3,standard,1y,2025-09-05,2026-09-05,2025-11-20T16:10:00,2026-09-02T19:55:00,2025-11-20T16:10:00,2026-09-02T19:55:00,100%,100%,1.75,2.74,0.99,1.6,2.42,0.82,80.0,80.0,0.0,3.68,2.75,-0.93,5,5,0.0,-1.66,-0.84,0.82,-9.6,-9.54,0.06,-11.26,-10.38,0.88
us100-selective-orb-v3,US100 Selective ORB V3,standard,3y,2023-09-05,2026-09-05,2023-09-20T15:00:00,2026-09-02T19:55:00,2025-06-25T15:10:00,2026-09-02T19:55:00,98%,100%,6.11,2.65,-3.46,2.17,1.9,-0.27,55.0,75.0,20.0,3.66,2.75,-0.91,20,8,-12.0,-12.4,-1.96,10.44,-9.96,-9.54,0.42,-22.36,-11.5,10.86
us100-selective-orb-v3,US100 Selective ORB V3,standard,5y,2021-09-05,2026-09-05,2022-02-11T16:15:00,2026-09-02T19:55:00,2025-06-25T15:10:00,2026-09-02T19:55:00,98%,100%,17.2,2.65,-14.55,3.16,1.9,-1.26,67.65,75.0,7.35,3.67,2.75,-0.92,34,8,-26.0,-22.49,-1.96,20.53,-11.02,-9.54,1.48,-33.51,-11.5,22.01
usdjpy-london-open-momentum,USDJPY London Open Momentum,standard,6m,2026-03-05,2026-09-05,2026-03-04T09:00:00,2026-08-28T14:00:32,2026-03-06T09:00:00,2026-09-04T12:50:42,100%,100%,7.4,6.48,-0.92,1.36,1.28,-0.08,53.03,51.47,-1.56,10.14,10.14,0.0,66,68,2.0,-84.72,-85.57,-0.85,0.0,0.0,0.0,-84.72,-85.57,-0.85
usdjpy-london-open-momentum,USDJPY London Open Momentum,standard,1y,2025-09-05,2026-09-05,2025-09-03T08:00:00,2026-08-28T14:00:32,2025-09-05T08:00:00,2026-09-04T12:50:42,100%,100%,12.72,11.76,-0.96,1.33,1.29,-0.04,51.85,51.47,-0.38,10.13,10.13,0.0,135,136,1.0,-139.1,-139.37,-0.27,0.0,0.0,0.0,-139.1,-139.37,-0.27
usdjpy-london-open-momentum,USDJPY London Open Momentum,standard,3y,2023-09-05,2026-09-05,2023-09-01T08:00:00,2026-08-28T14:00:32,2023-09-21T08:00:00,2026-09-04T12:50:42,100%,37%,77.92,69.19,-8.73,1.44,1.38,-0.06,52.67,50.49,-2.18,12.0,13.32,1.32,412,410,-2.0,-472.98,-457.11,15.87,0.0,0.0,0.0,-472.98,-457.11,15.87
usdjpy-london-open-momentum,USDJPY London Open Momentum,standard,5y,2021-09-05,2026-09-05,2021-09-01T08:00:00,2026-08-28T14:00:32,2021-09-23T08:00:00,2026-09-04T12:50:42,100%,22%,178.41,132.67,-45.74,1.46,1.37,-0.09,53.97,50.57,-3.4,12.12,13.31,1.19,693,696,3.0,-974.5,-853.57,120.93,0.0,0.0,0.0,-974.5,-853.57,120.93
xau-elliott-wave-1-2-3,XAU Elliott Wave 1-2-3,standard,6m,2026-03-05,2026-09-05,2026-03-18T20:00:00,2026-08-13T19:15:01,2026-03-18T20:00:00,2026-08-11T05:30:37,100%,100%,7.39,7.23,-0.16,1.9,1.86,-0.04,40.0,40.0,0.0,3.98,4.12,0.14,15,15,0.0,-1.84,-1.29,0.55,0.0,-1.07,-1.07,-1.84,-2.36,-0.52
xau-elliott-wave-1-2-3,XAU Elliott Wave 1-2-3,standard,1y,2025-09-05,2026-09-05,2025-09-05T16:00:00,2026-08-13T19:15:01,2025-09-05T16:00:00,2026-08-11T05:30:37,99%,99%,23.82,23.69,-0.13,3.15,3.09,-0.06,54.17,54.17,0.0,3.77,4.04,0.27,24,24,0.0,-3.24,-2.25,0.99,0.0,-56.25,-56.25,-3.24,-58.5,-55.26
xau-elliott-wave-1-2-3,XAU Elliott Wave 1-2-3,standard,3y,2023-09-05,2026-09-05,2023-09-26T04:00:00,2026-08-19T14:24:40,2023-09-26T04:00:00,2026-08-19T14:24:39,98%,35%,69.85,55.27,-14.58,2.47,2.11,-0.36,45.71,44.29,-1.42,6.83,7.87,1.04,70,70,0.0,-28.41,-18.23,10.18,0.0,-428.84,-428.84,-28.41,-447.07,-418.66
xau-elliott-wave-1-2-3,XAU Elliott Wave 1-2-3,standard,5y,2021-09-05,2026-09-05,2021-09-07T16:00:00,2026-08-19T14:24:40,2021-09-07T16:00:00,2026-08-19T14:24:39,98%,20%,72.3,48.37,-23.93,1.88,1.58,-0.3,37.93,36.84,-1.09,10.59,12.64,2.05,116,114,-2.0,-58.51,-34.88,23.63,0.0,-615.27,-615.27,-58.51,-650.15,-591.64
xau-orb-london-ny-overlap-m30,XAU ORB London NY Overlap M30,standard,6m,2026-03-05,2026-09-05,2026-03-17T14:30:00,2026-08-27T15:22:39,2026-03-17T14:30:00,2026-08-27T15:22:39,100%,100%,4.76,3.83,-0.93,5.39,4.68,-0.71,50.0,50.0,0.0,1.81,1.81,0.0,12,10,-2.0,-6.23,-3.45,2.78,0.0,0.0,0.0,-6.23,-3.45,2.78
xau-orb-london-ny-overlap-m30,XAU ORB London NY Overlap M30,standard,1y,2025-09-05,2026-09-05,2025-09-11T15:30:00,2026-08-27T15:22:39,2025-09-11T15:30:00,2026-08-27T15:22:39,99%,99%,5.21,4.32,-0.89,2.16,1.99,-0.17,41.67,45.45,3.78,3.96,3.93,-0.03,24,22,-2.0,-12.85,-7.67,5.18,0.0,0.0,0.0,-12.85,-7.67,5.18
xau-orb-london-ny-overlap-m30,XAU ORB London NY Overlap M30,standard,3y,2023-09-05,2026-09-05,2023-10-19T15:30:00,2026-08-27T15:22:39,2023-09-22T14:30:00,2026-08-27T15:22:39,98%,35%,28.1,14.64,-13.46,2.51,1.52,-0.99,56.96,47.06,-9.9,3.88,4.82,0.94,79,85,6.0,-95.44,-71.78,23.66,0.0,0.0,0.0,-95.44,-71.78,23.66
xau-orb-london-ny-overlap-m30,XAU ORB London NY Overlap M30,standard,5y,2021-09-05,2026-09-05,2021-09-09T14:00:00,2026-08-27T15:22:39,2021-10-22T14:00:00,2026-08-27T15:22:39,98%,20%,24.31,12.18,-12.13,1.62,1.24,-0.38,49.25,44.85,-4.4,6.12,8.09,1.97,134,136,2.0,-183.56,-131.24,52.32,0.0,0.0,0.0,-183.56,-131.24,52.32
xau-orb-new-york-m30,XAU ORB New York M30,standard,6m,2026-03-05,2026-09-05,2026-03-16T14:30:00,2026-08-20T15:01:42,2026-03-16T14:30:00,2026-08-14T19:55:00,100%,100%,2.29,0.55,-1.74,3.21,1.41,-1.8,50.0,42.86,-7.14,2.64,2.94,0.3,8,7,-1.0,-2.05,-1.17,0.88,0.0,0.0,0.0,-2.05,-1.17,0.88
xau-orb-new-york-m30,XAU ORB New York M30,standard,1y,2025-09-05,2026-09-05,2025-09-12T15:30:00,2026-08-20T15:01:42,2025-09-12T15:30:00,2026-08-14T19:55:00,99%,99%,2.44,0.7,-1.74,3.04,1.47,-1.57,45.45,40.0,-5.45,2.64,2.94,0.3,11,10,-1.0,-3.27,-1.95,1.32,0.0,0.0,0.0,-3.27,-1.95,1.32
xau-orb-new-york-m30,XAU ORB New York M30,standard,3y,2023-09-05,2026-09-05,2023-09-12T16:00:00,2026-08-20T15:01:42,2023-09-12T16:00:00,2026-08-14T19:55:00,98%,35%,13.41,14.25,0.84,2.36,2.21,-0.15,49.02,47.27,-1.75,3.43,3.16,-0.27,51,55,4.0,-33.69,-26.39,7.3,0.0,0.0,0.0,-33.69,-26.39,7.3
xau-orb-new-york-m30,XAU ORB New York M30,standard,5y,2021-09-05,2026-09-05,2021-10-01T14:30:00,2026-08-20T15:01:42,2021-10-05T15:30:00,2026-08-14T19:55:00,98%,20%,12.14,11.84,-0.3,1.67,1.56,-0.11,39.29,40.22,0.93,6.14,5.57,-0.57,84,92,8.0,-63.69,-49.94,13.75,0.0,0.0,0.0,-63.69,-49.94,13.75
xau-rsi-vwap,XAU RSI VWAP,standard,6m,2026-03-05,2026-09-05,2026-03-06T02:00:00,2026-09-03T03:12:40,2026-03-06T02:00:00,2026-09-03T03:12:40,100%,100%,2.28,2.2,-0.08,1.31,1.3,-0.01,69.7,69.7,0.0,2.75,2.77,0.02,33,33,0.0,-3.73,-2.41,1.32,0.0,-9.15,-9.15,-3.73,-11.56,-7.83
xau-rsi-vwap,XAU RSI VWAP,standard,1y,2025-09-05,2026-09-05,2025-09-18T08:00:00,2026-09-03T03:12:40,2025-09-18T08:00:00,2026-09-03T03:12:40,99%,99%,4.07,3.97,-0.1,1.38,1.37,-0.01,71.74,71.74,0.0,3.5,3.53,0.03,46,46,0.0,-5.37,-3.47,1.9,0.0,-12.37,-12.37,-5.37,-15.84,-10.47
xau-rsi-vwap,XAU RSI VWAP,standard,3y,2023-09-05,2026-09-05,2023-09-06T06:00:00,2026-09-03T03:12:40,2023-09-06T14:00:00,2026-09-03T03:12:40,98%,35%,22.42,18.62,-3.8,1.74,1.54,-0.2,76.87,74.63,-2.24,2.92,4.01,1.09,134,134,0.0,-58.99,-35.15,23.84,0.0,-72.93,-72.93,-58.99,-108.08,-49.09
xau-rsi-vwap,XAU RSI VWAP,standard,5y,2021-09-05,2026-09-05,2021-09-09T09:00:00,2026-09-03T03:12:40,2021-09-09T10:00:00,2026-09-03T03:12:40,98%,20%,26.11,18.95,-7.16,1.37,1.24,-0.13,73.46,71.38,-2.08,5.34,11.98,6.64,260,269,9.0,-161.18,-101.4,59.78,0.0,-239.09,-239.09,-161.18,-340.49,-179.31
xau-regime-switch,XAU Regime Switch,standard,6m,2026-03-05,2026-09-05,2026-03-01T23:01:00,2026-08-31T23:59:59,2026-03-06T00:00:00,2026-09-04T23:59:50,100%,100%,-4.95,-4.54,0.41,0.43,0.48,0.05,13.33,13.33,0.0,6.25,7.18,0.93,15,15,0.0,-0.9,-0.6,0.3,0.0,-14.54,-14.54,-0.9,-15.14,-14.24
xau-regime-switch,XAU Regime Switch,standard,1y,2025-09-05,2026-09-05,2025-09-01T00:00:00,2026-08-31T23:59:59,2025-09-05T00:00:00,2026-09-04T23:59:50,99%,99%,29.28,22.31,-6.97,2.09,1.97,-0.12,30.56,29.41,-1.15,8.43,8.46,0.03,36,34,-2.0,-3.78,-1.93,1.85,0.0,-152.57,-152.57,-3.78,-154.5,-150.72
xau-regime-switch,XAU Regime Switch,standard,3y,2023-09-05,2026-09-05,2023-09-05T12:00:00,2026-08-31T23:59:59,2023-09-05T12:00:00,2026-09-04T23:59:50,98%,35%,88.3,59.01,-29.29,1.93,1.62,-0.31,30.77,29.66,-1.11,10.39,10.88,0.49,117,118,1.0,-66.84,-39.85,26.99,0.0,-1415.37,-1415.37,-66.84,-1455.22,-1388.38
xau-regime-switch,XAU Regime Switch,standard,5y,2021-09-05,2026-09-05,2021-09-02T14:45:00,2026-08-31T23:59:59,2021-09-15T14:05:00,2026-09-04T23:59:50,98%,20%,96.19,53.87,-42.32,1.59,1.33,-0.26,27.96,26.73,-1.23,10.21,17.27,7.06,211,217,6.0,-156.26,-89.91,66.35,0.0,-1898.42,-1898.42,-156.26,-1988.33,-1832.07
xau-slow-trend,XAU Slow Trend,standard,6m,2026-03-05,2026-09-05,2026-03-06T00:00:00,2026-09-04T20:57:59,2026-03-06T00:00:00,2026-09-04T20:57:59,100%,100%,-7.13,-7.41,-0.28,0.48,0.47,-0.01,13.04,13.04,0.0,9.16,9.42,0.26,23,23,0.0,-1.38,-0.92,0.46,0.0,-28.01,-28.01,-1.38,-28.93,-27.55
xau-slow-trend,XAU Slow Trend,standard,1y,2025-09-05,2026-09-05,2025-09-05T00:00:00,2026-09-04T20:57:59,2025-09-05T00:00:00,2026-09-04T20:57:59,99%,99%,11.5,10.01,-1.49,1.43,1.37,-0.06,23.08,23.08,0.0,13.12,13.63,0.51,39,39,0.0,-3.28,-2.11,1.17,0.0,-178.98,-178.98,-3.28,-181.09,-177.81
xau-slow-trend,XAU Slow Trend,standard,3y,2023-09-05,2026-09-05,2023-09-05T00:00:00,2026-09-04T20:57:59,2023-09-05T00:00:00,2026-09-04T20:57:59,98%,35%,122.85,76.32,-46.53,1.78,1.62,-0.16,24.48,25.0,0.52,12.38,14.56,2.18,143,124,-19.0,-49.63,-23.49,26.14,0.0,-2030.68,-2030.68,-49.63,-2054.17,-2004.54
xau-slow-trend,XAU Slow Trend,standard,5y,2021-09-05,2026-09-05,2021-09-05T22:05:00,2026-09-04T20:57:59,2021-09-05T22:05:00,2026-09-04T20:57:59,98%,20%,86.18,36.77,-49.41,1.42,1.22,-0.2,19.18,19.57,0.39,12.63,31.82,19.19,245,230,-15.0,-77.36,-39.37,37.99,0.0,-2506.86,-2506.86,-77.36,-2546.23,-2468.87
xau-squeeze-momentum-standard,XAU Squeeze Momentum Standard,safe,6m,2026-03-05,2026-09-05,,,,,100%,100%,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0
xau-squeeze-momentum-standard,XAU Squeeze Momentum Standard,safe,1y,2025-09-05,2026-09-05,2025-09-05T04:00:00,2026-03-01T23:09:00,2025-09-05T04:00:00,2026-03-01T23:09:00,99%,99%,6.26,6.27,0.01,3.27,3.28,0.01,64.29,64.29,0.0,1.58,1.57,-0.01,14,14,0.0,-1.42,-0.92,0.5,-14.41,-14.48,-0.07,-15.83,-15.4,0.43
xau-squeeze-momentum-standard,XAU Squeeze Momentum Standard,safe,3y,2023-09-05,2026-09-05,2023-11-24T15:00:00,2026-03-01T23:09:00,2023-11-24T15:00:00,2026-03-01T23:09:00,98%,35%,22.6,23.0,0.4,3.89,3.92,0.03,65.79,65.79,0.0,3.36,3.38,0.02,38,38,0.0,-7.69,-4.93,2.76,-77.46,-77.72,-0.26,-85.15,-82.65,2.5
xau-squeeze-momentum-standard,XAU Squeeze Momentum Standard,safe,5y,2021-09-05,2026-09-05,2021-11-16T03:00:00,2026-03-01T23:09:00,2021-11-16T03:00:00,2026-03-01T23:09:00,98%,20%,23.0,23.29,0.29,3.16,3.14,-0.02,60.42,60.42,0.0,3.35,3.37,0.02,48,48,0.0,-10.79,-6.91,3.88,-108.46,-108.81,-0.35,-119.25,-115.72,3.53
xau-trend-progression,XAU Trend Progression,standard,6m,2026-03-05,2026-09-05,2026-04-06T08:00:00,2026-08-27T09:37:41,2026-04-06T08:00:00,2026-08-27T09:37:41,100%,100%,1.27,1.17,-0.1,1.29,1.27,-0.02,40.0,30.0,-10.0,3.32,3.32,0.0,10,10,0.0,-1.18,-0.76,0.42,0.0,-10.77,-10.77,-1.18,-11.53,-10.35
xau-trend-progression,XAU Trend Progression,standard,1y,2025-09-05,2026-09-05,2025-09-11T16:00:00,2026-08-27T09:37:41,2025-09-11T16:00:00,2026-08-27T09:37:41,99%,99%,16.85,17.04,0.19,2.85,3.02,0.17,60.0,58.33,-1.67,3.05,3.05,0.0,25,24,-1.0,-2.97,-1.87,1.1,0.0,-56.85,-56.85,-2.97,-58.72,-55.75
xau-trend-progression,XAU Trend Progression,standard,3y,2023-09-05,2026-09-05,2023-09-20T12:00:00,2026-08-27T09:37:41,2023-09-20T12:00:00,2026-08-27T09:37:41,98%,35%,72.47,56.66,-15.81,2.72,2.36,-0.36,62.22,44.94,-17.28,5.92,6.23,0.31,90,89,-1.0,-32.49,-19.17,13.32,0.0,-611.59,-611.59,-32.49,-630.76,-598.27
xau-trend-progression,XAU Trend Progression,standard,5y,2021-09-05,2026-09-05,2021-10-05T16:00:00,2026-08-27T09:37:41,2021-10-05T16:00:00,2026-08-27T09:37:41,98%,20%,83.9,50.93,-32.97,2.27,1.81,-0.46,58.7,37.5,-21.2,5.54,9.68,4.14,138,136,-2.0,-56.5,-31.54,24.96,0.0,-931.43,-931.43,-56.5,-962.97,-906.47
xau-weakness,XAU Weakness,safe,6m,2026-03-05,2026-09-05,2026-03-06T13:33:29,2026-09-04T04:00:40,2026-03-06T13:33:29,2026-09-04T04:00:40,100%,100%,3.61,3.35,-0.26,1.37,1.34,-0.03,38.89,38.89,0.0,5.73,5.87,0.14,18,18,0.0,-3.29,-2.11,1.18,0.0,-26.8,-26.8,-3.29,-28.91,-25.62
xau-weakness,XAU Weakness,safe,1y,2025-09-05,2026-09-05,2025-09-05T01:33:04,2026-09-04T04:00:40,2025-09-05T01:33:04,2026-09-04T04:00:40,99%,99%,56.93,56.35,-0.58,1.97,1.97,0.0,42.35,42.86,0.51,5.76,5.93,0.17,85,84,-1.0,-25.89,-16.2,9.69,0.0,-182.23,-182.23,-25.89,-198.43,-172.54
xau-weakness,XAU Weakness,safe,3y,2023-09-05,2026-09-05,2023-11-15T01:04:34,2026-09-04T04:00:40,2023-11-15T02:25:24,2026-09-04T04:00:40,98%,35%,127.19,76.79,-50.4,1.88,1.56,-0.32,43.09,41.94,-1.15,6.82,22.64,15.82,181,186,5.0,-123.41,-72.52,50.89,0.0,-649.53,-649.53,-123.41,-722.05,-598.64
xau-weakness,XAU Weakness,safe,5y,2021-09-05,2026-09-05,2021-11-11T01:32:35,2026-09-04T04:00:40,2021-11-11T01:00:24,2026-09-04T04:00:40,98%,20%,122.15,60.04,-62.11,1.65,1.34,-0.31,38.93,38.96,0.03,14.4,27.1,12.7,244,249,5.0,-185.54,-106.42,79.12,0.0,-822.08,-822.08,-185.54,-928.5,-742.96
