entry,exit,direction,pnl,r,reason,tag
2023-05-26 14:50:00+00:00,2023-05-26 19:55:00+00:00,-1,-76.17377680523842,-0.6369882622387579,time,NY ORB
2023-05-30 14:15:00+00:00,2023-05-30 19:55:00+00:00,1,158.60180245698757,1.3347788378144552,time,NY ORB
2023-05-31 13:55:00+00:00,2023-05-31 14:10:00+00:00,1,-97.39844386647569,-0.8088997256933752,fast-alpha stop confirmation,NY ORB
2023-06-02 13:55:00+00:00,2023-06-02 19:50:00+00:00,-1,131.74174847074886,1.1030453936027602,time,NY ORB
2023-06-05 13:55:00+00:00,2023-06-05 14:00:00+00:00,1,358.9639132831642,2.972737186477645,target,NY ORB
2023-06-09 14:35:00+00:00,2023-06-09 19:55:00+00:00,1,-75.35080427810688,-0.6059982358129826,time,NY ORB
2023-06-12 14:15:00+00:00,2023-06-12 15:40:00+00:00,-1,-106.92989678381413,-0.865211810012813,fast-alpha stop confirmation,NY ORB
2023-06-16 14:35:00+00:00,2023-06-16 19:55:00+00:00,-1,19.273212828918336,0.15730818688384415,time,NY ORB
2023-06-26 13:55:00+00:00,2023-06-26 15:30:00+00:00,-1,-100.57879798838479,-0.8196359624931234,fast-alpha stop confirmation,NY ORB
2023-06-29 14:20:00+00:00,2023-06-29 19:55:00+00:00,1,5.883122531933816,0.04833889963086708,time,NY ORB
2023-06-30 14:25:00+00:00,2023-06-30 19:55:00+00:00,1,33.82561625065744,0.27779517694957917,time,NY ORB
2023-07-05 13:55:00+00:00,2023-07-05 19:50:00+00:00,-1,119.67410962620286,0.9801090792428653,time,NY ORB
2023-07-14 13:55:00+00:00,2023-07-14 14:10:00+00:00,1,-159.98207033050633,-1.2975069252077471,fast-alpha stop confirmation,NY ORB
2023-07-19 14:30:00+00:00,2023-07-19 19:55:00+00:00,-1,-102.10723576327734,-0.8390092879256863,time,NY ORB
2023-07-20 14:20:00+00:00,2023-07-20 19:55:00+00:00,-1,54.32051409478086,0.450125134072236,time,NY ORB
2023-07-21 14:15:00+00:00,2023-07-21 14:45:00+00:00,-1,-102.96227953003341,-0.8493702770780925,fast-alpha stop confirmation,NY ORB
2023-07-24 14:05:00+00:00,2023-07-24 19:11:00+00:00,-1,357.3423811009726,2.973089343379981,target,NY ORB
2023-08-14 13:55:00+00:00,2023-08-14 14:25:00+00:00,-1,-274.26145412281284,-2.2159730033744762,fast-alpha stop confirmation,NY ORB
2023-08-17 13:55:00+00:00,2023-08-17 19:50:00+00:00,-1,191.24557921740086,1.580240460010423,time,NY ORB
2023-08-22 14:00:00+00:00,2023-08-22 14:20:00+00:00,-1,-102.75830509237726,-0.8358714043993357,fast-alpha stop confirmation,NY ORB
2023-08-23 13:55:00+00:00,2023-08-23 19:50:00+00:00,1,10.339178814122993,0.08481135117704508,time,NY ORB
2023-08-24 14:00:00+00:00,2023-08-24 19:55:00+00:00,1,16.084232265803184,0.13182570325429194,time,NY ORB
2023-08-29 14:00:00+00:00,2023-08-29 14:19:00+00:00,1,364.6643661832534,2.98483929654336,target,NY ORB
2023-09-01 14:00:00+00:00,2023-09-01 19:50:00+00:00,-1,45.82966364509203,0.36425120772947933,time,NY ORB
2023-09-08 14:10:00+00:00,2023-09-08 15:20:00+00:00,1,-120.94029719686655,-0.9577371048253059,fast-alpha stop confirmation,NY ORB
2023-09-12 14:40:00+00:00,2023-09-12 19:55:00+00:00,1,-26.00641598201149,-0.20793865584125246,time,NY ORB
2023-09-15 14:15:00+00:00,2023-09-15 17:40:00+00:00,1,-124.60903447084668,-0.998408488063674,fast-alpha stop confirmation,NY ORB
2023-09-20 14:10:00+00:00,2023-09-20 19:55:00+00:00,1,-113.94034391251049,-0.9221341023792421,time,NY ORB
2023-09-29 14:35:00+00:00,2023-09-29 19:55:00+00:00,-1,87.38886298860547,0.7138319834841931,time,NY ORB
2023-10-02 14:20:00+00:00,2023-10-02 19:55:00+00:00,-1,-7.567952129728325,-0.06138032305431074,time,NY ORB
2023-10-03 14:15:00+00:00,2023-10-03 14:50:00+00:00,-1,-102.30427032509945,-0.8302544440571642,fast-alpha stop confirmation,NY ORB
2023-10-04 13:55:00+00:00,2023-10-04 15:25:00+00:00,-1,-99.00986773460052,-0.8102456874019818,fast-alpha stop confirmation,NY ORB
2023-10-16 13:55:00+00:00,2023-10-16 19:50:00+00:00,1,12.426288604619824,0.1025210084033604,time,NY ORB
2023-10-20 14:20:00+00:00,2023-10-20 17:25:00+00:00,1,-115.43423760514207,-0.9513954217623298,fast-alpha stop confirmation,NY ORB
2023-10-25 14:00:00+00:00,2023-10-25 14:20:00+00:00,1,-98.70855505154618,-0.8213586804584778,fast-alpha stop confirmation,NY ORB
2023-10-31 15:05:00+00:00,2023-10-31 16:25:00+00:00,1,-146.02948811385323,-1.2251815980629843,fast-alpha stop confirmation,NY ORB
2023-11-02 15:15:00+00:00,2023-11-02 19:55:00+00:00,-1,-54.44472295171141,-0.46245497367690586,time,NY ORB
2023-11-09 14:55:00+00:00,2023-11-09 20:50:00+00:00,1,9.700316009008025,0.08277755982740684,time,NY ORB
2023-11-10 15:00:00+00:00,2023-11-10 20:55:00+00:00,-1,155.31672763372234,1.3242976835879714,time,NY ORB
2023-11-15 15:00:00+00:00,2023-11-15 20:55:00+00:00,-1,-38.06049184595889,-0.320278791901776,time,NY ORB
2023-11-20 14:55:00+00:00,2023-11-20 20:50:00+00:00,1,124.3451980987356,1.0497260851242882,time,NY ORB
2023-11-22 15:35:00+00:00,2023-11-22 20:55:00+00:00,-1,27.641368405025737,0.2309252217997393,time,NY ORB
2023-11-24 14:55:00+00:00,2023-11-24 15:10:00+00:00,-1,-119.56058318036747,-0.9965477560414561,fast-alpha stop confirmation,NY ORB
2023-11-29 15:10:00+00:00,2023-11-29 15:15:00+00:00,1,-13.26231555713495,-0.11165523996076532,fast-alpha stop confirmation,NY ORB
