symbol,range_minutes,rr,month,date,opened_at,closed_at,direction,entry,stop_loss,take_profit,exit_price,result,r_multiple,spread_r,spread_points,pnl,range_high,range_low,range_atr,risk_per_lot,lot_min,lot_max,lot_step,setup_score
US100,30,1.0,2026-04,2026-04-29,2026-04-29 23:30:00,2026-04-29 23:30:00,BUY,27374.38,27344.38,27404.38,27404.38,win,0.92,0.08,240.0,30.0,27374.38,27343.02,0.2905,30.0,0.01,500.0,0.01,95
US100,30,1.0,2026-04,2026-04-30,2026-04-30 23:30:00,2026-05-01 00:30:00,BUY,27498.63,27468.63,27528.63,27528.63,win,0.92,0.08,240.0,30.0,27498.63,27469.7,0.8106,30.0,0.01,500.0,0.01,100
US100,30,1.0,2026-05,2026-05-05,2026-05-06 00:00:00,2026-05-06 00:00:00,SELL,28250.28,28280.28,28220.28,28220.28,win,0.92,0.08,240.0,30.0,28289.51,28250.28,0.8929,30.0,0.01,500.0,0.01,100
US100,30,1.0,2026-05,2026-05-06,2026-05-06 23:30:00,2026-05-07 00:30:00,SELL,28577.01,28607.01,28547.01,28547.01,win,0.92,0.08,240.0,30.0,28600.68,28577.01,0.5941,30.0,0.01,500.0,0.01,100
US100,30,1.0,2026-05,2026-05-07,2026-05-07 23:30:00,2026-05-07 23:45:00,BUY,28555.46,28525.46,28585.46,28585.46,win,0.92,0.08,240.0,30.0,28555.46,28514.6,0.6287,30.0,0.01,500.0,0.01,100
US100,30,1.0,2026-05,2026-05-12,2026-05-12 23:30:00,2026-05-12 23:30:00,SELL,29044.09,29074.09,29014.09,29014.09,win,0.92,0.08,240.0,30.0,29074.63,29044.09,0.6493,30.0,0.01,500.0,0.01,100
US100,30,1.0,2026-05,2026-05-13,2026-05-14 00:15:00,2026-05-14 00:30:00,BUY,29570.33,29540.33,29600.33,29600.33,win,0.92,0.08,240.0,30.0,29570.33,29512.69,1.4804,30.0,0.01,500.0,0.01,100
US100,30,1.0,2026-05,2026-05-14,2026-05-14 23:30:00,2026-05-14 23:45:00,BUY,29643.79,29613.79,29673.79,29613.79,loss,-1.08,0.08,240.0,-30.0,29643.79,29624.99,0.4854,30.0,0.01,500.0,0.01,95
US100,30,1.0,2026-05,2026-05-19,2026-05-19 23:30:00,2026-05-19 23:30:00,BUY,28912.19,28882.19,28942.19,28942.19,win,0.92,0.08,240.0,30.0,28912.19,28842.88,1.1756,30.0,0.01,500.0,0.01,100
US100,30,1.0,2026-05,2026-05-20,2026-05-21 00:45:00,2026-05-21 01:00:00,BUY,29163.93,29133.93,29193.93,29193.93,win,0.92,0.08,240.0,30.0,29163.93,29107.91,0.9021,30.0,0.01,500.0,0.01,100
US100,30,1.0,2026-05,2026-05-26,2026-05-26 23:30:00,2026-05-27 00:00:00,BUY,30033.42,30003.42,30063.42,30063.42,win,0.92,0.08,240.0,30.0,30033.42,29996.27,1.2605,30.0,0.01,500.0,0.01,100
US100,30,1.0,2026-05,2026-05-27,2026-05-27 23:30:00,2026-05-27 23:45:00,SELL,29990.63,30020.63,29960.63,29960.63,win,0.92,0.08,240.0,30.0,30040.7,29990.63,1.3391,30.0,0.01,500.0,0.01,100
US100,30,1.0,2026-05,2026-05-28,2026-05-28 23:45:00,2026-05-29 00:30:00,SELL,30260.97,30290.97,30230.97,30230.97,win,0.92,0.08,240.0,30.0,30290.23,30260.97,0.9492,30.0,0.01,500.0,0.01,100
US100,30,1.0,2026-06,2026-06-02,2026-06-02 23:45:00,2026-06-02 23:45:00,BUY,30697.01,30667.01,30727.01,30667.01,loss,-1.08,0.08,240.0,-30.0,30697.01,30555.95,4.4564,30.0,0.01,500.0,0.01,95
US100,30,1.0,2026-06,2026-06-03,2026-06-03 23:30:00,2026-06-03 23:30:00,SELL,30380.65,30410.65,30350.65,30410.65,loss,-1.08,0.08,240.0,-30.0,30452.33,30380.65,1.2795,30.0,0.01,500.0,0.01,100
US100,30,1.0,2026-06,2026-06-04,2026-06-04 23:30:00,2026-06-04 23:45:00,SELL,30281.3,30311.3,30251.3,30251.3,win,0.92,0.08,240.0,30.0,30362.55,30281.3,1.7697,30.0,0.01,500.0,0.01,100
US100,30,1.0,2026-06,2026-06-09,2026-06-09 23:30:00,2026-06-09 23:45:00,SELL,29006.28,29036.28,28976.28,29036.28,loss,-1.08,0.08,240.0,-30.0,29106.95,29006.28,0.8839,30.0,0.01,500.0,0.01,100
US100,30,1.0,2026-06,2026-06-10,2026-06-10 23:30:00,2026-06-10 23:30:00,BUY,28415.97,28385.97,28445.97,28385.97,loss,-1.08,0.08,240.0,-30.0,28415.97,28276.92,1.5405,30.0,0.01,500.0,0.01,100
US100,30,1.0,2026-06,2026-06-11,2026-06-11 23:30:00,2026-06-11 23:30:00,BUY,29578.62,29548.62,29608.62,29548.62,loss,-1.08,0.08,240.0,-30.0,29578.62,29508.5,0.9052,30.0,0.01,500.0,0.01,100
US100,30,1.0,2026-06,2026-06-16,2026-06-16 23:30:00,2026-06-17 00:00:00,SELL,30067.06,30097.06,30037.06,30097.06,loss,-1.08,0.08,240.0,-30.0,30121.0,30067.06,0.9418,30.0,0.01,500.0,0.01,100
US100,30,1.0,2026-06,2026-06-17,2026-06-17 23:30:00,2026-06-17 23:30:00,BUY,30042.97,30012.97,30072.97,30012.97,loss,-1.08,0.08,240.0,-30.0,30042.97,29969.54,0.5373,30.0,0.01,500.0,0.01,100
US100,30,1.0,2026-06,2026-06-18,2026-06-18 23:30:00,2026-06-19 00:00:00,BUY,30444.37,30414.37,30474.37,30414.37,loss,-1.08,0.08,240.0,-30.0,30444.37,30403.66,0.8593,30.0,0.01,500.0,0.01,100
US100,30,1.0,2026-06,2026-06-23,2026-06-23 23:45:00,2026-06-23 23:45:00,BUY,29455.8,29425.8,29485.8,29425.8,loss,-1.08,0.08,240.0,-30.0,29455.8,29349.02,1.343,30.0,0.01,500.0,0.01,100
US100,30,1.0,2026-06,2026-06-24,2026-06-24 23:30:00,2026-06-24 23:45:00,BUY,29861.06,29831.06,29891.06,29891.06,win,0.92,0.08,240.0,30.0,29861.06,29812.85,0.39,30.0,0.01,500.0,0.01,95
US100,30,1.0,2026-06,2026-06-25,2026-06-25 23:45:00,2026-06-25 23:45:00,SELL,29438.03,29468.03,29408.03,29468.03,loss,-1.08,0.08,240.0,-30.0,29660.68,29438.03,2.4658,30.0,0.01,500.0,0.01,95
