policy,bot,symbol,timeframe,month,opened_at,closed_at,direction,entry,stop_loss,final_rr,exit_price,result,r_multiple,setup_score,atr,spread_r,spread_points,atr_percentile,session_metric,stop_mode,rr_mode,entry_model,htf_agreement,htf_biases,htf_reason
fixed_current,LTA,USDCHF,M30,2026-07,2026-07-01 12:30:00,2026-07-01 13:30:00,BUY,0.81146,0.80937,1.0,0.80937,loss,-1.0622,98,0.000642,0.0622,13.0,0.6458,,structure,static,Entry Model 1 - Double Wick Confirmation + Entry Model 4 - High Volume Continuation,True,"{""D1"": ""bullish"", ""H1"": ""bullish"", ""H4"": ""ranging""}",passed
dynamic_balanced,LTA,XAUUSD,M15,2026-06,2026-06-30 03:45:00,2026-06-30 06:30:00,BUY,3969.724,3949.86564,3.0,4029.29908,win,2.9999,93,15.355714,0.0001,240.0,0.9688,,"max(structure,1.25ATR)",balanced,Entry Model 1 - Double Wick Confirmation + Entry Model 4 - High Volume Continuation,True,{},not_forex
dynamic_balanced,LTA,XAUUSD,M15,2026-06,2026-06-30 05:15:00,2026-06-30 06:15:00,SELL,3982.685,3999.57499,4.0,3999.57499,loss,-1.0001,97,10.026571,0.0001,240.0,0.6771,,"max(structure,1.00ATR)",balanced,Entry Model 1 - Double Wick Confirmation,True,{},not_forex
dynamic_balanced,LTA,XAUUSD,M15,2026-07,2026-07-01 05:30:00,2026-07-01 06:00:00,BUY,3974.701,3968.69354,4.0,3968.69354,loss,-1.0004,93,6.696429,0.0004,240.0,0.2812,,"max(structure,0.80ATR)",balanced,Entry Model 1 - Double Wick Confirmation,True,{},not_forex
dynamic_balanced,LTA,XAUUSD,M15,2026-07,2026-07-01 07:00:00,2026-07-01 08:15:00,SELL,3961.667,3980.0514,4.0,3980.0514,loss,-1.0001,98,7.702643,0.0001,240.0,0.4896,,"max(structure,0.80ATR)",balanced,Entry Model 1 - Double Wick Confirmation + Entry Model 2 - Internal Swing Confirmation,True,{},not_forex
dynamic_balanced,LTA,XAUUSD,M15,2026-07,2026-07-01 07:45:00,2026-07-01 13:15:00,BUY,3976.152,3958.62282,4.0,4046.26872,win,3.9999,100,8.947857,0.0001,240.0,0.6771,,"max(structure,1.00ATR)",balanced,Entry Model 1 - Double Wick Confirmation,True,{},not_forex
dynamic_balanced,LTA,XAUUSD,M15,2026-07,2026-07-01 11:30:00,2026-07-01 18:30:00,BUY,4029.326,3980.10619,4.0,4061.939,timeout,0.6626,100,8.578714,0.0,240.0,0.6562,,"max(structure,1.00ATR)",balanced,Entry Model 1 - Double Wick Confirmation,True,{},not_forex
dynamic_balanced,LTA,XAGUSD,M15,2026-07,2026-07-01 05:30:00,2026-07-01 06:00:00,BUY,57.582,57.3477,4.0,57.3477,loss,-1.0013,95,0.222,0.0013,30.0,0.2708,,"max(structure,0.80ATR)",balanced,Entry Model 1 - Double Wick Confirmation,True,{},not_forex
dynamic_balanced,LTA,BTCUSD,M15,2026-06,2026-06-30 07:15:00,2026-06-30 12:45:00,SELL,59382.55,59654.56861,4.0,58294.47556,win,4.0,91,160.390714,0.0,1000.0,0.1979,,"max(structure,0.80ATR)",balanced,Entry Model 1 - Double Wick Confirmation,True,{},not_forex
dynamic_balanced,LTA,BTCUSD,M15,2026-06,2026-06-30 08:00:00,2026-06-30 13:45:00,SELL,59334.78,59652.63254,4.0,58699.07492,trail_stop,2.0,91,147.483571,0.0,1000.0,0.1042,,"max(structure,0.80ATR)",balanced,Entry Model 1 - Double Wick Confirmation,True,{},not_forex
