strategy,side,entry_time,entry,stop,target,volume,risk_cash,exit_time,exit,pnl,exit_reason,spread_cost,slippage_cost,mae,mfe,holding_minutes,metadata
B1,SELL,2026-05-22 14:00:00+00:00,29380.85,29583.85,29076.35,0.24,48.72,2026-05-22 16:37:00+00:00,29584.85,-48.96,stop,0.408,0.24,222.90000000000146,9.249999999996362,157.0,"{'walk_forward_fold': 2, 'selected_variant': 'london_1.5R'}"
A_FIXED,SELL,2026-05-26 13:30:00+00:00,29822.9,29882.9,29702.9,0.4,24.0,2026-05-26 16:45:00+00:00,29883.9,-24.400000000000002,stop,0.68,0.4,66.64999999999782,76.95000000000073,195.0,"{'walk_forward_fold': 2, 'selected_variant': 'wide_60_120'}"
A_RUNNER,SELL,2026-05-26 13:30:00+00:00,29822.9,29798.5,,0.49,24.5,2026-05-26 14:32:00+00:00,29799.5,11.466000000000713,stop,0.833,0.49,19.549999999999272,55.20000000000073,62.0,"{'walk_forward_fold': 2, 'selected_variant': 'prev_m15_buffer5'}"
B2,SELL,2026-05-26 15:33:00+00:00,29829.9,29930.9,29530.9,0.49,49.0,2026-05-26 16:59:00+00:00,29931.9,-49.98,stop,0.833,0.49,101.19999999999709,75.55000000000291,86.0,"{'pending_minutes': 93.0, 'walk_forward_fold': 2, 'selected_variant': 'baseline_3R'}"
A_FIXED,SELL,2026-05-27 13:30:00+00:00,30159.25,30219.25,30039.25,0.4,24.0,2026-05-27 14:23:00+00:00,30220.25,-24.400000000000002,stop,0.68,0.4,60.95000000000073,15.149999999997817,53.0,"{'walk_forward_fold': 2, 'selected_variant': 'wide_60_120'}"
A_RUNNER,SELL,2026-05-27 13:30:00+00:00,30159.25,30166.95,,0.49,24.5,2026-05-27 13:57:00+00:00,30167.95,-4.263000000000356,stop,0.833,0.49,8.400000000001455,15.149999999997817,27.0,"{'walk_forward_fold': 2, 'selected_variant': 'prev_m15_buffer5'}"
B1,SELL,2026-05-27 14:00:00+00:00,30162.9,30178.2,30139.95,3.23,49.41899999999765,2026-05-27 14:00:00+00:00,30179.2,-52.64899999999765,stop,5.491,3.23,24.049999999999272,0.0,0.0,"{'walk_forward_fold': 2, 'selected_variant': 'london_1.5R'}"
A_FIXED,SELL,2026-05-28 13:30:00+00:00,29865.1,29925.1,29745.1,0.4,24.0,2026-05-28 15:32:00+00:00,29926.1,-24.400000000000002,stop,0.68,0.4,62.45000000000073,62.94999999999709,122.0,"{'walk_forward_fold': 2, 'selected_variant': 'wide_60_120'}"
A_RUNNER,SELL,2026-05-28 13:30:00+00:00,29865.1,29844.05,,0.49,24.5,2026-05-28 14:21:00+00:00,29845.05,9.824499999999643,stop,0.833,0.49,7.80000000000291,62.94999999999709,51.0,"{'walk_forward_fold': 2, 'selected_variant': 'prev_m15_buffer5'}"
B2,SELL,2026-05-28 14:41:00+00:00,29865.1,29966.1,29566.1,0.49,49.0,2026-05-28 15:46:00+00:00,29967.1,-49.98,stop,0.833,0.49,103.70000000000073,17.549999999999272,65.0,"{'pending_minutes': 41.0, 'walk_forward_fold': 2, 'selected_variant': 'baseline_3R'}"
A_FIXED,SELL,2026-05-29 13:30:00+00:00,30251.0,30311.0,30131.0,0.4,24.0,2026-05-29 16:30:00+00:00,30312.0,-24.400000000000002,stop,0.68,0.4,77.34999999999854,28.049999999999272,180.0,"{'walk_forward_fold': 2, 'selected_variant': 'wide_60_120'}"
A_RUNNER,SELL,2026-05-29 13:30:00+00:00,30251.0,30262.3,,0.49,24.5,2026-05-29 13:36:00+00:00,30263.3,-6.026999999999643,stop,0.833,0.49,14.799999999999272,4.399999999997817,6.0,"{'walk_forward_fold': 2, 'selected_variant': 'prev_m15_buffer5'}"
A_FIXED,SELL,2026-06-01 13:30:00+00:00,30424.15,30484.15,30304.15,0.4,24.0,2026-06-01 16:11:00+00:00,30305.15,47.6,target,0.68,0.4,20.299999999999272,126.20000000000073,161.0,"{'walk_forward_fold': 2, 'selected_variant': 'wide_60_120'}"
A_RUNNER,SELL,2026-06-01 13:30:00+00:00,30424.15,30434.35,,0.49,24.5,2026-06-01 13:31:00+00:00,30435.35,-5.487999999998574,stop,0.833,0.49,17.549999999999272,0.0,1.0,"{'walk_forward_fold': 2, 'selected_variant': 'prev_m15_buffer5'}"
A_FIXED,SELL,2026-06-02 13:30:00+00:00,30498.35,30558.35,30378.35,0.4,24.0,2026-06-02 16:41:00+00:00,30379.35,47.6,target,0.68,0.4,21.600000000002183,128.20000000000073,191.0,"{'walk_forward_fold': 2, 'selected_variant': 'wide_60_120'}"
A_RUNNER,SELL,2026-06-02 13:30:00+00:00,30498.35,30494.85,,0.49,24.5,2026-06-02 14:29:00+00:00,30495.85,1.225,stop,0.833,0.49,5.000000000003638,48.39999999999782,59.0,"{'walk_forward_fold': 2, 'selected_variant': 'prev_m15_buffer5'}"
A_FIXED,SELL,2026-06-03 13:30:00+00:00,30715.7,30775.7,30595.7,0.4,24.0,2026-06-03 16:44:00+00:00,30596.7,47.6,target,0.68,0.4,44.849999999998545,138.5500000000029,194.0,"{'walk_forward_fold': 2, 'selected_variant': 'wide_60_120'}"
A_RUNNER,SELL,2026-06-03 13:30:00+00:00,30715.7,30723.2,,0.49,24.5,2026-06-03 13:32:00+00:00,30724.2,-4.165,stop,0.833,0.49,15.299999999999272,3.7000000000007276,2.0,"{'walk_forward_fold': 2, 'selected_variant': 'prev_m15_buffer5'}"
B1,SELL,2026-06-03 14:00:00+00:00,30706.95,30737.75,30660.75,1.59,48.97199999999884,2026-06-03 14:28:00+00:00,30738.75,-50.56199999999885,stop,2.703,1.59,32.79999999999927,0.0,28.0,"{'walk_forward_fold': 2, 'selected_variant': 'london_1.5R'}"
A_FIXED,SELL,2026-06-04 13:30:00+00:00,30215.1,30275.1,30095.1,0.41,24.599999999999998,2026-06-04 15:51:00+00:00,30276.1,-25.009999999999998,stop,0.697,0.41,60.80000000000291,104.44999999999709,141.0,"{'walk_forward_fold': 2, 'selected_variant': 'wide_60_120'}"
A_RUNNER,SELL,2026-06-04 13:30:00+00:00,30215.1,30215.65,,0.49,24.5,2026-06-04 14:17:00+00:00,30216.65,-0.759500000001426,stop,0.833,0.49,22.450000000000728,64.54999999999927,47.0,"{'walk_forward_fold': 2, 'selected_variant': 'prev_m15_buffer5'}"
B2,SELL,2026-06-04 15:37:00+00:00,30238.15,30339.15,29939.15,0.49,49.0,2026-06-04 18:07:00+00:00,30340.15,-49.98,stop,0.833,0.49,112.69999999999709,139.70000000000073,150.0,"{'pending_minutes': 97.0, 'walk_forward_fold': 2, 'selected_variant': 'baseline_3R'}"
A_FIXED,SELL,2026-06-05 13:30:00+00:00,30172.8,30232.8,30052.8,0.4,24.0,2026-06-05 15:14:00+00:00,30053.8,47.6,target,0.68,0.4,7.80000000000291,120.79999999999927,104.0,"{'walk_forward_fold': 2, 'selected_variant': 'wide_60_120'}"
A_RUNNER,SELL,2026-06-05 13:30:00+00:00,30172.8,30098.8,,0.49,24.5,2026-06-05 15:19:00+00:00,30099.8,35.769999999999996,stop,0.833,0.49,7.80000000000291,120.79999999999927,109.0,"{'walk_forward_fold': 2, 'selected_variant': 'prev_m15_buffer5'}"
A_FIXED,SELL,2026-06-08 13:30:00+00:00,29150.0,29210.0,29030.0,0.41,24.599999999999998,2026-06-08 13:34:00+00:00,29211.0,-25.009999999999998,stop,0.697,0.41,82.65000000000146,1.0999999999985448,4.0,"{'walk_forward_fold': 2, 'selected_variant': 'wide_60_120'}"
A_RUNNER,SELL,2026-06-08 13:30:00+00:00,29150.0,29192.35,,0.5,25.0,2026-06-08 13:34:00+00:00,29193.35,-21.674999999999272,stop,0.85,0.5,82.65000000000146,1.0999999999985448,4.0,"{'walk_forward_fold': 2, 'selected_variant': 'prev_m15_buffer5'}"
B2,SELL,2026-06-08 14:10:00+00:00,29248.7,29349.7,28949.7,0.48,48.0,2026-06-08 14:21:00+00:00,29350.7,-48.96,stop,0.816,0.48,117.84999999999854,23.549999999999272,11.0,"{'pending_minutes': 10.0, 'walk_forward_fold': 2, 'selected_variant': 'baseline_3R'}"
A_FIXED,SELL,2026-06-09 13:30:00+00:00,29632.5,29692.5,29512.5,0.4,24.0,2026-06-09 15:36:00+00:00,29693.5,-24.400000000000002,stop,0.68,0.4,60.20000000000073,22.849999999998545,126.0,"{'walk_forward_fold': 2, 'selected_variant': 'wide_60_120'}"
A_RUNNER,SELL,2026-06-09 13:30:00+00:00,29632.5,29643.95,,0.49,24.5,2026-06-09 13:54:00+00:00,29644.95,-6.100500000000356,stop,0.833,0.49,28.450000000000728,22.849999999998545,24.0,"{'walk_forward_fold': 2, 'selected_variant': 'prev_m15_buffer5'}"
B1,SELL,2026-06-09 14:00:00+00:00,29644.8,29661.25,29620.12,2.97,48.856500000002164,2026-06-09 14:00:00+00:00,29662.25,-51.82650000000216,stop,5.049,2.97,20.55000000000291,1.6999999999970896,0.0,"{'walk_forward_fold': 2, 'selected_variant': 'london_1.5R'}"
A_FIXED,SELL,2026-06-10 13:30:00+00:00,28729.55,28789.55,28609.55,0.4,24.0,2026-06-10 13:43:00+00:00,28790.55,-24.400000000000002,stop,0.68,0.4,64.20000000000073,3.599999999998545,13.0,"{'walk_forward_fold': 2, 'selected_variant': 'wide_60_120'}"
A_RUNNER,SELL,2026-06-10 13:30:00+00:00,28729.55,28779.55,,0.49,24.5,2026-06-10 13:42:00+00:00,28780.55,-24.99,stop,0.833,0.49,55.20000000000073,3.599999999998545,12.0,"{'walk_forward_fold': 2, 'selected_variant': 'prev_m15_buffer5'}"
B1,SELL,2026-06-10 14:00:00+00:00,28791.75,28978.85,28511.1,0.26,48.645999999999624,2026-06-10 16:38:00+00:00,28979.85,-48.90599999999962,stop,0.442,0.26,195.09999999999854,215.79999999999927,158.0,"{'walk_forward_fold': 2, 'selected_variant': 'london_1.5R'}"
A_FIXED,SELL,2026-06-11 13:30:00+00:00,28843.2,28903.2,28723.2,0.4,24.0,2026-06-11 15:22:00+00:00,28724.2,47.6,target,0.68,0.4,38.79999999999927,130.70000000000073,112.0,"{'walk_forward_fold': 2, 'selected_variant': 'wide_60_120'}"
A_RUNNER,SELL,2026-06-11 13:30:00+00:00,28843.2,28876.95,,0.49,24.5,2026-06-11 13:34:00+00:00,28877.95,-17.0275,stop,0.833,0.49,38.79999999999927,0.0,4.0,"{'walk_forward_fold': 2, 'selected_variant': 'prev_m15_buffer5'}"
A_FIXED,SELL,2026-06-12 13:30:00+00:00,29498.05,29558.05,29378.05,0.4,24.0,2026-06-12 14:03:00+00:00,29559.05,-24.400000000000002,stop,0.68,0.4,62.0,1.2999999999992724,33.0,"{'walk_forward_fold': 2, 'selected_variant': 'wide_60_120'}"
A_RUNNER,SELL,2026-06-12 13:30:00+00:00,29498.05,29545.45,,0.49,24.5,2026-06-12 14:02:00+00:00,29546.45,-23.71600000000071,stop,0.833,0.49,48.60000000000218,1.2999999999992724,32.0,"{'walk_forward_fold': 2, 'selected_variant': 'prev_m15_buffer5'}"
B2,SELL,2026-06-12 14:16:00+00:00,29566.95,29667.95,29267.95,0.48,48.0,2026-06-12 16:42:00+00:00,29268.95,143.04,target,0.816,0.48,62.04999999999927,330.8000000000029,146.0,"{'pending_minutes': 16.0, 'walk_forward_fold': 2, 'selected_variant': 'baseline_3R'}"
A_FIXED,SELL,2026-06-15 13:30:00+00:00,30243.4,30303.4,30123.4,0.4,24.0,2026-06-15 16:25:00+00:00,30304.4,-24.400000000000002,stop,0.68,0.4,62.75,33.5,175.0,"{'walk_forward_fold': 2, 'selected_variant': 'wide_60_120'}"
A_RUNNER,SELL,2026-06-15 13:30:00+00:00,30243.4,30251.8,,0.49,24.5,2026-06-15 14:00:00+00:00,30252.8,-4.6059999999989305,stop,0.833,0.49,10.200000000000728,33.5,30.0,"{'walk_forward_fold': 2, 'selected_variant': 'prev_m15_buffer5'}"
B1,SELL,2026-06-15 14:00:00+00:00,30237.35,30306.8,30133.17,0.69,47.9205000000005,2026-06-15 16:27:00+00:00,30307.8,-48.6105000000005,stop,1.1729999999999998,0.69,80.00000000000364,17.749999999996362,147.0,"{'walk_forward_fold': 2, 'selected_variant': 'london_1.5R'}"
A_FIXED,SELL,2026-06-16 13:30:00+00:00,30585.8,30645.8,30465.8,0.4,24.0,2026-06-16 14:19:00+00:00,30646.8,-24.400000000000002,stop,0.68,0.4,68.10000000000218,10.049999999999272,49.0,"{'walk_forward_fold': 2, 'selected_variant': 'wide_60_120'}"
A_RUNNER,SELL,2026-06-16 13:30:00+00:00,30585.8,30601.0,,0.49,24.5,2026-06-16 13:39:00+00:00,30602.0,-7.938000000000357,stop,0.833,0.49,26.25,10.049999999999272,9.0,"{'walk_forward_fold': 2, 'selected_variant': 'prev_m15_buffer5'}"
B1,SELL,2026-06-16 14:00:00+00:00,30610.7,30624.6,30589.85,3.46,48.09399999999245,2026-06-16 14:00:00+00:00,30625.6,-51.55399999999245,stop,5.882,3.46,19.099999999998545,7.450000000000728,0.0,"{'walk_forward_fold': 2, 'selected_variant': 'london_1.5R'}"
A_FIXED,SELL,2026-06-17 13:30:00+00:00,30129.2,30189.2,30009.2,0.4,24.0,2026-06-17 15:38:00+00:00,30190.2,-24.400000000000002,stop,0.68,0.4,60.75,71.70000000000073,128.0,"{'walk_forward_fold': 2, 'selected_variant': 'wide_60_120'}"
A_RUNNER,SELL,2026-06-17 13:30:00+00:00,30129.2,30154.05,,0.49,24.5,2026-06-17 13:44:00+00:00,30155.05,-12.666499999999287,stop,0.833,0.49,26.950000000000728,8.200000000000728,14.0,"{'walk_forward_fold': 2, 'selected_variant': 'prev_m15_buffer5'}"
