status,r,side,setup_range,event,event_type,usd,risk_usd,tp_r,max_hold_minutes
be,0.0,buy,2.5520000000001346,Jul 02 NFP / Jobs,NFP,0.0,391.04,6,120
no_trigger,0.0,,2.1029999999996107,Jul 08 FOMC Minutes,FOMC,0.0,,6,120
be,0.0,buy,2.606000000000222,Jul 14 CPI,CPI,0.0,392.12,6,120
timeout,0.5231083844580898,sell,2.5599999999994907,Apr 29 FOMC Statement,FOMC,204.64,391.2,7,15
loss,-1.0,sell,1.988999999999578,May 08 NFP / Jobs,NFP,-379.78,379.78,7,15
no_trigger,0.0,,1.6419999999998254,May 12 CPI,CPI,0.0,,7,15
no_trigger,0.0,,1.694999999999709,May 20 FOMC Minutes,FOMC,0.0,,7,15
no_trigger,0.0,,2.6489999999994325,May 29 PCE,PCE,0.0,,7,15
timeout,0.4260403790688022,sell,2.4160000000001673,Jun 05 NFP / Jobs,NFP,165.44,388.32,7,15
be,0.0,buy,5.05199999999968,Jun 10 CPI,CPI,0.0,441.04,7,15
be,0.0,sell,1.375,Jun 17 FOMC Statement,FOMC,0.0,367.5,7,15
timeout,0.7467706013362881,buy,5.450000000000273,Jun 25 PCE,PCE,335.3,449.0,7,15
be,0.0,buy,2.5520000000001346,Jul 02 NFP / Jobs,NFP,0.0,391.04,7,15
no_trigger,0.0,,2.1029999999996107,Jul 08 FOMC Minutes,FOMC,0.0,,7,15
be,0.0,buy,2.606000000000222,Jul 14 CPI,CPI,0.0,392.12,7,15
timeout,0.44560327198366956,sell,2.5599999999994907,Apr 29 FOMC Statement,FOMC,174.32,391.2,7,30
loss,-1.0,sell,1.988999999999578,May 08 NFP / Jobs,NFP,-379.78,379.78,7,30
no_trigger,0.0,,1.6419999999998254,May 12 CPI,CPI,0.0,,7,30
no_trigger,0.0,,1.694999999999709,May 20 FOMC Minutes,FOMC,0.0,,7,30
no_trigger,0.0,,2.6489999999994325,May 29 PCE,PCE,0.0,,7,30
timeout,2.5877111660486176,sell,2.4160000000001673,Jun 05 NFP / Jobs,NFP,1004.86,388.32,7,30
be,0.0,buy,5.05199999999968,Jun 10 CPI,CPI,0.0,441.04,7,30
be,0.0,sell,1.375,Jun 17 FOMC Statement,FOMC,0.0,367.5,7,30
timeout,1.3826726057906162,buy,5.450000000000273,Jun 25 PCE,PCE,620.82,449.0,7,30
be,0.0,buy,2.5520000000001346,Jul 02 NFP / Jobs,NFP,0.0,391.04,7,30
no_trigger,0.0,,2.1029999999996107,Jul 08 FOMC Minutes,FOMC,0.0,,7,30
be,0.0,buy,2.606000000000222,Jul 14 CPI,CPI,0.0,392.12,7,30
be,0.0,sell,2.5599999999994907,Apr 29 FOMC Statement,FOMC,0.0,391.2,7,60
loss,-1.0,sell,1.988999999999578,May 08 NFP / Jobs,NFP,-379.78,379.78,7,60
no_trigger,0.0,,1.6419999999998254,May 12 CPI,CPI,0.0,,7,60
no_trigger,0.0,,1.694999999999709,May 20 FOMC Minutes,FOMC,0.0,,7,60
no_trigger,0.0,,2.6489999999994325,May 29 PCE,PCE,0.0,,7,60
timeout,2.911928306551297,sell,2.4160000000001673,Jun 05 NFP / Jobs,NFP,1130.76,388.32,7,60
be,0.0,buy,5.05199999999968,Jun 10 CPI,CPI,0.0,441.04,7,60
be,0.0,sell,1.375,Jun 17 FOMC Statement,FOMC,0.0,367.5,7,60
timeout,1.4903786191536492,buy,5.450000000000273,Jun 25 PCE,PCE,669.18,449.0,7,60
be,0.0,buy,2.5520000000001346,Jul 02 NFP / Jobs,NFP,0.0,391.04,7,60
no_trigger,0.0,,2.1029999999996107,Jul 08 FOMC Minutes,FOMC,0.0,,7,60
be,0.0,buy,2.606000000000222,Jul 14 CPI,CPI,0.0,392.12,7,60
be,0.0,sell,2.5599999999994907,Apr 29 FOMC Statement,FOMC,0.0,391.2,7,90
loss,-1.0,sell,1.988999999999578,May 08 NFP / Jobs,NFP,-379.78,379.78,7,90
no_trigger,0.0,,1.6419999999998254,May 12 CPI,CPI,0.0,,7,90
no_trigger,0.0,,1.694999999999709,May 20 FOMC Minutes,FOMC,0.0,,7,90
no_trigger,0.0,,2.6489999999994325,May 29 PCE,PCE,0.0,,7,90
timeout,4.492634940255434,sell,2.4160000000001673,Jun 05 NFP / Jobs,NFP,1744.58,388.32,7,90
be,0.0,buy,5.05199999999968,Jun 10 CPI,CPI,0.0,441.04,7,90
be,0.0,sell,1.375,Jun 17 FOMC Statement,FOMC,0.0,367.5,7,90
timeout,0.4941648106903992,buy,5.450000000000273,Jun 25 PCE,PCE,221.88,449.0,7,90
be,0.0,buy,2.5520000000001346,Jul 02 NFP / Jobs,NFP,0.0,391.04,7,90
no_trigger,0.0,,2.1029999999996107,Jul 08 FOMC Minutes,FOMC,0.0,,7,90
be,0.0,buy,2.606000000000222,Jul 14 CPI,CPI,0.0,392.12,7,90
be,0.0,sell,2.5599999999994907,Apr 29 FOMC Statement,FOMC,0.0,391.2,7,120
loss,-1.0,sell,1.988999999999578,May 08 NFP / Jobs,NFP,-379.78,379.78,7,120
no_trigger,0.0,,1.6419999999998254,May 12 CPI,CPI,0.0,,7,120
no_trigger,0.0,,1.694999999999709,May 20 FOMC Minutes,FOMC,0.0,,7,120
no_trigger,0.0,,2.6489999999994325,May 29 PCE,PCE,0.0,,7,120
timeout,4.842346518335364,sell,2.4160000000001673,Jun 05 NFP / Jobs,NFP,1880.38,388.32,7,120
be,0.0,buy,5.05199999999968,Jun 10 CPI,CPI,0.0,441.04,7,120
be,0.0,sell,1.375,Jun 17 FOMC Statement,FOMC,0.0,367.5,7,120
timeout,1.4891759465478567,buy,5.450000000000273,Jun 25 PCE,PCE,668.64,449.0,7,120
be,0.0,buy,2.5520000000001346,Jul 02 NFP / Jobs,NFP,0.0,391.04,7,120
no_trigger,0.0,,2.1029999999996107,Jul 08 FOMC Minutes,FOMC,0.0,,7,120
be,0.0,buy,2.606000000000222,Jul 14 CPI,CPI,0.0,392.12,7,120
timeout,0.5231083844580898,sell,2.5599999999994907,Apr 29 FOMC Statement,FOMC,204.64,391.2,8,15
loss,-1.0,sell,1.988999999999578,May 08 NFP / Jobs,NFP,-379.78,379.78,8,15
no_trigger,0.0,,1.6419999999998254,May 12 CPI,CPI,0.0,,8,15
no_trigger,0.0,,1.694999999999709,May 20 FOMC Minutes,FOMC,0.0,,8,15
no_trigger,0.0,,2.6489999999994325,May 29 PCE,PCE,0.0,,8,15
timeout,0.4260403790688022,sell,2.4160000000001673,Jun 05 NFP / Jobs,NFP,165.44,388.32,8,15
be,0.0,buy,5.05199999999968,Jun 10 CPI,CPI,0.0,441.04,8,15
be,0.0,sell,1.375,Jun 17 FOMC Statement,FOMC,0.0,367.5,8,15
timeout,0.7467706013362881,buy,5.450000000000273,Jun 25 PCE,PCE,335.3,449.0,8,15
be,0.0,buy,2.5520000000001346,Jul 02 NFP / Jobs,NFP,0.0,391.04,8,15
no_trigger,0.0,,2.1029999999996107,Jul 08 FOMC Minutes,FOMC,0.0,,8,15
be,0.0,buy,2.606000000000222,Jul 14 CPI,CPI,0.0,392.12,8,15
timeout,0.44560327198366956,sell,2.5599999999994907,Apr 29 FOMC Statement,FOMC,174.32,391.2,8,30
loss,-1.0,sell,1.988999999999578,May 08 NFP / Jobs,NFP,-379.78,379.78,8,30
no_trigger,0.0,,1.6419999999998254,May 12 CPI,CPI,0.0,,8,30
no_trigger,0.0,,1.694999999999709,May 20 FOMC Minutes,FOMC,0.0,,8,30
no_trigger,0.0,,2.6489999999994325,May 29 PCE,PCE,0.0,,8,30
timeout,2.5877111660486176,sell,2.4160000000001673,Jun 05 NFP / Jobs,NFP,1004.86,388.32,8,30
be,0.0,buy,5.05199999999968,Jun 10 CPI,CPI,0.0,441.04,8,30
be,0.0,sell,1.375,Jun 17 FOMC Statement,FOMC,0.0,367.5,8,30
timeout,1.3826726057906162,buy,5.450000000000273,Jun 25 PCE,PCE,620.82,449.0,8,30
be,0.0,buy,2.5520000000001346,Jul 02 NFP / Jobs,NFP,0.0,391.04,8,30
no_trigger,0.0,,2.1029999999996107,Jul 08 FOMC Minutes,FOMC,0.0,,8,30
be,0.0,buy,2.606000000000222,Jul 14 CPI,CPI,0.0,392.12,8,30
be,0.0,sell,2.5599999999994907,Apr 29 FOMC Statement,FOMC,0.0,391.2,8,60
loss,-1.0,sell,1.988999999999578,May 08 NFP / Jobs,NFP,-379.78,379.78,8,60
no_trigger,0.0,,1.6419999999998254,May 12 CPI,CPI,0.0,,8,60
no_trigger,0.0,,1.694999999999709,May 20 FOMC Minutes,FOMC,0.0,,8,60
no_trigger,0.0,,2.6489999999994325,May 29 PCE,PCE,0.0,,8,60
timeout,2.911928306551297,sell,2.4160000000001673,Jun 05 NFP / Jobs,NFP,1130.76,388.32,8,60
be,0.0,buy,5.05199999999968,Jun 10 CPI,CPI,0.0,441.04,8,60
be,0.0,sell,1.375,Jun 17 FOMC Statement,FOMC,0.0,367.5,8,60
timeout,1.4903786191536492,buy,5.450000000000273,Jun 25 PCE,PCE,669.18,449.0,8,60
be,0.0,buy,2.5520000000001346,Jul 02 NFP / Jobs,NFP,0.0,391.04,8,60
no_trigger,0.0,,2.1029999999996107,Jul 08 FOMC Minutes,FOMC,0.0,,8,60
be,0.0,buy,2.606000000000222,Jul 14 CPI,CPI,0.0,392.12,8,60
be,0.0,sell,2.5599999999994907,Apr 29 FOMC Statement,FOMC,0.0,391.2,8,90
loss,-1.0,sell,1.988999999999578,May 08 NFP / Jobs,NFP,-379.78,379.78,8,90
no_trigger,0.0,,1.6419999999998254,May 12 CPI,CPI,0.0,,8,90
no_trigger,0.0,,1.694999999999709,May 20 FOMC Minutes,FOMC,0.0,,8,90
no_trigger,0.0,,2.6489999999994325,May 29 PCE,PCE,0.0,,8,90
timeout,4.492634940255434,sell,2.4160000000001673,Jun 05 NFP / Jobs,NFP,1744.58,388.32,8,90
be,0.0,buy,5.05199999999968,Jun 10 CPI,CPI,0.0,441.04,8,90
be,0.0,sell,1.375,Jun 17 FOMC Statement,FOMC,0.0,367.5,8,90
timeout,0.4941648106903992,buy,5.450000000000273,Jun 25 PCE,PCE,221.88,449.0,8,90
be,0.0,buy,2.5520000000001346,Jul 02 NFP / Jobs,NFP,0.0,391.04,8,90
no_trigger,0.0,,2.1029999999996107,Jul 08 FOMC Minutes,FOMC,0.0,,8,90
be,0.0,buy,2.606000000000222,Jul 14 CPI,CPI,0.0,392.12,8,90
be,0.0,sell,2.5599999999994907,Apr 29 FOMC Statement,FOMC,0.0,391.2,8,120
loss,-1.0,sell,1.988999999999578,May 08 NFP / Jobs,NFP,-379.78,379.78,8,120
no_trigger,0.0,,1.6419999999998254,May 12 CPI,CPI,0.0,,8,120
no_trigger,0.0,,1.694999999999709,May 20 FOMC Minutes,FOMC,0.0,,8,120
no_trigger,0.0,,2.6489999999994325,May 29 PCE,PCE,0.0,,8,120
timeout,4.842346518335364,sell,2.4160000000001673,Jun 05 NFP / Jobs,NFP,1880.38,388.32,8,120
be,0.0,buy,5.05199999999968,Jun 10 CPI,CPI,0.0,441.04,8,120
be,0.0,sell,1.375,Jun 17 FOMC Statement,FOMC,0.0,367.5,8,120
timeout,1.4891759465478567,buy,5.450000000000273,Jun 25 PCE,PCE,668.64,449.0,8,120
be,0.0,buy,2.5520000000001346,Jul 02 NFP / Jobs,NFP,0.0,391.04,8,120
no_trigger,0.0,,2.1029999999996107,Jul 08 FOMC Minutes,FOMC,0.0,,8,120
be,0.0,buy,2.606000000000222,Jul 14 CPI,CPI,0.0,392.12,8,120
timeout,0.5231083844580898,sell,2.5599999999994907,Apr 29 FOMC Statement,FOMC,204.64,391.2,10,15
loss,-1.0,sell,1.988999999999578,May 08 NFP / Jobs,NFP,-379.78,379.78,10,15
no_trigger,0.0,,1.6419999999998254,May 12 CPI,CPI,0.0,,10,15
no_trigger,0.0,,1.694999999999709,May 20 FOMC Minutes,FOMC,0.0,,10,15
no_trigger,0.0,,2.6489999999994325,May 29 PCE,PCE,0.0,,10,15
timeout,0.4260403790688022,sell,2.4160000000001673,Jun 05 NFP / Jobs,NFP,165.44,388.32,10,15
be,0.0,buy,5.05199999999968,Jun 10 CPI,CPI,0.0,441.04,10,15
be,0.0,sell,1.375,Jun 17 FOMC Statement,FOMC,0.0,367.5,10,15
timeout,0.7467706013362881,buy,5.450000000000273,Jun 25 PCE,PCE,335.3,449.0,10,15
be,0.0,buy,2.5520000000001346,Jul 02 NFP / Jobs,NFP,0.0,391.04,10,15
no_trigger,0.0,,2.1029999999996107,Jul 08 FOMC Minutes,FOMC,0.0,,10,15
be,0.0,buy,2.606000000000222,Jul 14 CPI,CPI,0.0,392.12,10,15
timeout,0.44560327198366956,sell,2.5599999999994907,Apr 29 FOMC Statement,FOMC,174.32,391.2,10,30
loss,-1.0,sell,1.988999999999578,May 08 NFP / Jobs,NFP,-379.78,379.78,10,30
no_trigger,0.0,,1.6419999999998254,May 12 CPI,CPI,0.0,,10,30
no_trigger,0.0,,1.694999999999709,May 20 FOMC Minutes,FOMC,0.0,,10,30
no_trigger,0.0,,2.6489999999994325,May 29 PCE,PCE,0.0,,10,30
timeout,2.5877111660486176,sell,2.4160000000001673,Jun 05 NFP / Jobs,NFP,1004.86,388.32,10,30
be,0.0,buy,5.05199999999968,Jun 10 CPI,CPI,0.0,441.04,10,30
be,0.0,sell,1.375,Jun 17 FOMC Statement,FOMC,0.0,367.5,10,30
timeout,1.3826726057906162,buy,5.450000000000273,Jun 25 PCE,PCE,620.82,449.0,10,30
be,0.0,buy,2.5520000000001346,Jul 02 NFP / Jobs,NFP,0.0,391.04,10,30
no_trigger,0.0,,2.1029999999996107,Jul 08 FOMC Minutes,FOMC,0.0,,10,30
be,0.0,buy,2.606000000000222,Jul 14 CPI,CPI,0.0,392.12,10,30
be,0.0,sell,2.5599999999994907,Apr 29 FOMC Statement,FOMC,0.0,391.2,10,60
loss,-1.0,sell,1.988999999999578,May 08 NFP / Jobs,NFP,-379.78,379.78,10,60
no_trigger,0.0,,1.6419999999998254,May 12 CPI,CPI,0.0,,10,60
no_trigger,0.0,,1.694999999999709,May 20 FOMC Minutes,FOMC,0.0,,10,60
no_trigger,0.0,,2.6489999999994325,May 29 PCE,PCE,0.0,,10,60
timeout,2.911928306551297,sell,2.4160000000001673,Jun 05 NFP / Jobs,NFP,1130.76,388.32,10,60
be,0.0,buy,5.05199999999968,Jun 10 CPI,CPI,0.0,441.04,10,60
be,0.0,sell,1.375,Jun 17 FOMC Statement,FOMC,0.0,367.5,10,60
timeout,1.4903786191536492,buy,5.450000000000273,Jun 25 PCE,PCE,669.18,449.0,10,60
be,0.0,buy,2.5520000000001346,Jul 02 NFP / Jobs,NFP,0.0,391.04,10,60
no_trigger,0.0,,2.1029999999996107,Jul 08 FOMC Minutes,FOMC,0.0,,10,60
be,0.0,buy,2.606000000000222,Jul 14 CPI,CPI,0.0,392.12,10,60
be,0.0,sell,2.5599999999994907,Apr 29 FOMC Statement,FOMC,0.0,391.2,10,90
loss,-1.0,sell,1.988999999999578,May 08 NFP / Jobs,NFP,-379.78,379.78,10,90
no_trigger,0.0,,1.6419999999998254,May 12 CPI,CPI,0.0,,10,90
no_trigger,0.0,,1.694999999999709,May 20 FOMC Minutes,FOMC,0.0,,10,90
no_trigger,0.0,,2.6489999999994325,May 29 PCE,PCE,0.0,,10,90
timeout,4.492634940255434,sell,2.4160000000001673,Jun 05 NFP / Jobs,NFP,1744.58,388.32,10,90
be,0.0,buy,5.05199999999968,Jun 10 CPI,CPI,0.0,441.04,10,90
be,0.0,sell,1.375,Jun 17 FOMC Statement,FOMC,0.0,367.5,10,90
timeout,0.4941648106903992,buy,5.450000000000273,Jun 25 PCE,PCE,221.88,449.0,10,90
be,0.0,buy,2.5520000000001346,Jul 02 NFP / Jobs,NFP,0.0,391.04,10,90
no_trigger,0.0,,2.1029999999996107,Jul 08 FOMC Minutes,FOMC,0.0,,10,90
be,0.0,buy,2.606000000000222,Jul 14 CPI,CPI,0.0,392.12,10,90
be,0.0,sell,2.5599999999994907,Apr 29 FOMC Statement,FOMC,0.0,391.2,10,120
loss,-1.0,sell,1.988999999999578,May 08 NFP / Jobs,NFP,-379.78,379.78,10,120
no_trigger,0.0,,1.6419999999998254,May 12 CPI,CPI,0.0,,10,120
no_trigger,0.0,,1.694999999999709,May 20 FOMC Minutes,FOMC,0.0,,10,120
no_trigger,0.0,,2.6489999999994325,May 29 PCE,PCE,0.0,,10,120
timeout,4.842346518335364,sell,2.4160000000001673,Jun 05 NFP / Jobs,NFP,1880.38,388.32,10,120
be,0.0,buy,5.05199999999968,Jun 10 CPI,CPI,0.0,441.04,10,120
be,0.0,sell,1.375,Jun 17 FOMC Statement,FOMC,0.0,367.5,10,120
timeout,1.4891759465478567,buy,5.450000000000273,Jun 25 PCE,PCE,668.64,449.0,10,120
be,0.0,buy,2.5520000000001346,Jul 02 NFP / Jobs,NFP,0.0,391.04,10,120
no_trigger,0.0,,2.1029999999996107,Jul 08 FOMC Minutes,FOMC,0.0,,10,120
be,0.0,buy,2.606000000000222,Jul 14 CPI,CPI,0.0,392.12,10,120
