trail_start_r,trail_distance_r,max_hold_minutes,trades,wins,losses,breakevens,win_rate,total_r,final_balance,net_usd,return_pct,max_drawdown_usd,min_balance,below_zero
10.0,1.5,120,26,7,9,10,0.2692307692307692,8.229577684076638,2128.9800000000005,1628.9800000000005,325.79600000000005,891.56,500.0,False
10.0,2.0,120,26,7,9,10,0.2692307692307692,8.229577684076638,2128.9800000000005,1628.9800000000005,325.79600000000005,891.56,500.0,False
10.0,3.0,120,26,7,9,10,0.2692307692307692,8.229577684076638,2128.9800000000005,1628.9800000000005,325.79600000000005,891.56,500.0,False
10.0,4.0,120,26,7,9,10,0.2692307692307692,8.229577684076638,2128.9800000000005,1628.9800000000005,325.79600000000005,891.56,500.0,False
2.0,0.75,120,26,10,9,7,0.38461538461538464,7.737466930302672,2051.13,1551.13,310.226,615.23,500.0,False
5.0,0.75,120,26,7,9,10,0.2692307692307692,7.605905729484869,2000.42,1500.42,300.084,891.56,500.0,False
5.0,0.75,240,26,7,8,11,0.2692307692307692,7.478535229917197,1966.93,1466.93,293.386,1247.63,500.0,False
3.0,1.0,120,26,7,9,10,0.2692307692307692,7.355905729484847,1948.89,1448.89,289.778,891.56,500.0,False
4.0,1.0,120,26,7,9,10,0.2692307692307692,7.355905729484847,1948.89,1448.89,289.778,891.56,500.0,False
5.0,1.0,120,26,7,9,10,0.2692307692307692,7.355905729484847,1948.89,1448.89,289.778,891.56,500.0,False
2.0,0.75,240,26,10,8,8,0.38461538461538464,7.007696698153409,1880.22,1380.22,276.044,971.3000000000001,397.5000000000001,False
3.0,1.0,240,26,7,8,11,0.2692307692307692,6.978535229917164,1866.8600000000001,1366.8600000000001,273.372,1247.63,478.5000000000001,False
4.0,1.0,240,26,7,8,11,0.2692307692307692,6.978535229917164,1866.8600000000001,1366.8600000000001,273.372,1247.63,478.5000000000001,False
5.0,1.0,240,26,7,8,11,0.2692307692307692,6.978535229917164,1866.8600000000001,1366.8600000000001,273.372,1247.63,478.5000000000001,False
3.0,0.75,120,26,7,9,10,0.2692307692307692,6.748829091660421,1834.01,1334.01,266.80199999999996,891.56,500.0,False
4.0,0.75,120,26,7,9,10,0.2692307692307692,6.748829091660421,1834.01,1334.01,266.80199999999996,891.56,500.0,False
5.0,0.75,360,26,6,9,11,0.23076923076923078,6.711205371732859,1808.5,1308.5,261.7,1247.63,444.93999999999994,False
5.0,0.75,720,26,6,9,11,0.23076923076923078,6.711205371732859,1808.5,1308.5,261.7,1247.63,444.93999999999994,False
2.0,0.75,360,26,9,9,8,0.34615384615384615,6.4993408770422505,1782.77,1282.77,256.554,971.3,300.0500000000001,False
2.0,0.75,720,26,9,9,8,0.34615384615384615,6.4993408770422505,1782.77,1282.77,256.554,971.3,300.0500000000001,False
3.0,0.75,240,26,7,8,11,0.2692307692307692,6.469625052743743,1771.04,1271.04,254.208,1247.63,500.0,False
4.0,0.75,240,26,7,8,11,0.2692307692307692,6.469625052743743,1771.04,1271.04,254.208,1247.63,500.0,False
3.0,1.0,360,26,6,9,11,0.23076923076923078,6.211205371732825,1708.4299999999998,1208.4299999999998,241.68599999999998,1247.63,393.40999999999997,False
3.0,1.0,720,26,6,9,11,0.23076923076923078,6.211205371732825,1708.4299999999998,1208.4299999999998,241.68599999999998,1247.63,393.40999999999997,False
4.0,1.0,360,26,6,9,11,0.23076923076923078,6.211205371732825,1708.4299999999998,1208.4299999999998,241.68599999999998,1247.63,393.40999999999997,False
4.0,1.0,720,26,6,9,11,0.23076923076923078,6.211205371732825,1708.4299999999998,1208.4299999999998,241.68599999999998,1247.63,393.40999999999997,False
5.0,1.0,360,26,6,9,11,0.23076923076923078,6.211205371732825,1708.4299999999998,1208.4299999999998,241.68599999999998,1247.63,393.40999999999997,False
5.0,1.0,720,26,6,9,11,0.23076923076923078,6.211205371732825,1708.4299999999998,1208.4299999999998,241.68599999999998,1247.63,393.40999999999997,False
3.0,0.75,360,26,6,9,11,0.23076923076923078,5.702295194559406,1612.6099999999997,1112.6099999999997,222.52199999999993,1247.63,444.93999999999994,False
3.0,0.75,720,26,6,9,11,0.23076923076923078,5.702295194559406,1612.6099999999997,1112.6099999999997,222.52199999999993,1247.63,444.93999999999994,False
4.0,0.75,360,26,6,9,11,0.23076923076923078,5.702295194559406,1612.6099999999997,1112.6099999999997,222.52199999999993,1247.63,444.93999999999994,False
4.0,0.75,720,26,6,9,11,0.23076923076923078,5.702295194559406,1612.6099999999997,1112.6099999999997,222.52199999999993,1247.63,444.93999999999994,False
