case_id,stage,asset,symbol,period,direction,geometry,entry_offset,stop_distance,trail_distance,management,placement_lead_seconds,close_seconds,dynamic,buy,sell,risk_per_enabled_side_pct,total_planned_event_risk_pct,from,to,execution_mode,report,initial_balance,final_balance,net_profit,return_pct,gross_profit,gross_loss,profit_factor,win_rate_pct,wins,losses,trades,max_drawdown_amount,max_drawdown_pct,sharpe_ratio,recovery_factor,history_quality_pct,bars,selection_score
ethusd__sell-only__e3-s3__lead30-close60-trail250,Calibration,ethusd,ETHUSD,M1,sell-only,e3-s3,3.0,3.0,7.5,lead30-close60-trail250,30,60,False,False,True,0.75,1.5,2025.09.01,2026.05.31,1,C:\Users\hama101\Desktop\geek\ai trader\AAA EAs\BM Trading Robust Sets 2026-08-04\News Pulse Crypto Extension 2026-09-11\Backtest Reports\Calibration\ethusd__sell-only__e3-s3__lead30-close60-trail250.htm,10000.0,14331.52,4331.52,43.315200000000004,5166.3,-834.78,6.19,50.0,7,7,14,784.99,5.23,48.07,5.52,100.0,391567,49.78597516175152
ethusd__sell-only__e4-s4__lead30-close60-trail250,Calibration,ethusd,ETHUSD,M1,sell-only,e4-s4,4.0,4.0,10.0,lead30-close60-trail250,30,60,False,False,True,0.75,1.5,2025.09.01,2026.05.31,1,C:\Users\hama101\Desktop\geek\ai trader\AAA EAs\BM Trading Robust Sets 2026-08-04\News Pulse Crypto Extension 2026-09-11\Backtest Reports\Calibration\ethusd__sell-only__e4-s4__lead30-close60-trail250.htm,10000.0,12924.18,2924.18,29.2418,3617.67,-693.49,5.22,41.67,5,7,12,761.18,5.58,25.23,3.84,100.0,391567,35.004297308103745
ethusd__sell-only__e6-s4__lead30-close60-trail250,Calibration,ethusd,ETHUSD,M1,sell-only,e6-s4,6.0,4.0,10.0,lead30-close60-trail250,30,60,False,False,True,0.75,1.5,2025.09.01,2026.05.31,1,C:\Users\hama101\Desktop\geek\ai trader\AAA EAs\BM Trading Robust Sets 2026-08-04\News Pulse Crypto Extension 2026-09-11\Backtest Reports\Calibration\ethusd__sell-only__e6-s4__lead30-close60-trail250.htm,10000.0,12920.75,2920.75,29.207499999999996,3409.8,-489.05,6.97,44.44,4,5,9,700.18,5.14,8.77,4.17,100.0,391567,34.42883333333333
ethusd__sell-only__e6-s6__lead30-close60-trail250,Calibration,ethusd,ETHUSD,M1,sell-only,e6-s6,6.0,6.0,15.0,lead30-close60-trail250,30,60,False,False,True,0.75,1.5,2025.09.01,2026.05.31,1,C:\Users\hama101\Desktop\geek\ai trader\AAA EAs\BM Trading Robust Sets 2026-08-04\News Pulse Crypto Extension 2026-09-11\Backtest Reports\Calibration\ethusd__sell-only__e6-s6__lead30-close60-trail250.htm,10000.0,11616.5,1616.5,16.165,1999.38,-382.88,5.22,44.44,4,5,9,585.01,4.79,7.73,2.76,100.0,391567,21.66633333333333
ethusd__sell-only__e8-s6__lead30-close60-trail250,Calibration,ethusd,ETHUSD,M1,sell-only,e8-s6,8.0,6.0,15.0,lead30-close60-trail250,30,60,False,False,True,0.75,1.5,2025.09.01,2026.05.31,1,C:\Users\hama101\Desktop\geek\ai trader\AAA EAs\BM Trading Robust Sets 2026-08-04\News Pulse Crypto Extension 2026-09-11\Backtest Reports\Calibration\ethusd__sell-only__e8-s6__lead30-close60-trail250.htm,10000.0,11894.23,1894.23,18.9423,2044.82,-150.59,13.58,66.67,4,2,6,251.01,2.07,2.41,7.55,100.0,391567,25.12133419072274
ethusd__sell-only__e9-s9__lead30-close60-trail250,Calibration,ethusd,ETHUSD,M1,sell-only,e9-s9,9.0,9.0,22.5,lead30-close60-trail250,30,60,False,False,True,0.75,1.5,2025.09.01,2026.05.31,1,C:\Users\hama101\Desktop\geek\ai trader\AAA EAs\BM Trading Robust Sets 2026-08-04\News Pulse Crypto Extension 2026-09-11\Backtest Reports\Calibration\ethusd__sell-only__e9-s9__lead30-close60-trail250.htm,10000.0,10985.94,985.94,9.8594,1121.7,-135.76,8.26,50.0,3,3,6,265.7,2.36,2.03,3.71,100.0,391567,15.806434190722742
ethusd__sell-only__e12-s12__lead30-close60-trail250,Calibration,ethusd,ETHUSD,M1,sell-only,e12-s12,12.0,12.0,30.0,lead30-close60-trail250,30,60,False,False,True,0.75,1.5,2025.09.01,2026.05.31,1,C:\Users\hama101\Desktop\geek\ai trader\AAA EAs\BM Trading Robust Sets 2026-08-04\News Pulse Crypto Extension 2026-09-11\Backtest Reports\Calibration\ethusd__sell-only__e12-s12__lead30-close60-trail250.htm,10000.0,10542.87,542.87,5.4287,682.95,-140.08,4.88,60.0,3,2,5,304.27,2.81,1.08,1.78,100.0,391567,10.236428090000839
ethusd__sell-only__e18-s12__lead30-close60-trail250,Calibration,ethusd,ETHUSD,M1,sell-only,e18-s12,18.0,12.0,30.0,lead30-close60-trail250,30,60,False,False,True,0.75,1.5,2025.09.01,2026.05.31,1,C:\Users\hama101\Desktop\geek\ai trader\AAA EAs\BM Trading Robust Sets 2026-08-04\News Pulse Crypto Extension 2026-09-11\Backtest Reports\Calibration\ethusd__sell-only__e18-s12__lead30-close60-trail250.htm,10000.0,10474.66,474.66,4.7466,575.23,-100.57,5.72,50.0,2,2,4,292.19,2.71,0.69,1.62,100.0,391567,-1000000000.0
ethusd__two-sided__e3-s3__lead30-close60-trail250,Calibration,ethusd,ETHUSD,M1,two-sided,e3-s3,3.0,3.0,7.5,lead30-close60-trail250,30,60,False,True,True,0.75,1.5,2025.09.01,2026.05.31,1,C:\Users\hama101\Desktop\geek\ai trader\AAA EAs\BM Trading Robust Sets 2026-08-04\News Pulse Crypto Extension 2026-09-11\Backtest Reports\Calibration\ethusd__two-sided__e3-s3__lead30-close60-trail250.htm,10000.0,22638.239999999998,12638.24,126.3824,15420.19,-2781.95,5.54,54.29,19,16,35,1290.86,5.39,285.36,9.79,100.0,391567,134.68978298108593
ethusd__two-sided__e4-s4__lead30-close60-trail250,Calibration,ethusd,ETHUSD,M1,two-sided,e4-s4,4.0,4.0,10.0,lead30-close60-trail250,30,60,False,True,True,0.75,1.5,2025.09.01,2026.05.31,1,C:\Users\hama101\Desktop\geek\ai trader\AAA EAs\BM Trading Robust Sets 2026-08-04\News Pulse Crypto Extension 2026-09-11\Backtest Reports\Calibration\ethusd__two-sided__e4-s4__lead30-close60-trail250.htm,10000.0,16835.63,6835.63,68.3563,9014.3,-2178.67,4.14,50.0,16,16,32,1092.79,6.1,260.28,6.26,100.0,391567,75.94076609406727
