rr,symbol,timeframe,month,opened_at,closed_at,direction,entry,stop_loss,take_profit,exit_price,result,pnl,r_multiple,setup_score,entry_model,bot,_opened_sort,balance_before,pnl_dynamic,balance_after,range_minutes,date,range_high,range_low,range_atr,logical_symbol,broker_symbol,side,signal_time,entry_time,exit_time,sl,tp1,tp2,tp5,risk_per_lot,bull_pct,bear_pct,bias,atr,spread,entry_time_iso,exit_time_iso,lot,risk_budget,actual_risk
,BTCUSD,,,2026-06-11T16:00:00Z,,,62692.33,,,64272.05,trail_stop,15.8,1.0,,,Sniper,2026-06-11 16:00:00,2064.45,103.22,2167.67,,,,,,BTCUSD,BTCUSDm,BUY,1781193600.0,1781193600.0,1781724900.0,61112.61,64272.05,65851.76,70590.91,1579.72,57.14,28.57,MILD BULL,1053.14,10.0,2026-06-11T16:00:00Z,2026-06-17T19:35:00Z,0.01,17.7,15.8
6.0,GBPJPY,M15,2026-06,2026-06-11 23:15:00,2026-06-11 23:45:00,SELL,214.707,214.81147,214.08018,214.81147,loss,-10447.0,-1.0,95.0,Entry Model 3 - Confirmation of Internal Structure,LTA,2026-06-11 23:15:00,2167.67,-108.38,2059.29,,,,,,,,,,,,,,,,,,,,,,,,,,
6.0,AUDUSD,,2026-06,2026-06-11 23:15:00,2026-06-12 02:30:00,SELL,0.70489,0.70523,0.70285,0.70285,win,204.0,6.0,,,ORB,2026-06-11 23:15:00,2059.29,617.79,2677.08,15.0,2026-06-11,0.70523,0.70489,0.6781,,,,,,,,,,,,,,,,,,,,,
6.0,GBPJPY,M15,2026-06,2026-06-12 00:45:00,2026-06-12 02:00:00,SELL,214.748,214.85685,214.0949,214.85685,loss,-10885.0,-1.0,92.0,Entry Model 1 - Double Wick Confirmation + Entry Model 3 - Confirmation of Internal Structure,LTA,2026-06-12 00:45:00,2677.08,-133.85,2543.22,,,,,,,,,,,,,,,,,,,,,,,,,,
6.0,AUDUSD,,2026-06,2026-06-14 23:15:00,2026-06-14 23:45:00,SELL,0.70718,0.7077,0.70406,0.7077,loss,-52.0,-1.0,,,ORB,2026-06-14 23:15:00,2543.22,-127.16,2416.06,15.0,2026-06-14,0.7077,0.70718,0.7679,,,,,,,,,,,,,,,,,,,,,
3.0,NZDUSD,,2026-06,2026-06-15 23:15:00,2026-06-16 00:15:00,BUY,0.58268,0.58237,0.58361,0.58237,loss,-31.0,-1.0,,,ORB,2026-06-15 23:15:00,2416.06,-120.8,2295.26,15.0,2026-06-15,0.58268,0.58237,1.3822,,,,,,,,,,,,,,,,,,,,,
6.0,GBPJPY,M15,2026-06,2026-06-16 05:15:00,2026-06-16 07:00:00,SELL,214.729,214.8027,214.2868,214.8027,loss,-7370.0,-1.0,100.0,Entry Model 2 - Internal Swing Confirmation,LTA,2026-06-16 05:15:00,2295.26,-114.76,2180.5,,,,,,,,,,,,,,,,,,,,,,,,,,
6.0,AUDUSD,,2026-06,2026-06-16 23:15:00,2026-06-16 23:45:00,BUY,0.70691,0.70675,0.70787,0.70675,loss,-16.0,-1.0,,,ORB,2026-06-16 23:15:00,2180.5,-109.02,2071.47,15.0,2026-06-16,0.70691,0.70675,0.8327,,,,,,,,,,,,,,,,,,,,,
6.0,AUDUSD,,2026-06,2026-06-17 23:15:00,2026-06-18 06:00:00,BUY,0.70183,0.70141,0.70435,0.70327,timeout,144.0,3.4286,,,ORB,2026-06-17 23:15:00,2071.47,355.11,2426.58,15.0,2026-06-17,0.70183,0.70141,1.0519,,,,,,,,,,,,,,,,,,,,,
6.0,AUDUSD,,2026-06,2026-06-18 23:15:00,2026-06-19 01:00:00,SELL,0.70163,0.70176,0.70085,0.70085,win,78.0,6.0,,,ORB,2026-06-18 23:15:00,2426.58,727.98,3154.56,15.0,2026-06-18,0.70176,0.70163,0.4764,,,,,,,,,,,,,,,,,,,,,
