candidate,stage,score,mode,risk_pct,grid_levels,first_offset_atr,grid_step_atr,stop_extra_atr,target_atr,be_trigger_r,be_lock_r,trail_start_r,trail_distance_atr,pending_expiry_bars,max_hold_bars,cooldown_bars,session_start_utc,session_end_utc,adx_min,adx_max,range_adx_max,rsi_long_max,rsi_short_min,max_spread_price,max_daily_loss_pct,start,end,starting_balance,ending_balance,net_profit,return_pct,trades,wins,losses,win_rate,profit_factor,max_drawdown_pct,realized_drawdown_pct,max_consecutive_losses,exposure_pct_max
31,train,-10000.0,trend,0.5,2,0.35,0.9,1.3,1.75,0.0,0.0,0.0,0.8,12,72,12,6,19,18.0,38.0,20.0,50.0,50.0,0.8,1.0,2025-01-31 01:15:00+00:00,2026-02-04 17:35:00+00:00,10000.0,9757.53857258429,-242.4614274157102,-2.4246142741570997,27,12,15,44.44444444444444,0.5401575798420202,3.1351677311575523,2.811976349093964,5,0.4943076496302923
32,train,-10000.0,trend,0.5,2,0.35,0.9,1.3,1.75,1.0,0.1,0.0,0.8,12,72,12,6,19,18.0,38.0,20.0,50.0,50.0,0.8,1.0,2025-01-31 01:15:00+00:00,2026-02-04 17:35:00+00:00,10000.0,9757.53857258429,-242.4614274157102,-2.4246142741570997,27,12,15,44.44444444444444,0.5401575798420202,3.1351677311575523,2.811976349093964,5,0.4943076496302923
33,train,-10000.0,trend,0.5,3,0.2,0.6,0.9,1.25,0.0,0.0,0.0,0.8,12,72,12,6,19,18.0,38.0,20.0,50.0,50.0,0.8,1.0,2025-01-31 01:15:00+00:00,2026-02-04 17:35:00+00:00,10000.0,9940.007201906543,-59.99279809345717,-0.599927980934567,29,18,11,62.06896551724138,0.8377159908818312,1.5458027669693797,1.5458027669693797,4,0.4880883970213276
34,train,-10000.0,trend,0.5,3,0.2,0.6,0.9,1.25,1.0,0.1,0.0,0.8,12,72,12,6,19,18.0,38.0,20.0,50.0,50.0,0.8,1.0,2025-01-31 01:15:00+00:00,2026-02-04 17:35:00+00:00,10000.0,9940.007201906543,-59.99279809345717,-0.599927980934567,29,18,11,62.06896551724138,0.8377159908818312,1.5458027669693797,1.5458027669693797,4,0.4880883970213276
35,train,-10000.0,trend,0.5,3,0.2,0.6,0.9,1.75,0.0,0.0,0.0,0.8,12,72,12,6,19,18.0,38.0,20.0,50.0,50.0,0.8,1.0,2025-01-31 01:15:00+00:00,2026-02-04 17:35:00+00:00,10000.0,9868.9947019544,-131.00529804560028,-1.3100529804560002,27,13,14,48.148148148148145,0.7028139126301765,1.8617175047295902,1.6232445821961552,4,0.5006716015525953
36,train,-10000.0,trend,0.5,3,0.2,0.6,0.9,1.75,1.0,0.1,0.0,0.8,12,72,12,6,19,18.0,38.0,20.0,50.0,50.0,0.8,1.0,2025-01-31 01:15:00+00:00,2026-02-04 17:35:00+00:00,10000.0,9935.383720989345,-64.61627901065549,-0.6461627901065525,27,15,12,55.55555555555556,0.830792004773552,1.4447730205903202,1.4447730205903202,4,0.4973373570801462
37,train,-10000.0,trend,0.5,3,0.2,0.6,1.3,1.25,0.0,0.0,0.0,0.8,12,72,12,6,19,18.0,38.0,20.0,50.0,50.0,0.8,1.0,2025-01-31 01:15:00+00:00,2026-02-04 17:35:00+00:00,10000.0,9956.411212110623,-43.58878788937727,-0.43588787889377034,26,17,9,65.38461538461539,0.8628609653359017,1.185348878410779,1.134663770904054,2,0.46512240712449515
38,train,-10000.0,trend,0.5,3,0.2,0.6,1.3,1.25,1.0,0.1,0.0,0.8,12,72,12,6,19,18.0,38.0,20.0,50.0,50.0,0.8,1.0,2025-01-31 01:15:00+00:00,2026-02-04 17:35:00+00:00,10000.0,9956.411212110623,-43.58878788937727,-0.43588787889377034,26,17,9,65.38461538461539,0.8628609653359017,1.185348878410779,1.134663770904054,2,0.46512240712449515
39,train,-10000.0,trend,0.5,3,0.2,0.6,1.3,1.75,0.0,0.0,0.0,0.8,12,72,12,6,19,18.0,38.0,20.0,50.0,50.0,0.8,1.0,2025-01-31 01:15:00+00:00,2026-02-04 17:35:00+00:00,10000.0,9925.410847000832,-74.58915299916771,-0.7458915299916824,25,13,12,52.0,0.8070406631160024,1.5056848413336936,1.048102398747206,3,0.4757894073840029
40,train,-10000.0,trend,0.5,3,0.2,0.6,1.3,1.75,1.0,0.1,0.0,0.8,12,72,12,6,19,18.0,38.0,20.0,50.0,50.0,0.8,1.0,2025-01-31 01:15:00+00:00,2026-02-04 17:35:00+00:00,10000.0,9925.410847000832,-74.58915299916771,-0.7458915299916824,25,13,12,52.0,0.8070406631160024,1.5056848413336936,1.048102398747206,3,0.4757894073840029
