selection_method,selected_symbols,range_minutes,atr_stop_fraction,relative_volume_min,top_n,robust_score,train_start,train_end,train_starting_balance,train_ending_balance,train_net_profit,train_return_percent,train_max_drawdown_percent,train_trades,train_wins,train_losses,train_win_rate_percent,train_profit_factor,train_total_r,train_average_r,train_sharpe,train_skipped_below_broker_minimum,validation_start,validation_end,validation_starting_balance,validation_ending_balance,validation_net_profit,validation_return_percent,validation_max_drawdown_percent,validation_trades,validation_wins,validation_losses,validation_win_rate_percent,validation_profit_factor,validation_total_r,validation_average_r,validation_sharpe,validation_skipped_below_broker_minimum,full_start,full_end,full_starting_balance,full_ending_balance,full_net_profit,full_return_percent,full_max_drawdown_percent,full_trades,full_wins,full_losses,full_win_rate_percent,full_profit_factor,full_total_r,full_average_r,full_sharpe,full_skipped_below_broker_minimum
all_symbols,"NVDA,AMD,TSLA,FSLR,RCL,W,OKTA,ADBE,WDC,NFLX,ASML,CDNS,META,AMZN,AAPL,MSFT",5,0.2,1.5,10,-999998.8289523809,2026-05-08,2026-06-24,300.0,285.13857142857154,-14.861428571428462,-4.953809523809483,5.335809523809492,8,1,7,12.5,0.07159176096812223,-6.524422111405305,-0.8155527639256631,-7.983199351717664,11,2026-06-25,2026-07-07,300.0,303.51314285714284,3.5131428571428387,1.171047619047605,0.8728596090141332,3,1,2,33.33333333333333,1.6765337001375502,1.2825981235094626,0.4275327078364875,2.0303101739908542,0,2026-05-08,2026-07-07,300.0,288.6517142857144,-11.348285714285623,-3.7827619047618777,5.793904761904722,11,2,9,18.181818181818183,0.46471071818439225,-5.241823987895843,-0.4765294534450766,-2.8137973987864826,11
all_symbols,"NVDA,AMD,TSLA,FSLR,RCL,W,OKTA,ADBE,WDC,NFLX,ASML,CDNS,META,AMZN,AAPL,MSFT",5,0.2,1.5,20,-999998.8289523809,2026-05-08,2026-06-24,300.0,285.13857142857154,-14.861428571428462,-4.953809523809483,5.335809523809492,8,1,7,12.5,0.07159176096812223,-6.524422111405305,-0.8155527639256631,-7.983199351717664,11,2026-06-25,2026-07-07,300.0,303.51314285714284,3.5131428571428387,1.171047619047605,0.8728596090141332,3,1,2,33.33333333333333,1.6765337001375502,1.2825981235094626,0.4275327078364875,2.0303101739908542,0,2026-05-08,2026-07-07,300.0,288.6517142857144,-11.348285714285623,-3.7827619047618777,5.793904761904722,11,2,9,18.181818181818183,0.46471071818439225,-5.241823987895843,-0.4765294534450766,-2.8137973987864826,11
all_symbols,"NVDA,AMD,TSLA,FSLR,RCL,W,OKTA,ADBE,WDC,NFLX,ASML,CDNS,META,AMZN,AAPL,MSFT",5,0.15,1.5,1,-999999.0488214286,2026-05-08,2026-06-24,300.0,283.27014285714284,-16.729857142857156,-5.576619047619047,5.576619047619052,7,0,7,0.0,0.0,-7.190231264330605,-1.027175894904372,-13.288909231666214,4,2026-06-25,2026-07-07,300.0,302.85353571428567,2.8535357142856697,0.9511785714285459,0.9847117639970556,3,1,2,33.33333333333333,1.4875784925763886,2.3767974980126203,0.7922658326708735,1.6308679468184528,0,2026-05-08,2026-07-07,300.0,287.1276428571428,-12.872357142857197,-4.290785714285727,6.5234761904761935,10,1,9,10.0,0.4034598158869481,-4.813433766317985,-0.4813433766317985,-3.5130459049744527,4
all_symbols,"NVDA,AMD,TSLA,FSLR,RCL,W,OKTA,ADBE,WDC,NFLX,ASML,CDNS,META,AMZN,AAPL,MSFT",5,0.15,1.5,3,-999999.0488214286,2026-05-08,2026-06-24,300.0,278.1871428571428,-21.812857142857183,-7.270952380952389,7.270952380952394,12,1,11,8.333333333333332,0.07304990802741522,-10.536801229172466,-0.8780667690977055,-12.39310593698766,7,2026-06-25,2026-07-07,300.0,302.85353571428567,2.8535357142856697,0.9511785714285459,0.9847117639970556,3,1,2,33.33333333333333,1.4875784925763886,2.3767974980126203,0.7922658326708735,1.6308679468184528,0,2026-05-08,2026-07-07,300.0,282.9914999999999,-17.008500000000083,-5.669500000000028,7.902190476190488,15,2,13,13.333333333333334,0.3800098419815166,-8.160003731159845,-0.5440002487439897,-4.237755254068828,7
all_symbols,"NVDA,AMD,TSLA,FSLR,RCL,W,OKTA,ADBE,WDC,NFLX,ASML,CDNS,META,AMZN,AAPL,MSFT",5,0.15,1.5,5,-999999.0488214286,2026-05-08,2026-06-24,300.0,278.1871428571428,-21.812857142857183,-7.270952380952389,7.270952380952394,12,1,11,8.333333333333332,0.07304990802741522,-10.536801229172466,-0.8780667690977055,-12.39310593698766,7,2026-06-25,2026-07-07,300.0,302.85353571428567,2.8535357142856697,0.9511785714285459,0.9847117639970556,3,1,2,33.33333333333333,1.4875784925763886,2.3767974980126203,0.7922658326708735,1.6308679468184528,0,2026-05-08,2026-07-07,300.0,282.9914999999999,-17.008500000000083,-5.669500000000028,7.902190476190488,15,2,13,13.333333333333334,0.3800098419815166,-8.160003731159845,-0.5440002487439897,-4.237755254068828,7
all_symbols,"NVDA,AMD,TSLA,FSLR,RCL,W,OKTA,ADBE,WDC,NFLX,ASML,CDNS,META,AMZN,AAPL,MSFT",5,0.15,1.5,10,-999999.0488214286,2026-05-08,2026-06-24,300.0,278.1871428571428,-21.812857142857183,-7.270952380952389,7.270952380952394,12,1,11,8.333333333333332,0.07304990802741522,-10.536801229172466,-0.8780667690977055,-12.39310593698766,7,2026-06-25,2026-07-07,300.0,302.85353571428567,2.8535357142856697,0.9511785714285459,0.9847117639970556,3,1,2,33.33333333333333,1.4875784925763886,2.3767974980126203,0.7922658326708735,1.6308679468184528,0,2026-05-08,2026-07-07,300.0,282.9914999999999,-17.008500000000083,-5.669500000000028,7.902190476190488,15,2,13,13.333333333333334,0.3800098419815166,-8.160003731159845,-0.5440002487439897,-4.237755254068828,7
all_symbols,"NVDA,AMD,TSLA,FSLR,RCL,W,OKTA,ADBE,WDC,NFLX,ASML,CDNS,META,AMZN,AAPL,MSFT",5,0.15,1.5,20,-999999.0488214286,2026-05-08,2026-06-24,300.0,278.1871428571428,-21.812857142857183,-7.270952380952389,7.270952380952394,12,1,11,8.333333333333332,0.07304990802741522,-10.536801229172466,-0.8780667690977055,-12.39310593698766,7,2026-06-25,2026-07-07,300.0,302.85353571428567,2.8535357142856697,0.9511785714285459,0.9847117639970556,3,1,2,33.33333333333333,1.4875784925763886,2.3767974980126203,0.7922658326708735,1.6308679468184528,0,2026-05-08,2026-07-07,300.0,282.9914999999999,-17.008500000000083,-5.669500000000028,7.902190476190488,15,2,13,13.333333333333334,0.3800098419815166,-8.160003731159845,-0.5440002487439897,-4.237755254068828,7
all_symbols,"NVDA,AMD,TSLA,FSLR,RCL,W,OKTA,ADBE,WDC,NFLX,ASML,CDNS,META,AMZN,AAPL,MSFT",5,0.2,1.25,5,-999999.3558571428,2026-05-08,2026-06-24,300.0,270.61285714285725,-29.38714285714275,-9.795714285714253,11.411047619047585,20,3,17,15.0,0.28064623293060514,-9.26574325822257,-0.4632871629111285,-11.26719988527049,18,2026-06-25,2026-07-07,300.0,301.93242857142855,1.9324285714285452,0.6441428571428487,1.7617025840374203,6,2,4,33.33333333333333,1.1865896049437217,0.6229530511842309,0.10382550853070516,0.986345911586613,1,2026-05-08,2026-07-07,300.0,272.5452857142858,-27.454714285714203,-9.151571428571403,11.464476190476166,26,5,21,19.230769230769234,0.46386636203101755,-8.642790207038338,-0.332415007963013,-5.212890805729554,19
all_symbols,"NVDA,AMD,TSLA,FSLR,RCL,W,OKTA,ADBE,WDC,NFLX,ASML,CDNS,META,AMZN,AAPL,MSFT",5,0.2,1.25,10,-999999.3558571428,2026-05-08,2026-06-24,300.0,270.61285714285725,-29.38714285714275,-9.795714285714253,11.411047619047585,20,3,17,15.0,0.28064623293060514,-9.26574325822257,-0.4632871629111285,-11.26719988527049,19,2026-06-25,2026-07-07,300.0,301.93242857142855,1.9324285714285452,0.6441428571428487,1.7617025840374203,6,2,4,33.33333333333333,1.1865896049437217,0.6229530511842309,0.10382550853070516,0.986345911586613,1,2026-05-08,2026-07-07,300.0,272.5452857142858,-27.454714285714203,-9.151571428571403,11.464476190476166,26,5,21,19.230769230769234,0.46386636203101755,-8.642790207038338,-0.332415007963013,-5.212890805729554,20
all_symbols,"NVDA,AMD,TSLA,FSLR,RCL,W,OKTA,ADBE,WDC,NFLX,ASML,CDNS,META,AMZN,AAPL,MSFT",5,0.2,1.25,20,-999999.3558571428,2026-05-08,2026-06-24,300.0,270.61285714285725,-29.38714285714275,-9.795714285714253,11.411047619047585,20,3,17,15.0,0.28064623293060514,-9.26574325822257,-0.4632871629111285,-11.26719988527049,19,2026-06-25,2026-07-07,300.0,301.93242857142855,1.9324285714285452,0.6441428571428487,1.7617025840374203,6,2,4,33.33333333333333,1.1865896049437217,0.6229530511842309,0.10382550853070516,0.986345911586613,1,2026-05-08,2026-07-07,300.0,272.5452857142858,-27.454714285714203,-9.151571428571403,11.464476190476166,26,5,21,19.230769230769234,0.46386636203101755,-8.642790207038338,-0.332415007963013,-5.212890805729554,20
