window,policy,total_cap_pct,symbol_cap_pct,family_cap_pct,from,to,initial_balance,final_balance,net_profit,return_pct,cagr_pct,profit_factor,win_rate_pct,max_drawdown_pct,max_drawdown_cash,recovery_factor,daily_sharpe,fixed_final_balance,fixed_net_profit,fixed_return_pct,fixed_profit_factor,fixed_max_drawdown_pct,fixed_max_drawdown_cash,fixed_recovery_factor,fixed_daily_sharpe,available_trades,accepted_trades,skipped_trades,acceptance_pct,max_concurrent_trades,max_reserved_risk_pct,max_symbol_risk_pct,unclosed_count,extra_cost_pct_per_trade,selection_score
full_3y,4% total,4.0,,,2023-09-07T00:00:00,2026-09-07T23:59:59,10000.0,2819669.4225,2809669.4225,28096.6942,554.3379,1.3649,43.75,19.7841,485350.359,5.789,4.0348,73494.8948,63494.8948,634.9489,1.5501,10.2341,2060.9776,30.8081,4.1429,3688,2304,1384,62.4729,4,4.0,"{'XAUUSD': 4.0, 'USTEC': 3.0, 'BTCUSD': 2.0, 'XAGUSD': 1.0, 'ETHUSD': 1.0}",0,0.0,
full_3y,3% total,3.0,,,2023-09-07T00:00:00,2026-09-07T23:59:59,10000.0,780966.8847,770966.8847,7709.6688,326.7354,1.3831,43.4412,18.9918,129332.1301,5.9611,3.6591,58397.4359,48397.4359,483.9744,1.5439,11.9972,2032.8376,23.8078,3.7412,3688,1761,1927,47.7495,3,3.0,"{'XAUUSD': 3.0, 'USTEC': 3.0, 'XAGUSD': 1.0, 'BTCUSD': 1.0, 'ETHUSD': 1.0}",0,0.0,
full_3y,2% total,2.0,,,2023-09-07T00:00:00,2026-09-07T23:59:59,10000.0,125508.6155,115508.6155,1155.0862,132.1706,1.3834,42.8442,20.1628,20800.3498,5.5532,2.6876,37847.4448,27847.4448,278.4744,1.4947,13.3102,2192.746,12.6998,2.7366,3688,1104,2584,29.9349,2,2.0,"{'XAUUSD': 2.0, 'USTEC': 2.0, 'XAGUSD': 1.0, 'BTCUSD': 1.0, 'ETHUSD': 1.0}",0,0.0,
full_3y,6% total / 3% symbol,6.0,3.0,,2023-09-07T00:00:00,2026-09-07T23:59:59,10000.0,6309578.802,6299578.802,62995.788,755.5984,1.448,44.804,19.179,883836.6721,7.1275,4.4852,80920.4017,70920.4017,709.204,1.5521,12.9282,2105.6653,33.6808,4.5696,3688,2627,1061,71.231,6,6.0,"{'XAUUSD': 3.0, 'USTEC': 3.0, 'BTCUSD': 2.0, 'XAGUSD': 1.0, 'ETHUSD': 1.0}",0,0.0,
full_3y,5% total / 3% symbol,5.0,3.0,,2023-09-07T00:00:00,2026-09-07T23:59:59,10000.0,5614926.0766,5604926.0766,56049.2608,723.0074,1.4252,44.8743,19.1907,816555.4981,6.8641,4.4271,79767.6453,69767.6453,697.6765,1.5498,11.6311,2105.6653,33.1333,4.5136,3688,2585,1103,70.0922,5,5.0,"{'XAUUSD': 3.0, 'USTEC': 3.0, 'BTCUSD': 2.0, 'XAGUSD': 1.0, 'ETHUSD': 1.0}",0,0.0,
full_3y,4% total / 3% symbol,4.0,3.0,,2023-09-07T00:00:00,2026-09-07T23:59:59,10000.0,3271953.8809,3261953.8809,32619.5388,587.5652,1.4235,44.1336,20.5515,470452.4523,6.9337,4.254,73773.4605,63773.4605,637.7346,1.5352,9.2937,2279.8648,27.9725,4.3299,3688,2395,1293,64.9403,4,4.0,"{'XAUUSD': 3.0, 'USTEC': 3.0, 'BTCUSD': 2.0, 'XAGUSD': 1.0, 'ETHUSD': 1.0}",0,0.0,
full_3y,4% total / 2% symbol,4.0,2.0,,2023-09-07T00:00:00,2026-09-07T23:59:59,10000.0,1013782.6046,1003782.6046,10037.826,365.4643,1.3959,43.6105,19.6394,133938.8864,7.4943,3.707,60530.9517,50530.9517,505.3095,1.4759,13.7076,2094.7567,24.1226,3.7653,3688,2105,1583,57.077,4,4.0,"{'XAUUSD': 2.0, 'USTEC': 2.0, 'BTCUSD': 2.0, 'XAGUSD': 1.0, 'ETHUSD': 1.0}",0,0.0,
full_3y,3% total / 2% symbol,3.0,2.0,,2023-09-07T00:00:00,2026-09-07T23:59:59,10000.0,469397.7055,459397.7055,4593.9771,260.2014,1.3759,42.9189,22.6655,64654.4764,7.1054,3.3122,52069.2805,42069.2805,420.6928,1.4435,13.9245,2380.6963,17.671,3.3576,3688,1850,1838,50.1627,3,3.0,"{'XAUUSD': 2.0, 'USTEC': 2.0, 'XAGUSD': 1.0, 'BTCUSD': 1.0, 'ETHUSD': 1.0}",0,0.0,
full_3y,6% total / 3% symbol / 2-family,6.0,3.0,2.0,2023-09-07T00:00:00,2026-09-07T23:59:59,10000.0,6256069.2684,6246069.2684,62460.6927,753.1756,1.4465,44.821,19.179,831272.8685,7.5139,4.4831,80816.5673,70816.5673,708.1657,1.5517,12.9282,2105.6653,33.6314,4.5675,3688,2626,1062,71.2039,6,6.0,"{'XAUUSD': 3.0, 'USTEC': 3.0, 'BTCUSD': 2.0, 'XAGUSD': 1.0, 'ETHUSD': 1.0}",0,0.0,
full_3y,5% total / 3% symbol / 2-family,5.0,3.0,2.0,2023-09-07T00:00:00,2026-09-07T23:59:59,10000.0,5660866.8455,5650866.8455,56508.6685,725.2434,1.4274,44.8916,19.1907,801144.2737,7.0535,4.4418,79845.884,69845.884,698.4588,1.5508,11.6311,2105.6653,33.1705,4.529,3688,2584,1104,70.0651,5,5.0,"{'XAUUSD': 3.0, 'USTEC': 3.0, 'BTCUSD': 2.0, 'XAGUSD': 1.0, 'ETHUSD': 1.0}",0,0.0,
full_3y,4% total / 3% symbol / 2-family,4.0,3.0,2.0,2023-09-07T00:00:00,2026-09-07T23:59:59,10000.0,3269990.7175,3259990.7175,32599.9072,587.4278,1.4264,44.1705,20.5515,476536.5626,6.841,4.2491,73749.7786,63749.7786,637.4978,1.5358,9.2937,2279.8648,27.9621,4.3242,3688,2393,1295,64.8861,4,4.0,"{'XAUUSD': 3.0, 'USTEC': 3.0, 'BTCUSD': 2.0, 'XAGUSD': 1.0, 'ETHUSD': 1.0}",0,0.0,
