trade_id,slug,label,symbol,side,open_time,close_time,r_multiple,trade_risk_pct,reserved_risk_pct,risk_family,equity_at_entry,fixed_equity_at_entry,active_risk_before_pct,symbol_risk_before_pct,family_risk_before_pct,risk_cash,fixed_risk_cash,extra_cost_cash,fixed_extra_cost_cash,simulated_pnl,fixed_risk_pnl,active_risk_after_pct,simulated_close_equity,fixed_close_equity,drawdown_pct_after_close,fixed_drawdown_pct_after_close
2847,nasdaq-5m-candle-momentum,Nasdaq 5M Candle Momentum,USTEC,Long,2026-01-30T14:35:00,2026-01-30T17:02:39,-1.0039,1.0,1.0,nasdaq-5m-candle-momentum,1278928.3487,63733.1611,0.0,0.0,0.0,12789.2835,100.0,0.0,0.0,-12839.267,-100.3908,1.0,1266089.0817,63632.7703,6.0833,1.0019
2848,nasdaq-5m-candle-momentum,Nasdaq 5M Candle Momentum,USTEC,Long,2026-02-02T14:35:00,2026-02-02T23:00:00,2.0991,1.0,1.0,nasdaq-5m-candle-momentum,1266089.0817,63632.7703,0.0,0.0,0.0,12660.8908,100.0,0.0,0.0,26575.9265,209.9057,1.0,1298831.0021,63891.3771,3.6546,0.5996
1608,us100-h1-orb-13utc,US100 H1 ORB 13UTC,USTEC,Long,2026-02-02T14:45:00,2026-02-02T20:00:00,0.4502,1.0,1.0,US100_ORB,1266089.0817,63632.7703,1.0,1.0,0.0,12660.8908,100.0,0.0,0.0,5700.306,45.0229,2.0,1271789.3877,63677.7933,5.6605,0.9318
3765,us100-month-end-flow,US100 Month End Flow,USTEC,Long,2026-02-02T15:30:00,2026-02-02T22:00:00,0.0368,1.0,1.0,us100-month-end-flow,1266089.0817,63632.7703,2.0,2.0,0.0,12660.8908,100.0,0.0,0.0,465.6879,3.6782,3.0,1272255.0756,63681.4714,5.626,0.9261
3192,xau-rsi-vwap,XAU RSI VWAP,XAUUSD,Long,2026-02-03T01:00:00,2026-02-03T06:20:02,0.6638,1.0,1.0,xau-rsi-vwap,1298831.0021,63891.3771,0.0,0.0,0.0,12988.31,100.0,0.0,0.0,8621.9851,66.3827,1.0,1307452.9872,63957.7597,3.015,0.4963
2036,xau-weakness,XAU Weakness,XAUUSD,Long,2026-02-03T06:11:28,2026-02-04T15:36:04,0.6822,1.0,1.0,xau-weakness,1298831.0021,63891.3771,1.0,1.0,0.0,12988.31,100.0,0.0,0.0,8860.8581,68.2218,2.0,1364463.2263,64408.1921,2.0022,0.3137
1609,us100-h1-orb-13utc,US100 H1 ORB 13UTC,USTEC,Short,2026-02-03T14:30:00,2026-02-03T17:12:20,5.9914,1.0,1.0,US100_ORB,1307452.9872,63957.7597,1.0,0.0,0.0,13074.5299,100.0,0.0,0.0,78334.1122,599.1352,2.0,1392340.3129,64610.8987,0.0,0.0
2849,nasdaq-5m-candle-momentum,Nasdaq 5M Candle Momentum,USTEC,Short,2026-02-03T14:35:00,2026-02-03T14:57:42,2.4901,1.0,1.0,nasdaq-5m-candle-momentum,1307452.9872,63957.7597,2.0,1.0,0.0,13074.5299,100.0,0.0,0.0,32557.3062,249.0132,3.0,1340010.2934,64206.773,0.6,0.1089
580,btc-poc-fibonacci,BTC POC Fibonacci,BTCUSD,Short,2026-02-03T15:15:00,2026-02-03T15:26:25,-0.9878,1.0,1.0,btc-poc-fibonacci,1340010.2934,64206.773,2.0,0.0,0.0,13400.1029,100.0,0.0,0.0,-13236.0072,-98.7754,3.0,1326774.2863,64107.9975,1.5818,0.2625
3766,us100-month-end-flow,US100 Month End Flow,USTEC,Long,2026-02-03T15:30:00,2026-02-03T17:12:28,-1.0051,1.0,1.0,us100-month-end-flow,1326774.2863,64107.9975,2.0,1.0,0.0,13267.7429,100.0,0.0,0.0,-13335.0278,-100.5071,3.0,1379005.2852,64510.3916,0.9577,0.1556
