timeframe_minutes,pivot_bars,minimum_impulse_atr,minimum_gap_atr,rejection_mode,expiry_bars,stop_mode,stop_buffer_atr,reward_risk,maximum_hold_hours,management,train_trades,train_wins,train_losses,train_win_rate_pct,train_profit_factor,train_net_r,train_mean_r,train_return_pct,train_max_drawdown_pct,train_final_balance,validation_trades,validation_wins,validation_losses,validation_win_rate_pct,validation_profit_factor,validation_net_r,validation_mean_r,validation_return_pct,validation_max_drawdown_pct,validation_final_balance,robust_score
5,5,4.0,0.05,0,48,0,0.1,3.0,72,0,37,10,27,27.027027027027028,1.0206484896855077,0.5949231253522591,0.016079003387898895,0.015884582065583963,13.00406445146845,10001.58845820656,17,5,12,29.41176470588235,1.1640936230490322,2.0826377010699133,0.12250810006293608,1.8172391733748627,8.185781465088295,10181.723917337487,3.1579906268624143
5,5,4.0,0.05,0,48,0,0.1,3.0,24,0,37,10,27,27.027027027027028,1.0206484896855077,0.5949231253522591,0.016079003387898895,0.015884582065583963,13.00406445146845,10001.58845820656,17,5,12,29.41176470588235,1.1640936230490322,2.0826377010699133,0.12250810006293608,1.8172391733748627,8.185781465088295,10181.723917337487,3.1579906268624143
5,5,4.0,0.1,0,48,0,0.1,3.0,72,0,37,10,27,27.027027027027028,1.0206484896855077,0.5949231253522591,0.016079003387898895,0.015884582065583963,13.00406445146845,10001.58845820656,17,5,12,29.41176470588235,1.1640936230490322,2.0826377010699133,0.12250810006293608,1.8172391733748627,8.185781465088295,10181.723917337487,3.1579906268624143
5,5,4.0,0.1,0,48,0,0.1,3.0,24,0,37,10,27,27.027027027027028,1.0206484896855077,0.5949231253522591,0.016079003387898895,0.015884582065583963,13.00406445146845,10001.58845820656,17,5,12,29.41176470588235,1.1640936230490322,2.0826377010699133,0.12250810006293608,1.8172391733748627,8.185781465088295,10181.723917337487,3.1579906268624143
5,5,4.0,0.05,0,48,0,0.0,3.0,24,0,37,10,27,27.027027027027028,1.0148478482280947,0.42968294378977356,0.011613052534858745,-0.14955193939207856,13.159905831943489,9985.044806060792,17,5,12,29.41176470588235,1.156519816419357,1.9981447847887028,0.11753792851698253,1.7307248138199949,8.36781103187365,10173.072481382,2.6904437758150714
5,5,4.0,0.05,0,48,0,0.0,3.0,72,0,37,10,27,27.027027027027028,1.0148478482280947,0.42968294378977356,0.011613052534858745,-0.14955193939207856,13.159905831943489,9985.044806060792,17,5,12,29.41176470588235,1.156519816419357,1.9981447847887028,0.11753792851698253,1.7307248138199949,8.36781103187365,10173.072481382,2.6904437758150714
5,5,4.0,0.1,0,48,0,0.0,3.0,24,0,37,10,27,27.027027027027028,1.0148478482280947,0.42968294378977356,0.011613052534858745,-0.14955193939207856,13.159905831943489,9985.044806060792,17,5,12,29.41176470588235,1.156519816419357,1.9981447847887028,0.11753792851698253,1.7307248138199949,8.36781103187365,10173.072481382,2.6904437758150714
5,5,4.0,0.1,0,48,0,0.0,3.0,72,0,37,10,27,27.027027027027028,1.0148478482280947,0.42968294378977356,0.011613052534858745,-0.14955193939207856,13.159905831943489,9985.044806060792,17,5,12,29.41176470588235,1.156519816419357,1.9981447847887028,0.11753792851698253,1.7307248138199949,8.36781103187365,10173.072481382,2.6904437758150714
5,5,4.0,0.1,0,48,1,0.25,3.0,6,0,38,10,28,26.31578947368421,0.9886621698950626,-0.32129585532535754,-0.008455154087509409,-0.8623669376121357,13.098347725510747,9913.763306238787,18,6,12,33.333333333333336,1.0767484317857656,0.9772256854453507,0.05429031585807504,0.7263571869147611,8.169984922138777,10072.635718691476,0.6403519654251836
5,5,4.0,0.05,0,48,1,0.25,3.0,6,0,38,10,28,26.31578947368421,0.9886621698950626,-0.32129585532535754,-0.008455154087509409,-0.8623669376121357,13.098347725510747,9913.763306238787,18,6,12,33.333333333333336,1.0767484317857656,0.9772256854453507,0.05429031585807504,0.7263571869147611,8.169984922138777,10072.635718691476,0.6403519654251836
5,5,4.0,0.1,0,48,1,0.25,3.0,24,0,38,10,28,26.31578947368421,0.976857996353005,-0.6960563555017167,-0.018317272513203073,-1.2741260804857157,13.757957939976565,9872.587391951429,18,6,12,33.333333333333336,1.3865951138789097,4.922454652945868,0.27346970294143713,4.707005057574687,8.169984922138777,10470.700505757468,-0.4090448370962473
