symbol,entry_time,side,entry,stop_loss,tp1,tp2,tp3,tp1_r,tp2_r,tp3_r,score,tqi,er,vol_z,hit_tp1,hit_tp2,hit_tp3,entry_index,exit_time,exit_price,exit_reason,r_multiple,raw_r_multiple,spread_r_cost,balance_before,risk_cash,pnl,balance_after
BTCUSD,2026-06-25 16:00:00,BUY,59445.36,58842.36682045502,60287.92568557576,61130.49137115152,61973.05705672728,1.397305498897284,2.794610997794568,4.191916496691852,62.54530039628011,0.35593147020980187,0.01455534684274413,2.8865033628133587,False,False,False,1864,2026-06-25 17:00:00,58842.36682045502,stop_loss,-1.001824232905636,-1.0,0.0018242329056359485,496.6803973122157,24.834019865610784,-24.879322901828846,471.80107441038683
US30,2026-06-25 15:30:00,SELL,28.58,29.12454518381769,28.035454816182305,27.490909632364612,26.94636444854692,1.0,2.0,3.0,40.30769230769231,0.5663798572561465,0.1923076923076922,3.5466767508261077,False,False,False,1286,2026-06-25 17:15:00,29.12454518381769,stop_loss,-1.018363949029706,-1.0,0.018363949029706006,471.80107441038683,23.590053720519343,-24.02326026465099,447.7778141457358
XAUUSD,2026-06-25 14:30:00,BUY,4005.59,3978.6850224492696,4036.0711009089973,4066.552201817995,4097.033302726992,1.1329167939844522,2.2658335879689044,3.3987503819533567,41.55078601236913,0.5733164279249777,0.29136521657427045,4.059489274191094,True,True,False,5083,2026-06-26 16:30:00,4082.58,timeout,2.0689269908281007,2.0867675557977217,0.017840564969620883,447.7778141457358,22.38889070728679,46.320980279006086,494.0987944247419
XAUUSD,2026-06-29 00:00:00,SELL,4070.3,4083.145223424732,4055.558272083479,4040.8165441669585,4026.0748162504374,1.1476427796605986,2.295285559321197,3.4429283389817957,46.102201161383746,0.5381612540981925,0.24982104509663175,2.8540640567129425,True,True,True,5209,2026-06-29 11:45:00,4026.0748162504374,tp3,2.271152074853879,2.295285559321197,0.024133484467318052,494.0987944247419,24.704939721237096,56.10867510702764,550.2074695317696
US30,2026-06-29 15:30:00,SELL,28.77,29.071237418871718,28.46876258112828,28.167525162256563,27.866287743384845,1.0,2.0,3.0,42.02001668056708,0.5317915873290632,0.24770642201834664,3.8744731837280066,True,True,True,1338,2026-06-29 16:45:00,27.866287743384845,tp3,1.9668035928688576,2.0,0.03319640713114228,550.2074695317696,27.51037347658848,54.10750139491835,604.3149709266879
XAUUSD,2026-06-30 03:15:00,BUY,3979.01,3966.451103701258,3995.32508298501,4011.6401659700196,4027.955248955029,1.2990857314940671,2.5981714629881343,3.8972571944822016,65.76831797561289,0.5003978141591534,0.3321136086426178,1.9922068523456233,False,False,False,5314,2026-06-30 03:30:00,3966.451103701258,stop_loss,-1.0453861538817777,-1.0,0.045386153881777615,604.3149709266879,30.215748546334396,-31.58712515951143,572.7278457671765
US30,2026-06-30 15:30:00,SELL,27.34,27.77902906893596,26.90097093106404,26.461941862128082,26.022912793192123,1.0,2.0,3.0,40.046473705666514,0.6078562692912456,0.18385650224215191,4.177782514301099,True,False,False,1364,2026-07-02 15:30:00,28.11,flip_exit,-0.8586910002755918,-0.8359134652384785,0.022777535037113227,572.7278457671765,28.636392288358827,-24.589812338375083,548.1380334288015
US30,2026-07-02 15:30:00,BUY,28.11,27.556204829792275,28.663795170207724,29.21759034041545,29.771385510623173,1.0,2.0,3.0,44.19187264348551,0.6612903225806447,0.3179723502304134,3.83242677847469,False,False,False,1416,2026-07-02 19:45:00,27.556204829792275,stop_loss,-1.018057217790919,-1.0,0.018057217790919115,548.1380334288015,27.406901671440075,-27.901794063895572,520.2362393649059
XAUUSD,2026-07-02 14:30:00,BUY,4132.42,4093.9035825848864,4187.502168881038,4242.584337762076,4297.666506643114,1.4300958546425966,2.860191709285193,4.29028756392779,47.76890441769697,0.6536382691688022,0.43458014120475125,4.270073661122826,False,False,False,5543,2026-07-03 00:00:00,4093.9035825848864,stop_loss,-1.0085677750462458,-1.0,0.008567775046245852,520.2362393649059,26.011811968245297,-26.234675321734468,494.00156404317147
XAUUSD,2026-07-10 14:00:00,BUY,4114.97,4100.840530141384,4131.892909102885,4148.81581820577,4165.738727308655,1.1977030470513539,2.3954060941027078,3.593109141154062,44.71114465259844,0.5426759184374076,0.05024977960623124,3.0276597207643317,False,False,False,6074,2026-07-10 14:30:00,4100.840530141384,stop_loss,-1.0176935159281684,-1.0,0.017693515928168358,494.00156404317147,24.700078202158576,-25.137109429255474,468.864454613916
BTCUSD,2026-07-10 16:00:00,SELL,63897.1,64250.42529674316,63544.56853528887,63192.03707057774,62839.505605866616,0.997753254467341,1.995506508934682,2.993259763402023,42.92016386977613,0.37084610399002826,0.22843506952627937,2.7582129867189313,False,False,False,2224,2026-07-13 00:00:00,63636.3,end_of_data,0.7350167180041345,0.7381299963630277,0.0031132783588931905,468.864454613916,23.4432227306958,17.23116063095595,486.09561524487196
XAUUSD,2026-07-13 00:00:00,SELL,4081.41,4104.493087172281,4051.2039703035666,4020.9979406071334,3990.7919109106997,1.3085784180855065,2.617156836171013,3.9257352542565194,41.875282170719785,0.5359104919143617,0.3092705983456891,2.638654017760161,True,False,False,6110,2026-07-13 15:45:00,4049.48,end_of_data,1.379364890075641,1.383263848621709,0.0038989585460681006,486.09561524487196,24.3047807622436,33.525161244424694,519.6207764892966
