symbol,timeframe,min_score,min_tqi,tp_mode,selection_score,start,end,starting_balance,ending_balance,net_profit,return_percent,max_drawdown_percent,trades,wins,losses,win_rate_percent,profit_factor,total_r,average_r
XAUUSD,M30,60.0,0.7,Dynamic,-1000000000.0,2026-05-14,2026-07-13,300.0,300.0,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,0.0
XAUUSD,M30,80.0,0.35,Fixed,-1000000000.0,2026-05-14,2026-07-13,300.0,300.0,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,0.0
XAUUSD,M30,80.0,0.35,Dynamic,-1000000000.0,2026-05-14,2026-07-13,300.0,300.0,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,0.0
XAUUSD,M30,80.0,0.5,Fixed,-1000000000.0,2026-05-14,2026-07-13,300.0,300.0,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,0.0
XAUUSD,M30,80.0,0.5,Dynamic,-1000000000.0,2026-05-14,2026-07-13,300.0,300.0,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,0.0
XAUUSD,M30,80.0,0.7,Fixed,-1000000000.0,2026-05-14,2026-07-13,300.0,300.0,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,0.0
XAUUSD,M30,80.0,0.7,Dynamic,-1000000000.0,2026-05-14,2026-07-13,300.0,300.0,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,0.0
XAUUSD,H1,60.0,0.5,Fixed,-1000000000.0,2026-05-14,2026-07-13,300.0,300.0,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,0.0
XAUUSD,H1,60.0,0.5,Dynamic,-1000000000.0,2026-05-14,2026-07-13,300.0,300.0,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,0.0
XAUUSD,H1,60.0,0.7,Fixed,-1000000000.0,2026-05-14,2026-07-13,300.0,300.0,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,0.0
