event,release_utc,direction,anchor_bid,anchor_ask,anchor_mid,end_mid,net_move,fakeout_usd,correct_move_usd,correct_extreme_utc,bars,data_source,minimum_observed_safe_offset_usd,correct_move_reached_case_safe_offset
PPI,2024-09-12T12:30:00+00:00,UP,2520.225,2521.692,2520.9585,2528.6,7.6415,1.45,13.873,2024-09-12T12:46:00+00:00,30,archived bid/ask M1,1.5,True
FOMC,2024-09-18T18:00:00+00:00,UP,2567.308,2568.342,2567.825,2594.45,26.625,0.723,29.658,2024-09-18T18:23:00+00:00,30,archived bid/ask M1,1.0,True
NFP,2024-10-04T12:30:00+00:00,DOWN,2656.308,2658.002,2657.155,2638.95,-18.205,0.453,24.24,2024-10-04T12:56:00+00:00,30,archived bid/ask M1,0.5,True
CPI,2024-10-10T12:30:00+00:00,UP,2612.048,2615.002,2613.525,2625.095,11.57,10.314,12.66,2024-10-10T12:50:00+00:00,30,archived bid/ask M1,10.5,True
PPI,2024-10-11T12:30:00+00:00,DOWN,2645.868,2646.582,2646.225,2643.1185,-3.1065,3.863,5.403,2024-10-11T12:47:00+00:00,30,archived bid/ask M1,4.0,True
GDP,2024-10-30T12:30:00+00:00,UP,2778.258,2779.035,2778.6465,2782.5935,3.947,1.843,4.67,2024-10-30T12:53:00+00:00,30,archived bid/ask M1,2.0,True
NFP,2024-11-01T12:30:00+00:00,UP,2748.938,2753.142,2751.04,2753.8565,2.8165,0.953,6.923,2024-11-01T12:38:00+00:00,30,archived bid/ask M1,1.0,True
FOMC,2024-11-07T19:00:00+00:00,DOWN,2695.758,2696.145,2695.9515,2690.5815,-5.37,2.36,7.19,2024-11-07T19:05:00+00:00,30,archived bid/ask M1,2.5,True
CPI,2024-11-13T13:30:00+00:00,UP,2609.185,2609.572,2609.3785,2612.4485,3.07,0.0,9.593,2024-11-13T13:30:00+00:00,30,archived bid/ask M1,0.5,True
PPI,2024-11-14T13:30:00+00:00,UP,2555.338,2556.132,2555.735,2557.225,1.49,3.85,4.363,2024-11-14T13:43:00+00:00,30,archived bid/ask M1,4.0,True
NFP,2024-12-06T13:30:00+00:00,UP,2634.618,2636.205,2635.4115,2635.8,0.3885,1.284,7.86,2024-12-06T13:30:00+00:00,30,archived bid/ask M1,1.5,True
CPI,2024-12-11T13:30:00+00:00,UP,2693.455,2697.072,2695.2635,2701.125,5.8615,0.527,5.373,2024-12-11T13:57:00+00:00,30,archived bid/ask M1,1.0,True
PPI,2024-12-12T13:30:00+00:00,DOWN,2707.228,2709.972,2708.6,2697.6145,-10.9855,3.814,10.144,2024-12-12T13:59:00+00:00,30,archived bid/ask M1,4.0,True
FOMC,2024-12-18T19:00:00+00:00,DOWN,2635.768,2637.572,2636.67,2619.95,-16.72,1.254,20.693,2024-12-18T19:09:00+00:00,30,archived bid/ask M1,1.5,True
NFP,2025-01-10T13:30:00+00:00,UP,2676.555,2678.805,2677.68,2682.72,5.04,13.35,4.91,2025-01-10T13:58:00+00:00,30,archived bid/ask M1,13.5,False
PPI,2025-01-14T13:30:00+00:00,DOWN,2665.979,2667.692,2666.8355,2662.992,-3.8435,7.143,5.164,2025-01-14T13:38:00+00:00,30,archived bid/ask M1,7.5,False
CPI,2025-01-15T13:30:00+00:00,UP,2682.685,2685.172,2683.9285,2693.83,9.9015,0.0,9.42,2025-01-15T13:59:00+00:00,30,archived bid/ask M1,0.5,True
FOMC,2025-01-29T19:00:00+00:00,DOWN,2751.0,2752.472,2751.736,2745.855,-5.881,0.63,6.0,2025-01-29T19:25:00+00:00,30,archived bid/ask M1,1.0,True
GDP,2025-01-30T13:30:00+00:00,UP,2780.468,2782.355,2781.4115,2785.7465,4.335,3.513,3.99,2025-01-30T13:58:00+00:00,30,archived bid/ask M1,4.0,False
NFP,2025-02-07T13:30:00+00:00,DOWN,2863.125,2864.772,2863.9485,2862.6515,-1.297,8.42,11.04,2025-02-07T13:33:00+00:00,30,archived bid/ask M1,8.5,True
CPI,2025-02-12T13:30:00+00:00,UP,2875.485,2878.542,2877.0135,2884.83,7.8165,11.8,7.533,2025-02-12T13:59:00+00:00,30,archived bid/ask M1,12.0,False
PPI,2025-02-13T13:30:00+00:00,DOWN,2911.038,2913.472,2912.255,2908.625,-3.63,4.77,5.49,2025-02-13T13:52:00+00:00,30,archived bid/ask M1,5.0,True
NFP,2025-03-07T13:30:00+00:00,UP,2911.438,2913.872,2912.655,2913.8415,1.1865,0.91,12.853,2025-03-07T13:37:00+00:00,30,archived bid/ask M1,1.0,True
CPI,2025-03-12T12:30:00+00:00,UP,2913.615,2915.342,2914.4785,2917.58,3.1015,0.507,8.443,2025-03-12T12:32:00+00:00,30,archived bid/ask M1,1.0,True
PPI,2025-03-13T12:30:00+00:00,DOWN,2942.538,2944.342,2943.44,2942.4635,-0.9765,5.28,1.538,2025-03-13T12:58:00+00:00,30,archived bid/ask M1,5.5,False
FOMC,2025-03-19T18:00:00+00:00,UP,3029.528,3031.822,3030.675,3037.73,7.055,0.99,9.833,2025-03-19T18:24:00+00:00,30,archived bid/ask M1,1.0,True
NFP,2025-04-04T12:30:00+00:00,DOWN,3095.568,3098.565,3097.0665,3071.1815,-25.885,4.16,26.597,2025-04-04T12:55:00+00:00,30,archived bid/ask M1,4.5,True
CPI,2025-04-10T12:30:00+00:00,DOWN,3124.845,3127.675,3126.26,3123.03,-3.23,7.63,8.78,2025-04-10T12:40:00+00:00,30,archived bid/ask M1,8.0,True
PPI,2025-04-11T12:30:00+00:00,UP,3225.765,3226.345,3226.055,3234.065,8.01,2.76,8.4,2025-04-11T12:59:00+00:00,30,archived bid/ask M1,3.0,True
GDP,2025-04-30T12:30:00+00:00,UP,3289.925,3290.505,3290.215,3298.885,8.67,6.48,14.87,2025-04-30T12:50:00+00:00,30,archived bid/ask M1,6.5,True
NFP,2025-05-02T12:30:00+00:00,DOWN,3258.215,3260.685,3259.45,3250.53,-8.92,0.47,9.1,2025-05-02T12:30:00+00:00,30,archived bid/ask M1,0.5,True
FOMC,2025-05-07T18:00:00+00:00,UP,3386.835,3387.415,3387.125,3387.705,0.58,1.17,11.08,2025-05-07T18:08:00+00:00,30,archived bid/ask M1,1.5,True
CPI,2025-05-13T12:30:00+00:00,UP,3239.515,3241.685,3240.6,3241.855,1.255,0.72,8.94,2025-05-13T12:30:00+00:00,30,archived bid/ask M1,1.0,True
PPI,2025-05-15T12:30:00+00:00,UP,3181.855,3184.095,3182.975,3188.795,5.82,2.17,6.3,2025-05-15T12:59:00+00:00,30,archived bid/ask M1,2.5,True
NFP,2025-06-06T12:30:00+00:00,DOWN,3357.565,3360.455,3359.01,3353.47,-5.54,4.507,14.417,2025-06-06T12:42:00+00:00,30,archived bid/ask M1,5.0,True
CPI,2025-06-11T12:30:00+00:00,DOWN,3340.572,3341.152,3340.862,3336.912,-3.95,19.993,8.25,2025-06-11T12:57:00+00:00,30,archived bid/ask M1,20.0,False
PPI,2025-06-12T12:30:00+00:00,UP,3382.568,3383.985,3383.2765,3388.1165,4.84,1.52,6.93,2025-06-12T12:39:00+00:00,30,archived bid/ask M1,2.0,True
FOMC,2025-06-18T18:00:00+00:00,UP,3384.708,3386.272,3385.49,3391.125,5.635,0.173,10.153,2025-06-18T18:08:00+00:00,30,archived bid/ask M1,0.5,True
NFP,2025-07-03T12:30:00+00:00,DOWN,3349.018,3350.782,3349.9,3324.5235,-25.3765,0.11,37.803,2025-07-03T12:44:00+00:00,30,archived bid/ask M1,0.5,True
CPI,2025-07-15T12:30:00+00:00,DOWN,3353.888,3355.322,3354.605,3348.89,-5.715,6.043,7.683,2025-07-15T12:41:00+00:00,30,archived bid/ask M1,6.5,True
PPI,2025-07-16T12:30:00+00:00,UP,3333.738,3335.112,3334.425,3334.625,0.2,1.833,3.933,2025-07-16T12:34:00+00:00,30,archived bid/ask M1,2.0,True
GDP,2025-07-30T12:30:00+00:00,DOWN,3328.642,3329.222,3328.932,3313.345,-15.587,0.67,18.211,2025-07-30T12:55:00+00:00,30,archived bid/ask M1,1.0,True
FOMC,2025-07-30T18:00:00+00:00,DOWN,3301.762,3302.342,3302.052,3297.655,-4.397,3.8,5.09,2025-07-30T18:06:00+00:00,30,archived bid/ask M1,4.0,True
NFP,2025-08-01T12:30:00+00:00,UP,3300.908,3302.585,3301.7465,3341.335,39.5885,0.0,43.12,2025-08-01T12:48:00+00:00,30,archived bid/ask M1,0.5,True
CPI,2025-08-12T12:30:00+00:00,UP,3338.638,3341.272,3339.955,3349.955,10.0,0.01,17.133,2025-08-12T12:50:00+00:00,30,archived bid/ask M1,0.5,True
PPI,2025-08-14T12:30:00+00:00,DOWN,3352.198,3353.915,3353.0565,3350.5965,-2.46,0.05,11.458,2025-08-14T12:30:00+00:00,30,archived bid/ask M1,0.5,True
NFP,2025-09-05T12:30:00+00:00,UP,3552.828,3556.945,3554.8865,3580.475,25.5885,0.813,30.8,2025-09-05T12:41:00+00:00,30,archived bid/ask M1,1.0,True
PPI,2025-09-10T12:30:00+00:00,DOWN,3647.428,3648.802,3648.115,3644.065,-4.05,10.683,7.42,2025-09-10T12:52:00+00:00,30,archived bid/ask M1,11.0,False
CPI,2025-09-11T12:30:00+00:00,UP,3622.505,3625.032,3623.7685,3629.0315,5.263,11.04,19.453,2025-09-11T12:37:00+00:00,30,archived bid/ask M1,11.5,True
FOMC,2025-09-17T18:00:00+00:00,DOWN,3687.312,3687.892,3687.602,3682.612,-4.99,10.61,32.21,2025-09-17T18:01:00+00:00,30,archived bid/ask M1,11.0,True
CPI,2025-10-24T12:30:00+00:00,UP,4060.835,4062.255,4061.545,4082.205,20.66,0.56,31.44,2025-10-24T12:30:00+00:00,30,archived bid/ask M1,1.0,True
FOMC,2025-10-29T18:00:00+00:00,DOWN,3993.958,3995.775,3994.8665,3981.145,-13.7215,12.587,16.933,2025-10-29T18:25:00+00:00,30,archived bid/ask M1,13.0,True
NFP,2025-11-20T13:30:00+00:00,DOWN,4085.135,4087.015,4086.075,4080.475,-5.6,5.09,18.917,2025-11-20T13:30:00+00:00,30,archived bid/ask M1,5.5,True
PPI,2025-11-25T13:30:00+00:00,UP,4141.248,4142.485,4141.8665,4147.767,5.9005,0.1,8.77,2025-11-25T13:39:00+00:00,30,archived bid/ask M1,0.5,True
FOMC,2025-12-10T19:00:00+00:00,UP,4193.398,4195.605,4194.5015,4198.935,4.4335,3.9,24.55,2025-12-10T19:11:00+00:00,30,archived bid/ask M1,4.0,True
NFP,2025-12-16T13:30:00+00:00,UP,4300.815,4302.655,4301.735,4313.07,11.335,1.22,10.97,2025-12-16T13:59:00+00:00,30,archived bid/ask M1,1.5,True
CPI,2025-12-18T13:30:00+00:00,UP,4320.495,4321.432,4320.9635,4336.6485,15.685,0.04,22.083,2025-12-18T13:52:00+00:00,30,archived bid/ask M1,0.5,True
GDP,2025-12-23T13:30:00+00:00,DOWN,4488.635,4489.915,4489.275,4479.2835,-9.9915,3.13,15.62,2025-12-23T13:52:00+00:00,30,archived bid/ask M1,3.5,True
NFP,2026-01-09T13:30:00+00:00,UP,4472.235,4474.065,4473.15,4482.5915,9.4415,13.64,18.36,2026-01-09T13:40:00+00:00,30,archived bid/ask M1,14.0,True
CPI,2026-01-13T13:30:00+00:00,UP,4601.425,4602.105,4601.765,4611.675,9.91,0.0,19.197,2026-01-13T13:46:00+00:00,30,archived bid/ask M1,0.5,True
PPI,2026-01-14T13:30:00+00:00,UP,4631.155,4633.472,4632.3135,4635.79,3.4765,7.51,4.453,2026-01-14T13:44:00+00:00,30,archived bid/ask M1,8.0,False
FOMC,2026-01-28T19:00:00+00:00,DOWN,5284.462,5285.142,5284.802,5283.605,-1.197,8.623,15.217,2026-01-28T19:02:00+00:00,30,archived bid/ask M1,9.0,True
PPI,2026-01-30T13:30:00+00:00,DOWN,5024.908,5030.812,5027.86,5019.7885,-8.0715,19.003,34.033,2026-01-30T13:50:00+00:00,30,archived bid/ask M1,19.5,True
NFP,2026-02-11T13:30:00+00:00,DOWN,5080.508,5086.135,5083.3215,5065.9,-17.4215,0.137,62.513,2026-02-11T13:31:00+00:00,30,archived bid/ask M1,0.5,True
CPI,2026-02-13T13:30:00+00:00,UP,4966.695,4967.895,4967.295,4987.23,19.935,0.357,34.367,2026-02-13T13:30:00+00:00,30,archived bid/ask M1,0.5,True
GDP,2026-02-20T13:30:00+00:00,UP,5028.388,5029.185,5028.7865,5043.705,14.9185,10.593,20.107,2026-02-20T13:56:00+00:00,30,archived bid/ask M1,11.0,True
PPI,2026-02-27T13:30:00+00:00,DOWN,5234.708,5236.915,5235.8115,5223.21,-12.6015,0.377,27.333,2026-02-27T13:41:00+00:00,30,archived bid/ask M1,0.5,True
NFP,2026-03-06T13:30:00+00:00,UP,5083.725,5084.405,5084.065,5085.275,1.21,0.0,47.28,2026-03-06T13:36:00+00:00,30,archived bid/ask M1,0.5,True
CPI,2026-03-11T12:30:00+00:00,DOWN,5190.025,5193.192,5191.6085,5167.62,-23.9885,6.293,23.52,2026-03-11T12:59:00+00:00,30,archived bid/ask M1,6.5,True
PPI,2026-03-18T12:30:00+00:00,DOWN,4901.235,4903.312,4902.2735,4881.71,-20.5635,0.363,30.87,2026-03-18T12:50:00+00:00,30,archived bid/ask M1,0.5,True
FOMC,2026-03-18T18:00:00+00:00,DOWN,4889.545,4891.322,4890.4335,4885.73,-4.7035,8.363,12.99,2026-03-18T18:25:00+00:00,30,archived bid/ask M1,8.5,True
CPI,2026-04-10T12:30:00+00:00,UP,4762.435,4763.552,4762.9935,4771.88,8.8865,1.24,19.553,2026-04-10T12:34:00+00:00,30,archived bid/ask M1,1.5,True
PPI,2026-04-14T12:30:00+00:00,UP,4769.835,4770.515,4770.175,4771.685,1.51,1.26,6.22,2026-04-14T12:34:00+00:00,30,archived bid/ask M1,1.5,True
FOMC,2026-04-29T18:00:00+00:00,DOWN,4546.375,4548.312,4547.3435,4533.02,-14.3235,5.103,21.43,2026-04-29T18:15:00+00:00,30,archived bid/ask M1,5.5,True
GDP,2026-04-30T12:30:00+00:00,UP,4629.635,4630.795,4630.215,4639.665,9.45,5.52,9.64,2026-04-30T12:59:00+00:00,30,archived bid/ask M1,6.0,True
NFP,2026-05-08T12:30:00+00:00,UP,4709.805,4712.067,4710.936,4724.505,13.569,8.097,20.288,2026-05-08T12:56:00+00:00,30,archived bid/ask M1,8.5,True
CPI,2026-05-12T12:30:00+00:00,UP,4697.265,4698.252,4697.7585,4705.83,8.0715,7.83,13.713,2026-05-12T12:52:00+00:00,30,archived bid/ask M1,8.0,True
PPI,2026-05-13T12:30:00+00:00,DOWN,4684.058,4685.525,4684.7915,4683.88,-0.9115,7.22,8.763,2026-05-13T12:30:00+00:00,30,archived bid/ask M1,7.5,True
NFP,2026-06-05T12:30:00+00:00,DOWN,4464.285,4466.385,4465.335,4406.375,-58.96,0.79,59.61,2026-06-05T12:59:00+00:00,30,archived bid/ask M1,1.0,True
CPI,2026-06-10T12:30:00+00:00,UP,4140.908,4141.835,4141.3715,4147.095,5.7235,3.683,32.42,2026-06-10T12:30:00+00:00,30,archived bid/ask M1,4.0,True
PPI,2026-06-11T12:30:00+00:00,UP,4068.175,4070.102,4069.1385,4082.07,12.9315,10.85,15.513,2026-06-11T12:55:00+00:00,30,archived bid/ask M1,11.0,True
FOMC,2026-06-17T18:00:00+00:00,DOWN,4379.575,4381.345,4380.46,4292.82,-87.64,0.0,102.68,2026-06-17T18:13:00+00:00,30,archived bid/ask M1,0.5,True
NFP,2026-07-02T12:30:00+00:00,UP,4064.325,4066.535,4065.43,4117.62,52.19,0.22,74.27,2026-07-02T12:40:00+00:00,30,archived bid/ask M1,0.5,True
CPI,2026-07-14T12:30:00+00:00,UP,4030.345,4031.025,4030.685,4076.235,45.55,0.75,76.02,2026-07-14T12:33:00+00:00,30,archived bid/ask M1,1.0,True
PPI,2026-07-15T12:30:00+00:00,UP,4039.745,4040.425,4040.085,4067.845,27.76,0.32,31.47,2026-07-15T12:58:00+00:00,30,archived bid/ask M1,0.5,True
FOMC,2026-07-29T18:00:00+00:00,UP,4042.625,4044.975,4043.8,4067.785,23.985,1.79,42.54,2026-07-29T18:12:00+00:00,30,archived bid/ask M1,2.0,True
NFP,2026-08-07T12:30:00+00:00,UP,4306.65,4306.9,4306.775,4316.175,9.4,4.47,14.07,2026-08-07T12:47:00+00:00,30,MT5 bid/ask ticks,4.5,True
