risk_pct,strategy_mode,note_point_to_price,target_rr,effective_target_rr,max_target_rr,trailing_enabled,risk_progression_enabled,risk_progression_multiplier,risk_progression_max_pct,pending_mode,s2a_entry_model,s2b_entry_model,runner_trail_bars,runner_buffer_points,slippage_price,max_spread_price,trades,wins,losses,breakeven,win_rate,profit_factor,expectancy_r,net_r,net_profit,ending_balance,max_drawdown_pct,max_consecutive_losses,score
1.0,ALL,1.0,2.0,1.7,1.7,True,False,1.6,5.0,OCO,REFERENCE_PAIR,CLOSE_PLUS_50,2,5.0,0.15,1.5,72,15,57,0,20.833333333333336,0.5503770695391463,-0.08811280090613224,-6.344121665241522,-619.594554531046,9380.405445468954,7.887476501092461,12,-0.591658663876272
1.0,ALL,1.0,3.0,1.7,1.7,True,False,1.6,5.0,OCO,REFERENCE_PAIR,CLOSE_PLUS_50,2,5.0,0.15,1.5,72,15,57,0,20.833333333333336,0.5503770695391463,-0.08811280090613224,-6.344121665241522,-619.594554531046,9380.405445468954,7.887476501092461,12,-0.591658663876272
1.0,S1,1.0,2.0,1.7,1.7,True,False,1.6,5.0,OCO,REFERENCE_PAIR,CLOSE_PLUS_50,1,5.0,0.15,1.5,33,4,29,0,12.121212121212121,0.22836263987211847,-0.13271397927429662,-4.379561316051788,-429.48521143555445,9570.514788564446,4.294852114355544,14,-0.7487637338582052
1.0,S1,1.0,2.0,1.7,1.7,True,False,1.6,5.0,OCO,REFERENCE_PAIR,CLOSE_PLUS_50,2,5.0,0.15,1.5,33,4,29,0,12.121212121212121,0.2247773839370642,-0.1354572645699246,-4.470089730807511,-438.1820972296882,9561.817902770312,4.381820972296882,14,-0.7724564069283879
1.0,S2A,0.1,2.0,1.7,1.7,True,False,1.6,5.0,OCO,DIRECT,CLOSE_PLUS_50,1,5.0,0.15,1.5,44,15,29,0,34.090909090909086,0.7823803936593399,-0.13655250966156496,-6.008310425108859,-612.1352009492912,9387.864799050709,17.479512478266564,8,-0.9973821077115714
1.0,S2A,0.1,2.0,1.7,1.7,True,False,1.6,5.0,BOTH,DIRECT,CLOSE_PLUS_50,1,5.0,0.15,1.5,44,15,29,0,34.090909090909086,0.7823803936593399,-0.13655250966156496,-6.008310425108859,-612.1352009492912,9387.864799050709,17.479512478266564,8,-0.9973821077115714
1.0,S2A,0.1,3.0,1.7,1.7,True,False,1.6,5.0,OCO,DIRECT,CLOSE_PLUS_50,1,5.0,0.15,1.5,44,15,29,0,34.090909090909086,0.7823803936593399,-0.13655250966156496,-6.008310425108859,-612.1352009492912,9387.864799050709,17.479512478266564,8,-0.9973821077115714
1.0,S2A,0.1,3.0,1.7,1.7,True,False,1.6,5.0,BOTH,DIRECT,CLOSE_PLUS_50,1,5.0,0.15,1.5,44,15,29,0,34.090909090909086,0.7823803936593399,-0.13655250966156496,-6.008310425108859,-612.1352009492912,9387.864799050709,17.479512478266564,8,-0.9973821077115714
1.0,ALL,0.1,2.0,1.7,1.7,True,False,1.6,5.0,BOTH,DIRECT,MID_LOW_PAIR,1,5.0,0.15,1.5,105,36,69,0,34.285714285714285,0.8368119842943496,-0.09051764805882458,-9.50435304617658,-964.8934743797217,9035.106525620278,18.526341259499922,13,-1.0170349617898804
1.0,ALL,0.1,3.0,1.7,1.7,True,False,1.6,5.0,BOTH,DIRECT,MID_LOW_PAIR,1,5.0,0.15,1.5,105,36,69,0,34.285714285714285,0.8368119842943496,-0.09051764805882458,-9.50435304617658,-964.8934743797217,9035.106525620278,18.526341259499922,13,-1.0170349617898804
1.0,ALL,0.1,2.0,1.7,1.7,True,False,1.6,5.0,BOTH,DIRECT,MID_LOW_PAIR,2,5.0,0.15,1.5,105,36,69,0,34.285714285714285,0.820830222326027,-0.10131746313048234,-10.638333628700648,-1067.4902591927512,8932.509740807249,19.086417718714806,13,-1.1716857200396926
1.0,ALL,0.1,3.0,1.7,1.7,True,False,1.6,5.0,BOTH,DIRECT,MID_LOW_PAIR,2,5.0,0.15,1.5,105,36,69,0,34.285714285714285,0.820830222326027,-0.10131746313048234,-10.638333628700648,-1067.4902591927512,8932.509740807249,19.086417718714806,13,-1.1716857200396926
1.0,ALL,0.1,2.0,1.7,1.7,True,False,1.6,5.0,OCO,DIRECT,CLOSE_PLUS_50,1,5.0,0.15,1.5,101,32,69,0,31.683168316831683,0.8467859042792555,-0.0897689932387411,-9.066668317112851,-928.7971639650532,9071.202836034947,23.549556163717373,17,-1.2328591205892032
1.0,ALL,0.1,2.0,1.7,1.7,True,False,1.6,5.0,BOTH,DIRECT,CLOSE_PLUS_50,1,5.0,0.15,1.5,101,32,69,0,31.683168316831683,0.8467859042792555,-0.0897689932387411,-9.066668317112851,-928.7971639650532,9071.202836034947,23.549556163717373,17,-1.2328591205892032
1.0,ALL,0.1,3.0,1.7,1.7,True,False,1.6,5.0,OCO,DIRECT,CLOSE_PLUS_50,1,5.0,0.15,1.5,101,32,69,0,31.683168316831683,0.8467859042792555,-0.0897689932387411,-9.066668317112851,-928.7971639650532,9071.202836034947,23.549556163717373,17,-1.2328591205892032
