number,ea,symbol,side,volume,open_time,close_time,open_price,close_price,net_profit,result,source,entry_comment,exit_comment,cache_slug,cache_mode,cache_period,price_move,price_move_unit,pip_size,estimated_r,estimated_risk_cash,configured_risk_pct,r_is_estimate,open_dt,close_dt,clock10,clock20,clock40,rolling20,family,strategy
24,ORB Volume Profile Volume Confirmed — Standard,XAUUSD,Long,0.15,2024-09-24T14:20:00,2024-09-24T16:44:40,2638.465,2654.942,246.32,Win,Precomputed native MT5 deals,ORB RV 0.93 BV 1.30,tp 2654.925,orb-volume-profile-volume-confirmed,standard,3y,164.77,pips,0.1,2.47,99.76,1.0,True,2024-09-24 14:20:00+00:00,2024-09-24 16:44:40+00:00,0.9993972272453285,1.0628205128205128,1.1566096965469133,1.2978473581213308,ORB,orb-volume-profile-volume-confirmed
25,ORB Volume Profile Volume Confirmed — Standard,XAUUSD,Long,0.09,2024-10-04T14:55:00,2024-10-04T15:26:45,2658.965,2658.956,-0.59,Loss,Precomputed native MT5 deals,ORB RV 1.36 BV 1.14,sl 2658.965,orb-volume-profile-volume-confirmed,standard,3y,-0.09,pips,0.1,-0.01,102.22,1.0,True,2024-10-04 14:55:00+00:00,2024-10-04 15:26:45+00:00,1.3331179321486268,1.5135730007336756,1.6023300970873786,1.140724357202101,ORB,orb-volume-profile-volume-confirmed
26,ORB Volume Profile Volume Confirmed — Standard,XAUUSD,Short,0.12,2024-10-08T14:15:00,2024-10-08T15:07:27,2634.204,2614.466,236.2,Win,Precomputed native MT5 deals,ORB RV 1.24 BV 1.25,tp 2614.472,orb-volume-profile-volume-confirmed,standard,3y,197.38,pips,0.1,2.31,102.22,1.0,True,2024-10-08 14:15:00+00:00,2024-10-08 15:07:27+00:00,1.2523919498515341,1.1884783969943644,1.1884783969943644,1.2478632478632479,ORB,orb-volume-profile-volume-confirmed
27,ORB Volume Profile Volume Confirmed — Standard,XAUUSD,Short,0.22,2024-11-19T14:55:00,2024-11-19T15:43:30,2625.921,2625.943,-1.7,Loss,Precomputed native MT5 deals,ORB RV 0.94 BV 1.14,sl 2625.921,orb-volume-profile-volume-confirmed,standard,3y,-0.22,pips,0.1,-0.02,104.58,1.0,True,2024-11-19 14:55:00+00:00,2024-11-19 15:43:30+00:00,1.0432259936176385,1.1383349161126939,1.1566420070762302,1.142675564029234,ORB,orb-volume-profile-volume-confirmed
28,ORB Volume Profile Volume Confirmed — Standard,XAUUSD,Long,0.14,2024-12-20T15:10:00,2024-12-20T16:29:21,2620.182,2623.772,49.49,Win,Precomputed native MT5 deals,ORB RV 1.20 BV 1.16,sl 2623.776,orb-volume-profile-volume-confirmed,standard,3y,35.9,pips,0.1,0.47,104.56,1.0,True,2024-12-20 15:10:00+00:00,2024-12-20 16:29:21+00:00,1.4789915966386555,1.084931506849315,1.0356325596600195,1.1617161716171618,ORB,orb-volume-profile-volume-confirmed
29,ORB Volume Profile Volume Confirmed — Standard,XAUUSD,Long,0.14,2025-01-02T16:10:00,2025-01-02T17:47:13,2652.852,2652.85,-0.8,Loss,Precomputed native MT5 deals,ORB RV 1.16 BV 1.11,sl 2652.852,orb-volume-profile-volume-confirmed,standard,3y,-0.02,pips,0.1,-0.01,105.06,1.0,True,2025-01-02 16:10:00+00:00,2025-01-02 17:47:13+00:00,1.456760048721072,1.456760048721072,1.2730175625332625,1.1053604436229205,ORB,orb-volume-profile-volume-confirmed
30,ORB Volume Profile Volume Confirmed — Standard,XAUUSD,Short,0.16,2025-01-03T14:55:00,2025-01-03T20:55:00,2646.57,2637.76,140.08,Win,Precomputed native MT5 deals,ORB RV 0.91 BV 1.23,,orb-volume-profile-volume-confirmed,standard,3y,88.1,pips,0.1,1.33,105.05,1.0,True,2025-01-03 14:55:00+00:00,2025-01-03 20:55:00+00:00,1.122823984526112,1.0921919096895578,0.8965250965250965,1.230524642289348,ORB,orb-volume-profile-volume-confirmed
31,ORB Volume Profile Volume Confirmed — Standard,XAUUSD,Long,0.13,2025-01-06T14:50:00,2025-01-06T19:01:31,2629.567,2633.379,48.84,Win,Precomputed native MT5 deals,ORB RV 2.07 BV 1.33,sl 2633.395,orb-volume-profile-volume-confirmed,standard,3y,38.12,pips,0.1,0.46,106.45,1.0,True,2025-01-06 14:50:00+00:00,2025-01-06 19:01:31+00:00,2.0119607005553184,2.0979955456570156,1.6918103448275863,1.325267304445695,ORB,orb-volume-profile-volume-confirmed
32,ORB Volume Profile Volume Confirmed — Standard,XAUUSD,Long,0.16,2025-01-16T15:35:00,2025-01-16T20:55:00,2719.196,2715.841,-54.56,Loss,Precomputed native MT5 deals,ORB RV 1.61 BV 1.63,,orb-volume-profile-volume-confirmed,standard,3y,-33.55,pips,0.1,-0.51,106.94,1.0,True,2025-01-16 15:35:00+00:00,2025-01-16 20:55:00+00:00,2.656336909018673,3.061355311355311,2.767384105960265,1.62557743739363,ORB,orb-volume-profile-volume-confirmed
33,ORB Volume Profile Volume Confirmed — Standard,XAUUSD,Long,0.12,2025-02-10T15:40:00,2025-02-10T16:49:29,2910.093,2901.347,-105.62,Loss,Precomputed native MT5 deals,ORB RV 0.89 BV 1.11,sl 2901.355,orb-volume-profile-volume-confirmed,standard,3y,-87.46,pips,0.1,-0.99,106.39,1.0,True,2025-02-10 15:40:00+00:00,2025-02-10 16:49:29+00:00,0.9443112176925127,1.177408637873754,1.4890756302521009,1.1078462019381057,ORB,orb-volume-profile-volume-confirmed
