time,event,position_id,dir,entry,sl,tp,note,buffer,broken,previous,close1,close2,old_sl,closed_bar,balance,equity,ladder
2024.05.17 02:30:00,entry,214,1,2381.05,2376.776,2389.113,aoi_target|risk=119.6700|volume=0.2800|PD=2024.05.17 00:00:00|PW=2024.05.12 00:00:00,0.08013928571428357,0.0,0.0,0.0,0.0,0.0,,11855.37,11851.87,PD.VAL=2374.230;PD.POC=2379.811;PD.VAH=2389.113
2024.05.17 03:15:00,entry,216,1,2376.246,2373.732,2379.811,aoi_target|risk=118.1600|volume=0.4700|PD=2024.05.17 00:00:00|PW=2024.05.12 00:00:00,0.09947499999999537,0.0,0.0,0.0,0.0,0.0,,11732.55,11726.68,PD.VAL=2374.230;PD.POC=2379.811;PD.VAH=2389.113
2024.05.17 05:45:00,entry,218,1,2381.128,2378.963,2389.113,aoi_target|risk=119.0700|volume=0.5500|PD=2024.05.17 00:00:00|PW=2024.05.12 00:00:00,0.1087428571428518,0.0,0.0,0.0,0.0,0.0,,11897.45,11890.58,PD.VAL=2374.230;PD.POC=2379.811;PD.VAH=2389.113
2024.05.20 01:00:00,entry,220,1,2425.482,2420.253,2441.169,fallback_3R|risk=125.5000|volume=0.2400|PD=2024.05.20 00:00:00|PW=2024.05.19 00:00:00,0.21422857142856955,0.0,0.0,0.0,0.0,0.0,,12336.08,12333.08,PD.VAL=2417.041;PD.POC=2418.959;PD.VAH=2419.950
2024.05.20 13:30:00,entry,222,1,2418.804,2412.368,2418.959,aoi_target|risk=128.7200|volume=0.2000|PD=2024.05.20 00:00:00|PW=2024.05.19 00:00:00,0.3300464285714319,0.0,0.0,0.0,0.0,0.0,,12711.49,12708.99,PD.VAL=2417.041;PD.POC=2418.959;PD.VAH=2419.950
2024.05.20 14:00:00,entry,224,1,2420.355,2409.504,2452.908,fallback_3R|risk=130.2100|volume=0.1200|PD=2024.05.20 00:00:00|PW=2024.05.19 00:00:00,0.3711464285714328,0.0,0.0,0.0,0.0,0.0,,12713.93,12712.43,PD.VAL=2417.041;PD.POC=2418.959;PD.VAH=2419.950
2024.05.21 07:15:00,entry,226,1,2414.117,2405.327,2420.007,aoi_target|risk=131.8500|volume=0.1500|PD=2024.05.21 00:00:00|PW=2024.05.19 00:00:00,0.18531428571428868,0.0,0.0,0.0,0.0,0.0,,12576.23,12574.35,PD.VAL=2420.007;PD.POC=2434.367;PD.VAH=2442.049
2024.05.21 12:30:00,entry,228,1,2427.421,2405.367,2434.367,aoi_target|risk=132.3300|volume=0.0600|PD=2024.05.21 00:00:00|PW=2024.05.19 00:00:00,0.16877500000000512,0.0,0.0,0.0,0.0,0.0,,12664.4,12663.65,PD.VAL=2420.007;PD.POC=2434.367;PD.VAH=2442.049
2024.07.18 01:15:00,entry,230,1,2462.656,2457.376,2472.406,aoi_target|risk=126.7200|volume=0.2400|PD=2024.07.18 00:00:00|PW=2024.07.14 00:00:00,0.09744642857142806,0.0,0.0,0.0,0.0,0.0,,12527.45,12524.77,PD.VAL=2462.555;PD.POC=2472.406;PD.VAH=2478.720
2024.07.18 07:15:00,entry,232,1,2473.357,2469.068,2478.72,aoi_target|risk=128.6700|volume=0.3000|PD=2024.07.18 00:00:00|PW=2024.07.14 00:00:00,0.138389285714285,0.0,0.0,0.0,0.0,0.0,,12760.36,12757.0,PD.VAL=2462.555;PD.POC=2472.406;PD.VAH=2478.720
