time,event,position_id,dir,entry,sl,tp,note,buffer,broken,previous,close1,close2,old_sl,closed_bar,balance,equity,ladder
2024.08.13 07:30:00,entry,202,1,2464.82,2460.446,2477.942,fallback_3R|risk=157.4600|volume=0.3600|PD=2024.08.13 00:00:00|PW=2024.08.11 00:00:00,0.14629285714285875,0.0,0.0,0.0,0.0,0.0,,15377.85,15374.07,PW.VAL=2382.032;PW.POC=2393.114;PW.VAH=2423.406
2024.08.14 00:15:00,entry,204,1,2466.478,2463.051,2476.759,fallback_3R|risk=154.2100|volume=0.4500|PD=2024.08.14 00:00:00|PW=2024.08.11 00:00:00,0.08453928571428508,0.0,0.0,0.0,0.0,0.0,,15217.62,15212.9,PW.VAL=2382.032;PW.POC=2393.114;PW.VAH=2423.406
2024.08.14 03:15:00,entry,206,1,2460.91,2458.358,2468.566,fallback_3R|risk=153.1200|volume=0.6000|PD=2024.08.14 00:00:00|PW=2024.08.11 00:00:00,0.15474285714285868,0.0,0.0,0.0,0.0,0.0,,15060.02,15053.72,PW.VAL=2382.032;PW.POC=2393.114;PW.VAH=2423.406
2024.08.14 08:45:00,entry,208,1,2477.824,2468.356,2506.228,fallback_3R|risk=160.9600|volume=0.1700|PD=2024.08.14 00:00:00|PW=2024.08.11 00:00:00,0.1465071428571426,0.0,0.0,0.0,0.0,0.0,,15518.44,15516.65,PW.VAL=2382.032;PW.POC=2393.114;PW.VAH=2423.406
2024.08.19 00:15:00,entry,210,1,2506.637,2504.404,2513.336,fallback_3R|risk=154.0700|volume=0.6900|PD=2024.08.19 00:00:00|PW=2024.08.18 00:00:00,0.12821785714285658,0.0,0.0,0.0,0.0,0.0,,15353.26,15345.54,PW.VAL=2446.691;PW.POC=2455.421;PW.VAH=2474.895
2024.08.19 03:00:00,entry,212,1,2503.576,2496.826,2523.826,fallback_3R|risk=155.2500|volume=0.2300|PD=2024.08.19 00:00:00|PW=2024.08.18 00:00:00,0.1856107142857143,0.0,0.0,0.0,0.0,0.0,,15197.78,15195.2,PW.VAL=2446.691;PW.POC=2455.421;PW.VAH=2474.895
2024.08.20 00:15:00,entry,214,1,2504.278,2502.698,2509.018,fallback_3R|risk=151.6800|volume=0.9600|PD=2024.08.20 00:00:00|PW=2024.08.18 00:00:00,0.06814285714285688,0.0,0.0,0.0,0.0,0.0,,15036.17,15025.42,PW.VAL=2446.691;PW.POC=2455.421;PW.VAH=2474.895
2024.08.20 01:45:00,entry,216,1,2505.029,2502.607,2512.295,fallback_3R|risk=150.1700|volume=0.6200|PD=2024.08.20 00:00:00|PW=2024.08.18 00:00:00,0.10300714285714646,0.0,0.0,0.0,0.0,0.0,,14880.12,14873.17,PW.VAL=2446.691;PW.POC=2455.421;PW.VAH=2474.895
2024.08.21 13:00:00,entry,218,1,2510.674,2506.774,2522.374,fallback_3R|risk=148.2000|volume=0.3800|PD=2024.08.21 00:00:00|PW=2024.08.18 00:00:00,0.1439785714285725,0.0,0.0,0.0,0.0,0.0,,14726.93,14722.68,PW.VAL=2446.691;PW.POC=2455.421;PW.VAH=2474.895
2024.08.25 23:15:00,entry,220,1,2515.075,2510.839,2527.783,fallback_3R|risk=148.2600|volume=0.3500|PD=2024.08.25 00:00:00|PW=2024.08.18 00:00:00,0.10855714285714353,0.0,0.0,0.0,0.0,0.0,,14576.46,14572.54,PW.VAL=2446.691;PW.POC=2455.421;PW.VAH=2474.895
2024.08.26 02:00:00,entry,222,1,2513.513,2510.28,2517.436,aoi_target|risk=145.4900|volume=0.4500|PD=2024.08.26 00:00:00|PW=2024.08.25 00:00:00,0.12358214285714308,0.0,0.0,0.0,0.0,0.0,,14425.61,14420.57,PW.VAL=2495.562;PW.POC=2503.646;PW.VAH=2517.436
2024.08.27 01:30:00,entry,224,1,2512.597,2509.397,2517.436,aoi_target|risk=144.0000|volume=0.4500|PD=2024.08.27 00:00:00|PW=2024.08.25 00:00:00,0.07897142857142886,0.0,0.0,0.0,0.0,0.0,,14276.38,14271.38,PW.VAL=2495.562;PW.POC=2503.646;PW.VAH=2517.436
2024.08.27 05:45:00,entry,226,1,2511.893,2508.109,2517.436,aoi_target|risk=143.7900|volume=0.3800|PD=2024.08.27 00:00:00|PW=2024.08.25 00:00:00,0.10417499999999953,0.0,0.0,0.0,0.0,0.0,,14128.26,14124.01,PW.VAL=2495.562;PW.POC=2503.646;PW.VAH=2517.436
2024.08.27 06:30:00,entry,228,1,2517.161,2512.758,2517.436,aoi_target|risk=145.3000|volume=0.3300|PD=2024.08.27 00:00:00|PW=2024.08.25 00:00:00,0.1167500000000002,0.0,0.0,0.0,0.0,0.0,,14337.76,14334.07,PW.VAL=2495.562;PW.POC=2503.646;PW.VAH=2517.436
2024.08.27 08:30:00,entry,230,1,2511.309,2503.116,2517.436,aoi_target|risk=147.4700|volume=0.1800|PD=2024.08.27 00:00:00|PW=2024.08.25 00:00:00,0.18177142857142925,0.0,0.0,0.0,0.0,0.0,,14345.98,14343.97,PW.VAL=2495.562;PW.POC=2503.646;PW.VAH=2517.436
2024.09.11 13:00:00,entry,232,1,2508.244,2501.718,2513.998,aoi_target|risk=150.1000|volume=0.2300|PD=2024.09.11 00:00:00|PW=2024.09.08 00:00:00,0.20033571428571612,0.0,0.0,0.0,0.0,0.0,,14455.2,14452.63,PW.VAL=2484.434;PW.POC=2494.737;PW.VAH=2513.998
2024.09.11 14:30:00,entry,234,1,2506.939,2500.189,2513.998,aoi_target|risk=148.5000|volume=0.2200|PD=2024.09.11 00:00:00|PW=2024.09.08 00:00:00,0.2827500000000019,0.0,0.0,0.0,0.0,0.0,,14303.85,14301.38,PW.VAL=2484.434;PW.POC=2494.737;PW.VAH=2513.998
2024.09.12 01:15:00,entry,236,1,2513.979,2511.184,2513.998,aoi_target|risk=145.3400|volume=0.5200|PD=2024.09.12 00:00:00|PW=2024.09.08 00:00:00,0.0591071428571435,0.0,0.0,0.0,0.0,0.0,,14456.46,14450.63,PW.VAL=2484.434;PW.POC=2494.737;PW.VAH=2513.998
2024.09.12 01:30:00,entry,238,1,2514.61,2511.574,2523.718,fallback_3R|risk=145.7300|volume=0.4800|PD=2024.09.12 00:00:00|PW=2024.09.08 00:00:00,0.05879642857142764,0.0,0.0,0.0,0.0,0.0,,14455.48,14450.1,PW.VAL=2484.434;PW.POC=2494.737;PW.VAH=2513.998
2024.09.12 06:00:00,entry,240,1,2519.551,2517.453,2525.845,fallback_3R|risk=144.7600|volume=0.6900|PD=2024.09.12 00:00:00|PW=2024.09.08 00:00:00,0.07219285714285693,0.0,0.0,0.0,0.0,0.0,,14305.76,14298.1,PW.VAL=2484.434;PW.POC=2494.737;PW.VAH=2513.998
