CaseId,EaId,Label,Symbol,Period,Variant,SessionValue,Dynamic,Stage,From,To,Model,Report,session,period_text,history_quality_pct,bars,ticks,initial_balance,final_balance,net_profit,return_pct,gross_profit,gross_loss,profit_factor,equity_dd_amount,equity_dd_pct,balance_dd_amount,balance_dd_pct,trades,wins,losses,win_rate,commission,swap,score,status,report
markov-xau__asia,markov-xau,XAU Markov Regime,XAUUSD,D1,asia,1,False,Development,2024.09.01,2025.08.31,1,C:\Users\hama101\Desktop\geek\ai trader\AAA EAs\BM Trading Robust Sets 2026-08-04\Dynamic Trailing Session Research 2026-09-01\Backtest Reports\Development\markov-xau__asia.htm,asia,Daily (2024.09.01 - 2025.08.31),99.0,310,1401337,10000.0,9947.43,-52.57,-0.5257000000000001,35.31,-87.88,0.4,130.27,1.29,87.82,0.88,3,1,2,33.33,-0.18,-15.55,-7.63594439124493,valid,C:\Users\hama101\Desktop\geek\ai trader\AAA EAs\BM Trading Robust Sets 2026-08-04\Dynamic Trailing Session Research 2026-09-01\Backtest Reports\Development\markov-xau__asia.htm
markov-xau__london,markov-xau,XAU Markov Regime,XAUUSD,D1,london,2,False,Development,2024.09.01,2025.08.31,1,C:\Users\hama101\Desktop\geek\ai trader\AAA EAs\BM Trading Robust Sets 2026-08-04\Dynamic Trailing Session Research 2026-09-01\Backtest Reports\Development\markov-xau__london.htm,london,Daily (2024.09.01 - 2025.08.31),99.0,310,1401337,10000.0,10000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,-17.974393641323946,valid,C:\Users\hama101\Desktop\geek\ai trader\AAA EAs\BM Trading Robust Sets 2026-08-04\Dynamic Trailing Session Research 2026-09-01\Backtest Reports\Development\markov-xau__london.htm
markov-xau__new-york,markov-xau,XAU Markov Regime,XAUUSD,D1,new-york,3,False,Development,2024.09.01,2025.08.31,1,C:\Users\hama101\Desktop\geek\ai trader\AAA EAs\BM Trading Robust Sets 2026-08-04\Dynamic Trailing Session Research 2026-09-01\Backtest Reports\Development\markov-xau__new-york.htm,new-york,Daily (2024.09.01 - 2025.08.31),99.0,310,1401337,10000.0,10000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,-17.974393641323946,valid,C:\Users\hama101\Desktop\geek\ai trader\AAA EAs\BM Trading Robust Sets 2026-08-04\Dynamic Trailing Session Research 2026-09-01\Backtest Reports\Development\markov-xau__new-york.htm
markov-xau__overlap,markov-xau,XAU Markov Regime,XAUUSD,D1,overlap,4,False,Development,2024.09.01,2025.08.31,1,C:\Users\hama101\Desktop\geek\ai trader\AAA EAs\BM Trading Robust Sets 2026-08-04\Dynamic Trailing Session Research 2026-09-01\Backtest Reports\Development\markov-xau__overlap.htm,overlap,Daily (2024.09.01 - 2025.08.31),99.0,310,1401337,10000.0,10000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,-17.974393641323946,valid,C:\Users\hama101\Desktop\geek\ai trader\AAA EAs\BM Trading Robust Sets 2026-08-04\Dynamic Trailing Session Research 2026-09-01\Backtest Reports\Development\markov-xau__overlap.htm
momentum-ustec__all,momentum-ustec,Nasdaq 5M Candle Momentum,USTEC,M5,all,0,False,Development,2024.09.01,2025.08.31,1,C:\Users\hama101\Desktop\geek\ai trader\AAA EAs\BM Trading Robust Sets 2026-08-04\Dynamic Trailing Session Research 2026-09-01\Backtest Reports\Development\momentum-ustec__all.htm,all,M5 (2024.09.01 - 2025.08.31),100.0,69632,1392378,10000.0,13987.380000000001,3987.38,39.8738,21340.52,-17353.14,1.23,2347.26,15.19,2122.44,13.9,254,108,146,42.52,-249.48000000000002,-112.82,22.12838501630596,valid,C:\Users\hama101\Desktop\geek\ai trader\AAA EAs\BM Trading Robust Sets 2026-08-04\Dynamic Trailing Session Research 2026-09-01\Backtest Reports\Development\momentum-ustec__all.htm
momentum-ustec__asia,momentum-ustec,Nasdaq 5M Candle Momentum,USTEC,M5,asia,1,False,Development,2024.09.01,2025.08.31,1,C:\Users\hama101\Desktop\geek\ai trader\AAA EAs\BM Trading Robust Sets 2026-08-04\Dynamic Trailing Session Research 2026-09-01\Backtest Reports\Development\momentum-ustec__asia.htm,asia,M5 (2024.09.01 - 2025.08.31),100.0,69632,1392378,10000.0,10000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,-17.974393641323946,valid,C:\Users\hama101\Desktop\geek\ai trader\AAA EAs\BM Trading Robust Sets 2026-08-04\Dynamic Trailing Session Research 2026-09-01\Backtest Reports\Development\momentum-ustec__asia.htm
momentum-ustec__london,momentum-ustec,Nasdaq 5M Candle Momentum,USTEC,M5,london,2,False,Development,2024.09.01,2025.08.31,1,C:\Users\hama101\Desktop\geek\ai trader\AAA EAs\BM Trading Robust Sets 2026-08-04\Dynamic Trailing Session Research 2026-09-01\Backtest Reports\Development\momentum-ustec__london.htm,london,M5 (2024.09.01 - 2025.08.31),100.0,69632,1392378,10000.0,10000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,-17.974393641323946,valid,C:\Users\hama101\Desktop\geek\ai trader\AAA EAs\BM Trading Robust Sets 2026-08-04\Dynamic Trailing Session Research 2026-09-01\Backtest Reports\Development\momentum-ustec__london.htm
momentum-ustec__new-york,momentum-ustec,Nasdaq 5M Candle Momentum,USTEC,M5,new-york,3,False,Development,2024.09.01,2025.08.31,1,C:\Users\hama101\Desktop\geek\ai trader\AAA EAs\BM Trading Robust Sets 2026-08-04\Dynamic Trailing Session Research 2026-09-01\Backtest Reports\Development\momentum-ustec__new-york.htm,new-york,M5 (2024.09.01 - 2025.08.31),100.0,69632,1392378,10000.0,13987.380000000001,3987.38,39.8738,21340.52,-17353.14,1.23,2347.26,15.19,2122.44,13.9,254,108,146,42.52,-249.48000000000002,-112.82,22.12838501630596,valid,C:\Users\hama101\Desktop\geek\ai trader\AAA EAs\BM Trading Robust Sets 2026-08-04\Dynamic Trailing Session Research 2026-09-01\Backtest Reports\Development\momentum-ustec__new-york.htm
momentum-ustec__overlap,momentum-ustec,Nasdaq 5M Candle Momentum,USTEC,M5,overlap,4,False,Development,2024.09.01,2025.08.31,1,C:\Users\hama101\Desktop\geek\ai trader\AAA EAs\BM Trading Robust Sets 2026-08-04\Dynamic Trailing Session Research 2026-09-01\Backtest Reports\Development\momentum-ustec__overlap.htm,overlap,M5 (2024.09.01 - 2025.08.31),100.0,69632,1392378,10000.0,13987.380000000001,3987.38,39.8738,21340.52,-17353.14,1.23,2347.26,15.19,2122.44,13.9,254,108,146,42.52,-249.48000000000002,-112.82,22.12838501630596,valid,C:\Users\hama101\Desktop\geek\ai trader\AAA EAs\BM Trading Robust Sets 2026-08-04\Dynamic Trailing Session Research 2026-09-01\Backtest Reports\Development\momentum-ustec__overlap.htm
news-xau__all,news-xau,News Pulse LONG ONLY,XAUUSD,M1,all,0,False,Development,2024.09.01,2025.08.31,1,C:\Users\hama101\Desktop\geek\ai trader\AAA EAs\BM Trading Robust Sets 2026-08-04\Dynamic Trailing Session Research 2026-09-01\Backtest Reports\Development\news-xau__all.htm,all,M1 (2024.09.01 - 2025.08.31),99.0,350337,1401337,10000.0,10056.07,56.07,0.5607,56.95,-0.88,64.72,60.34,0.6,0.88,0.01,1,1,0,100.0,-0.88,0.0,24.83112163650142,valid,C:\Users\hama101\Desktop\geek\ai trader\AAA EAs\BM Trading Robust Sets 2026-08-04\Dynamic Trailing Session Research 2026-09-01\Backtest Reports\Development\news-xau__all.htm
news-xau__asia,news-xau,News Pulse LONG ONLY,XAUUSD,M1,asia,1,False,Development,2024.09.01,2025.08.31,1,C:\Users\hama101\Desktop\geek\ai trader\AAA EAs\BM Trading Robust Sets 2026-08-04\Dynamic Trailing Session Research 2026-09-01\Backtest Reports\Development\news-xau__asia.htm,asia,M1 (2024.09.01 - 2025.08.31),99.0,350337,1401337,10000.0,10000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,-17.974393641323946,valid,C:\Users\hama101\Desktop\geek\ai trader\AAA EAs\BM Trading Robust Sets 2026-08-04\Dynamic Trailing Session Research 2026-09-01\Backtest Reports\Development\news-xau__asia.htm
news-xau__london,news-xau,News Pulse LONG ONLY,XAUUSD,M1,london,2,False,Development,2024.09.01,2025.08.31,1,C:\Users\hama101\Desktop\geek\ai trader\AAA EAs\BM Trading Robust Sets 2026-08-04\Dynamic Trailing Session Research 2026-09-01\Backtest Reports\Development\news-xau__london.htm,london,M1 (2024.09.01 - 2025.08.31),99.0,350337,1401337,10000.0,10000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,-17.974393641323946,valid,C:\Users\hama101\Desktop\geek\ai trader\AAA EAs\BM Trading Robust Sets 2026-08-04\Dynamic Trailing Session Research 2026-09-01\Backtest Reports\Development\news-xau__london.htm
news-xau__new-york,news-xau,News Pulse LONG ONLY,XAUUSD,M1,new-york,3,False,Development,2024.09.01,2025.08.31,1,C:\Users\hama101\Desktop\geek\ai trader\AAA EAs\BM Trading Robust Sets 2026-08-04\Dynamic Trailing Session Research 2026-09-01\Backtest Reports\Development\news-xau__new-york.htm,new-york,M1 (2024.09.01 - 2025.08.31),99.0,350337,1401337,10000.0,10000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,-17.974393641323946,valid,C:\Users\hama101\Desktop\geek\ai trader\AAA EAs\BM Trading Robust Sets 2026-08-04\Dynamic Trailing Session Research 2026-09-01\Backtest Reports\Development\news-xau__new-york.htm
news-xau__overlap,news-xau,News Pulse LONG ONLY,XAUUSD,M1,overlap,4,False,Development,2024.09.01,2025.08.31,1,C:\Users\hama101\Desktop\geek\ai trader\AAA EAs\BM Trading Robust Sets 2026-08-04\Dynamic Trailing Session Research 2026-09-01\Backtest Reports\Development\news-xau__overlap.htm,overlap,M1 (2024.09.01 - 2025.08.31),99.0,350337,1401337,10000.0,10000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,-17.974393641323946,valid,C:\Users\hama101\Desktop\geek\ai trader\AAA EAs\BM Trading Robust Sets 2026-08-04\Dynamic Trailing Session Research 2026-09-01\Backtest Reports\Development\news-xau__overlap.htm
orb-volume-xau__all,orb-volume-xau,ORB Volume Profile,XAUUSD,M5,all,0,False,Development,2024.09.01,2025.08.31,1,C:\Users\hama101\Desktop\geek\ai trader\AAA EAs\BM Trading Robust Sets 2026-08-04\Dynamic Trailing Session Research 2026-09-01\Backtest Reports\Development\orb-volume-xau__all.htm,all,M5 (2024.09.01 - 2025.08.31),99.0,70228,1401337,10000.0,12046.29,2046.29,20.4629,4424.61,-2378.32,1.86,597.94,5.21,470.66,4.14,60,35,25,58.33,-50.479999999999976,0.0,17.67385892635066,valid,C:\Users\hama101\Desktop\geek\ai trader\AAA EAs\BM Trading Robust Sets 2026-08-04\Dynamic Trailing Session Research 2026-09-01\Backtest Reports\Development\orb-volume-xau__all.htm
orb-volume-xau__asia,orb-volume-xau,ORB Volume Profile,XAUUSD,M5,asia,1,False,Development,2024.09.01,2025.08.31,1,C:\Users\hama101\Desktop\geek\ai trader\AAA EAs\BM Trading Robust Sets 2026-08-04\Dynamic Trailing Session Research 2026-09-01\Backtest Reports\Development\orb-volume-xau__asia.htm,asia,M5 (2024.09.01 - 2025.08.31),99.0,70228,1401337,10000.0,10000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,-17.974393641323946,valid,C:\Users\hama101\Desktop\geek\ai trader\AAA EAs\BM Trading Robust Sets 2026-08-04\Dynamic Trailing Session Research 2026-09-01\Backtest Reports\Development\orb-volume-xau__asia.htm
orb-volume-xau__london,orb-volume-xau,ORB Volume Profile,XAUUSD,M5,london,2,False,Development,2024.09.01,2025.08.31,1,C:\Users\hama101\Desktop\geek\ai trader\AAA EAs\BM Trading Robust Sets 2026-08-04\Dynamic Trailing Session Research 2026-09-01\Backtest Reports\Development\orb-volume-xau__london.htm,london,M5 (2024.09.01 - 2025.08.31),99.0,70228,1401337,10000.0,10000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,-17.974393641323946,valid,C:\Users\hama101\Desktop\geek\ai trader\AAA EAs\BM Trading Robust Sets 2026-08-04\Dynamic Trailing Session Research 2026-09-01\Backtest Reports\Development\orb-volume-xau__london.htm
orb-volume-xau__new-york,orb-volume-xau,ORB Volume Profile,XAUUSD,M5,new-york,3,False,Development,2024.09.01,2025.08.31,1,C:\Users\hama101\Desktop\geek\ai trader\AAA EAs\BM Trading Robust Sets 2026-08-04\Dynamic Trailing Session Research 2026-09-01\Backtest Reports\Development\orb-volume-xau__new-york.htm,new-york,M5 (2024.09.01 - 2025.08.31),99.0,70228,1401337,10000.0,12046.29,2046.29,20.4629,4424.61,-2378.32,1.86,597.94,5.21,470.66,4.14,60,35,25,58.33,-50.479999999999976,0.0,17.67385892635066,valid,C:\Users\hama101\Desktop\geek\ai trader\AAA EAs\BM Trading Robust Sets 2026-08-04\Dynamic Trailing Session Research 2026-09-01\Backtest Reports\Development\orb-volume-xau__new-york.htm
orb-volume-xau__overlap,orb-volume-xau,ORB Volume Profile,XAUUSD,M5,overlap,4,False,Development,2024.09.01,2025.08.31,1,C:\Users\hama101\Desktop\geek\ai trader\AAA EAs\BM Trading Robust Sets 2026-08-04\Dynamic Trailing Session Research 2026-09-01\Backtest Reports\Development\orb-volume-xau__overlap.htm,overlap,M5 (2024.09.01 - 2025.08.31),99.0,70228,1401337,10000.0,12056.68,2056.68,20.5668,4340.36,-2283.68,1.9,693.14,5.99,565.86,4.93,57,34,23,59.65,-48.53999999999998,0.0,16.930423317034368,valid,C:\Users\hama101\Desktop\geek\ai trader\AAA EAs\BM Trading Robust Sets 2026-08-04\Dynamic Trailing Session Research 2026-09-01\Backtest Reports\Development\orb-volume-xau__overlap.htm
overnight-ustec__all,overnight-ustec,Nasdaq Overnight,USTEC,M1,all,0,False,Development,2024.09.01,2025.08.31,1,C:\Users\hama101\Desktop\geek\ai trader\AAA EAs\BM Trading Robust Sets 2026-08-04\Dynamic Trailing Session Research 2026-09-01\Backtest Reports\Development\overnight-ustec__all.htm,all,M1 (2024.09.01 - 2025.08.31),100.0,348100,1392378,10000.0,9908.71,-91.29,-0.9129,901.52,-992.81,0.91,501.08,4.87,474.03,4.61,57,27,30,47.37,-8.42,-96.18,-7.566264076827449,valid,C:\Users\hama101\Desktop\geek\ai trader\AAA EAs\BM Trading Robust Sets 2026-08-04\Dynamic Trailing Session Research 2026-09-01\Backtest Reports\Development\overnight-ustec__all.htm
overnight-ustec__asia,overnight-ustec,Nasdaq Overnight,USTEC,M1,asia,1,False,Development,2024.09.01,2025.08.31,1,C:\Users\hama101\Desktop\geek\ai trader\AAA EAs\BM Trading Robust Sets 2026-08-04\Dynamic Trailing Session Research 2026-09-01\Backtest Reports\Development\overnight-ustec__asia.htm,asia,M1 (2024.09.01 - 2025.08.31),100.0,348100,1392378,10000.0,10000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,-17.974393641323946,valid,C:\Users\hama101\Desktop\geek\ai trader\AAA EAs\BM Trading Robust Sets 2026-08-04\Dynamic Trailing Session Research 2026-09-01\Backtest Reports\Development\overnight-ustec__asia.htm
overnight-ustec__london,overnight-ustec,Nasdaq Overnight,USTEC,M1,london,2,False,Development,2024.09.01,2025.08.31,1,C:\Users\hama101\Desktop\geek\ai trader\AAA EAs\BM Trading Robust Sets 2026-08-04\Dynamic Trailing Session Research 2026-09-01\Backtest Reports\Development\overnight-ustec__london.htm,london,M1 (2024.09.01 - 2025.08.31),100.0,348100,1392378,10000.0,10000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,-17.974393641323946,valid,C:\Users\hama101\Desktop\geek\ai trader\AAA EAs\BM Trading Robust Sets 2026-08-04\Dynamic Trailing Session Research 2026-09-01\Backtest Reports\Development\overnight-ustec__london.htm
overnight-ustec__new-york,overnight-ustec,Nasdaq Overnight,USTEC,M1,new-york,3,False,Development,2024.09.01,2025.08.31,1,C:\Users\hama101\Desktop\geek\ai trader\AAA EAs\BM Trading Robust Sets 2026-08-04\Dynamic Trailing Session Research 2026-09-01\Backtest Reports\Development\overnight-ustec__new-york.htm,new-york,M1 (2024.09.01 - 2025.08.31),100.0,348100,1392378,10000.0,9908.71,-91.29,-0.9129,901.52,-992.81,0.91,501.08,4.87,474.03,4.61,57,27,30,47.37,-8.42,-96.18,-7.566264076827449,valid,C:\Users\hama101\Desktop\geek\ai trader\AAA EAs\BM Trading Robust Sets 2026-08-04\Dynamic Trailing Session Research 2026-09-01\Backtest Reports\Development\overnight-ustec__new-york.htm
overnight-ustec__overlap,overnight-ustec,Nasdaq Overnight,USTEC,M1,overlap,4,False,Development,2024.09.01,2025.08.31,1,C:\Users\hama101\Desktop\geek\ai trader\AAA EAs\BM Trading Robust Sets 2026-08-04\Dynamic Trailing Session Research 2026-09-01\Backtest Reports\Development\overnight-ustec__overlap.htm,overlap,M1 (2024.09.01 - 2025.08.31),100.0,348100,1392378,10000.0,10000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,-17.974393641323946,valid,C:\Users\hama101\Desktop\geek\ai trader\AAA EAs\BM Trading Robust Sets 2026-08-04\Dynamic Trailing Session Research 2026-09-01\Backtest Reports\Development\overnight-ustec__overlap.htm
topdown-btc__all,topdown-btc,BTC Top Down FVG Liquidity,BTCUSD,M15,all,0,False,Development,2024.09.01,2025.08.31,1,C:\Users\hama101\Desktop\geek\ai trader\AAA EAs\BM Trading Robust Sets 2026-08-04\Dynamic Trailing Session Research 2026-09-01\Backtest Reports\Development\topdown-btc__all.htm,all,M15 (2024.09.01 - 2025.08.31),100.0,34814,2087111,10000.0,10582.27,582.27,5.8227,2738.94,-2156.67,1.27,560.77,5.36,516.97,4.95,35,14,21,40.0,-50.259999999999984,-24.619999999999997,0.5568014028229995,valid,C:\Users\hama101\Desktop\geek\ai trader\AAA EAs\BM Trading Robust Sets 2026-08-04\Dynamic Trailing Session Research 2026-09-01\Backtest Reports\Development\topdown-btc__all.htm
topdown-btc__asia,topdown-btc,BTC Top Down FVG Liquidity,BTCUSD,M15,asia,1,False,Development,2024.09.01,2025.08.31,1,C:\Users\hama101\Desktop\geek\ai trader\AAA EAs\BM Trading Robust Sets 2026-08-04\Dynamic Trailing Session Research 2026-09-01\Backtest Reports\Development\topdown-btc__asia.htm,asia,M15 (2024.09.01 - 2025.08.31),100.0,34814,2087111,10000.0,10553.56,553.56,5.5356,1383.47,-829.91,1.67,479.66,4.65,410.72,3.99,15,7,8,46.67,-25.34,0.0,2.8000417585719823,valid,C:\Users\hama101\Desktop\geek\ai trader\AAA EAs\BM Trading Robust Sets 2026-08-04\Dynamic Trailing Session Research 2026-09-01\Backtest Reports\Development\topdown-btc__asia.htm
topdown-btc__london,topdown-btc,BTC Top Down FVG Liquidity,BTCUSD,M15,london,2,False,Development,2024.09.01,2025.08.31,1,C:\Users\hama101\Desktop\geek\ai trader\AAA EAs\BM Trading Robust Sets 2026-08-04\Dynamic Trailing Session Research 2026-09-01\Backtest Reports\Development\topdown-btc__london.htm,london,M15 (2024.09.01 - 2025.08.31),100.0,34814,2087111,10000.0,10281.38,281.38,2.8138,589.03,-307.65,1.91,280.42,2.72,105.79,1.04,6,3,3,50.0,-8.969999999999999,0.0,3.29641945235123,valid,C:\Users\hama101\Desktop\geek\ai trader\AAA EAs\BM Trading Robust Sets 2026-08-04\Dynamic Trailing Session Research 2026-09-01\Backtest Reports\Development\topdown-btc__london.htm
topdown-btc__new-york,topdown-btc,BTC Top Down FVG Liquidity,BTCUSD,M15,new-york,3,False,Development,2024.09.01,2025.08.31,1,C:\Users\hama101\Desktop\geek\ai trader\AAA EAs\BM Trading Robust Sets 2026-08-04\Dynamic Trailing Session Research 2026-09-01\Backtest Reports\Development\topdown-btc__new-york.htm,new-york,M15 (2024.09.01 - 2025.08.31),100.0,34814,2087111,10000.0,10145.66,145.66,1.4566,962.76,-817.1,1.18,474.47,4.47,303.79,2.91,13,5,8,38.46,-12.339999999999998,-24.619999999999997,-3.1378133691345598,valid,C:\Users\hama101\Desktop\geek\ai trader\AAA EAs\BM Trading Robust Sets 2026-08-04\Dynamic Trailing Session Research 2026-09-01\Backtest Reports\Development\topdown-btc__new-york.htm
topdown-btc__overlap,topdown-btc,BTC Top Down FVG Liquidity,BTCUSD,M15,overlap,4,False,Development,2024.09.01,2025.08.31,1,C:\Users\hama101\Desktop\geek\ai trader\AAA EAs\BM Trading Robust Sets 2026-08-04\Dynamic Trailing Session Research 2026-09-01\Backtest Reports\Development\topdown-btc__overlap.htm,overlap,M15 (2024.09.01 - 2025.08.31),100.0,34814,2087111,10000.0,10260.72,260.72,2.6072,763.64,-502.92,1.52,226.92,2.18,202.18,1.95,9,4,5,44.44,-8.4,-1.86,2.3944620091491102,valid,C:\Users\hama101\Desktop\geek\ai trader\AAA EAs\BM Trading Robust Sets 2026-08-04\Dynamic Trailing Session Research 2026-09-01\Backtest Reports\Development\topdown-btc__overlap.htm
topdown-eth__all,topdown-eth,ETH Top Down FVG Liquidity,ETHUSD,M15,all,0,False,Development,2024.09.01,2025.08.31,1,C:\Users\hama101\Desktop\geek\ai trader\AAA EAs\BM Trading Robust Sets 2026-08-04\Dynamic Trailing Session Research 2026-09-01\Backtest Reports\Development\topdown-eth__all.htm,all,M15 (2024.09.01 - 2025.08.31),100.0,34802,2086861,10000.0,10211.79,211.79,2.1179,538.6,-326.81,1.65,388.79,3.7,323.35,3.08,6,3,3,50.0,-9.94,-5.81,0.49755172747493503,valid,C:\Users\hama101\Desktop\geek\ai trader\AAA EAs\BM Trading Robust Sets 2026-08-04\Dynamic Trailing Session Research 2026-09-01\Backtest Reports\Development\topdown-eth__all.htm
topdown-eth__asia,topdown-eth,ETH Top Down FVG Liquidity,ETHUSD,M15,asia,1,False,Development,2024.09.01,2025.08.31,1,C:\Users\hama101\Desktop\geek\ai trader\AAA EAs\BM Trading Robust Sets 2026-08-04\Dynamic Trailing Session Research 2026-09-01\Backtest Reports\Development\topdown-eth__asia.htm,asia,M15 (2024.09.01 - 2025.08.31),100.0,34802,2086861,10000.0,10000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,-17.974393641323946,valid,C:\Users\hama101\Desktop\geek\ai trader\AAA EAs\BM Trading Robust Sets 2026-08-04\Dynamic Trailing Session Research 2026-09-01\Backtest Reports\Development\topdown-eth__asia.htm
topdown-eth__london,topdown-eth,ETH Top Down FVG Liquidity,ETHUSD,M15,london,2,False,Development,2024.09.01,2025.08.31,1,C:\Users\hama101\Desktop\geek\ai trader\AAA EAs\BM Trading Robust Sets 2026-08-04\Dynamic Trailing Session Research 2026-09-01\Backtest Reports\Development\topdown-eth__london.htm,london,M15 (2024.09.01 - 2025.08.31),100.0,34802,2086861,10000.0,9898.27,-101.73,-1.0172999999999999,0.0,-101.73,0.0,299.06,2.93,101.73,1.02,1,0,1,0.0,-1.76,0.0,-22.654193641323946,valid,C:\Users\hama101\Desktop\geek\ai trader\AAA EAs\BM Trading Robust Sets 2026-08-04\Dynamic Trailing Session Research 2026-09-01\Backtest Reports\Development\topdown-eth__london.htm
topdown-eth__new-york,topdown-eth,ETH Top Down FVG Liquidity,ETHUSD,M15,new-york,3,False,Development,2024.09.01,2025.08.31,1,C:\Users\hama101\Desktop\geek\ai trader\AAA EAs\BM Trading Robust Sets 2026-08-04\Dynamic Trailing Session Research 2026-09-01\Backtest Reports\Development\topdown-eth__new-york.htm,new-york,M15 (2024.09.01 - 2025.08.31),100.0,34802,2086861,10000.0,10089.37,89.37,0.8937,299.65,-210.28,1.43,207.59,2.02,207.59,2.02,3,1,2,33.33,-5.720000000000001,0.0,0.5147466656308954,valid,C:\Users\hama101\Desktop\geek\ai trader\AAA EAs\BM Trading Robust Sets 2026-08-04\Dynamic Trailing Session Research 2026-09-01\Backtest Reports\Development\topdown-eth__new-york.htm
topdown-eth__overlap,topdown-eth,ETH Top Down FVG Liquidity,ETHUSD,M15,overlap,4,False,Development,2024.09.01,2025.08.31,1,C:\Users\hama101\Desktop\geek\ai trader\AAA EAs\BM Trading Robust Sets 2026-08-04\Dynamic Trailing Session Research 2026-09-01\Backtest Reports\Development\topdown-eth__overlap.htm,overlap,M15 (2024.09.01 - 2025.08.31),100.0,34802,2086861,10000.0,10296.96,296.96,2.9696,299.65,-2.69,111.39,95.1,0.95,2.69,0.03,1,1,0,100.0,-2.69,0.0,30.060325341142587,valid,C:\Users\hama101\Desktop\geek\ai trader\AAA EAs\BM Trading Robust Sets 2026-08-04\Dynamic Trailing Session Research 2026-09-01\Backtest Reports\Development\topdown-eth__overlap.htm
weakness-xau__all,weakness-xau,AAA Final XAU Weakness,XAUUSD,M15,all,0,False,Development,2024.09.01,2025.08.31,1,C:\Users\hama101\Desktop\geek\ai trader\AAA EAs\BM Trading Robust Sets 2026-08-04\Dynamic Trailing Session Research 2026-09-01\Backtest Reports\Development\weakness-xau__all.htm,all,M15 (2024.09.01 - 2025.08.31),99.0,23435,1401337,10000.0,10955.95,955.95,9.5595,10094.77,-9138.82,1.1,1549.24,14.39,1392.05,13.09,142,53,89,37.32,-125.0699999999999,-501.0800000000001,-7.856138921174051,valid,C:\Users\hama101\Desktop\geek\ai trader\AAA EAs\BM Trading Robust Sets 2026-08-04\Dynamic Trailing Session Research 2026-09-01\Backtest Reports\Development\weakness-xau__all.htm
weakness-xau__asia,weakness-xau,AAA Final XAU Weakness,XAUUSD,M15,asia,1,False,Development,2024.09.01,2025.08.31,1,C:\Users\hama101\Desktop\geek\ai trader\AAA EAs\BM Trading Robust Sets 2026-08-04\Dynamic Trailing Session Research 2026-09-01\Backtest Reports\Development\weakness-xau__asia.htm,asia,M15 (2024.09.01 - 2025.08.31),99.0,23435,1401337,10000.0,10274.05,274.05,2.7405000000000004,4907.05,-4633.0,1.06,748.39,7.1,622.79,5.97,71,25,46,35.21,-76.37999999999998,-3.09,-5.784886551256144,valid,C:\Users\hama101\Desktop\geek\ai trader\AAA EAs\BM Trading Robust Sets 2026-08-04\Dynamic Trailing Session Research 2026-09-01\Backtest Reports\Development\weakness-xau__asia.htm
weakness-xau__london,weakness-xau,AAA Final XAU Weakness,XAUUSD,M15,london,2,False,Development,2024.09.01,2025.08.31,1,C:\Users\hama101\Desktop\geek\ai trader\AAA EAs\BM Trading Robust Sets 2026-08-04\Dynamic Trailing Session Research 2026-09-01\Backtest Reports\Development\weakness-xau__london.htm,london,M15 (2024.09.01 - 2025.08.31),99.0,23435,1401337,10000.0,9381.22,-618.78,-6.187799999999999,2121.5,-2740.28,0.77,1654.49,15.57,1572.21,14.85,41,12,29,29.27,-29.37,-25.77,-27.218488584806444,valid,C:\Users\hama101\Desktop\geek\ai trader\AAA EAs\BM Trading Robust Sets 2026-08-04\Dynamic Trailing Session Research 2026-09-01\Backtest Reports\Development\weakness-xau__london.htm
