policy,bot,symbol,timeframe,month,opened_at,closed_at,direction,entry,stop_loss,final_rr,exit_price,result,r_multiple,setup_score,atr,spread_r,spread_points,atr_percentile,session_metric,stop_mode,rr_mode,entry_model,balance_before,risk_amount,pnl,balance_after
dynamic_balanced,LTA,AUDUSD,M15,2026-02,2026-02-12 00:15:00,2026-02-12 03:45:00,BUY,0.71295,0.71184,4.0,0.71295,trail_stop,0.4189,90,0.000374,0.0811,9.0,0.1562,,"max(structure,0.80ATR)",balanced,Entry Model 3 - Confirmation of Internal Structure,0.02,0.0,0.0,0.02
dynamic_balanced,ORB,GBPUSD,M15,2026-02,2026-02-12 00:15:00,2026-02-12 04:15:00,BUY,1.36254,1.361227,3.0,1.36254,trail_stop,0.4238,100,0.00105,0.0762,10.0,0.3021,1.9066,"max(structure,1.25ATR)",balanced,ORB 15m breakout,0.02,0.0,0.0,0.02
dynamic_balanced,ORB,NZDUSD,M15,2026-02,2026-02-12 00:15:00,2026-02-12 02:15:00,BUY,0.60479,0.60439,5.0,0.60559,trail_stop,1.05,100,0.0004,0.45,18.0,0.1667,1.2815,"max(structure,0.80ATR)",balanced,ORB 15m breakout,0.02,0.0,0.0,0.03
dynamic_balanced,ORB,USDCAD,M15,2026-02,2026-02-12 00:15:00,2026-02-12 06:15:00,SELL,1.35749,1.35864,3.0,1.35864,loss,-1.1304,100,0.00092,0.1304,15.0,0.5833,1.8858,"max(structure,1.25ATR)",balanced,ORB 15m breakout,0.03,0.0,-0.0,0.02
dynamic_balanced,ORB,USDCHF,M15,2026-02,2026-02-12 00:15:00,2026-02-12 03:45:00,SELL,0.77095,0.771662,3.0,0.77095,trail_stop,0.3175,100,0.00057,0.1825,13.0,0.0521,2.0,"max(structure,1.25ATR)",balanced,ORB 15m breakout,0.02,0.0,0.0,0.02
dynamic_balanced,ORB,GBPUSD,M15,2026-02,2026-02-13 00:15:00,2026-02-13 00:45:00,SELL,1.36166,1.36213,4.0,1.36213,loss,-1.2128,100,0.00047,0.2128,10.0,0.5,1.1171,"max(structure,0.80ATR)",balanced,ORB 15m breakout,0.02,0.0,-0.0,0.02
dynamic_balanced,ORB,NZDUSD,M15,2026-02,2026-02-13 00:15:00,2026-02-13 01:00:00,SELL,0.60301,0.60347,5.0,0.60347,loss,-1.3913,100,0.00046,0.3913,18.0,0.0417,1.3143,"max(structure,0.80ATR)",balanced,ORB 15m breakout,0.02,0.0,-0.0,0.02
dynamic_balanced,ORB,USDCHF,M15,2026-02,2026-02-13 00:30:00,2026-02-13 01:00:00,SELL,0.76931,0.769595,5.0,0.76931,trail_stop,0.0441,100,0.000356,0.4559,13.0,0.0208,0.7856,"max(structure,0.80ATR)",balanced,ORB 15m breakout,0.02,0.0,0.0,0.02
dynamic_balanced,ORB,USDCAD,M15,2026-02,2026-02-13 00:45:00,2026-02-13 05:00:00,BUY,1.36138,1.36068,3.0,1.36138,trail_stop,0.2857,100,0.00056,0.2143,15.0,0.0104,1.4905,"max(structure,1.25ATR)",balanced,ORB 15m breakout,0.02,0.0,0.0,0.02
dynamic_balanced,LTA,AUDUSD,M15,2026-02,2026-02-13 01:00:00,2026-02-13 04:45:00,BUY,0.70906,0.70797,4.0,0.70797,loss,-1.0826,92,0.000456,0.0826,9.0,0.1354,,"max(structure,0.80ATR)",balanced,Entry Model 3 - Confirmation of Internal Structure,0.02,0.0,-0.0,0.02
dynamic_balanced,ORB,GBPUSD,M15,2026-02,2026-02-16 00:15:00,2026-02-16 02:00:00,SELL,1.36442,1.364936,5.0,1.36442,trail_stop,0.3062,100,0.000737,0.1938,10.0,0.3438,0.5562,"max(structure,0.70ATR)",balanced,ORB 15m breakout,0.02,0.0,0.0,0.02
dynamic_balanced,ORB,NZDUSD,M15,2026-02,2026-02-16 00:15:00,2026-02-16 00:45:00,SELL,0.60294,0.603291,5.0,0.603291,loss,-1.5136,100,0.000501,0.5136,18.0,0.5833,0.699,"max(structure,0.70ATR)",balanced,ORB 15m breakout,0.02,0.0,-0.0,0.02
