policy,bot,symbol,timeframe,month,opened_at,closed_at,direction,entry,stop_loss,final_rr,exit_price,result,r_multiple,setup_score,atr,spread_r,spread_points,atr_percentile,session_metric,stop_mode,rr_mode,entry_model,balance_before,risk_amount,pnl,balance_after
dynamic_score,ORB,AUDUSD,M15,2025-08,2025-08-04 23:15:00,2025-08-05 00:15:00,BUY,0.64731,0.64681,5.0,0.64731,trail_stop,0.32,100,0.0004,0.18,9.0,0.1042,1.3659,"max(structure,1.25ATR)",score,ORB 15m breakout,74.07,3.7,1.19,75.25
dynamic_score,ORB,GBPUSD,M15,2025-08,2025-08-04 23:15:00,2025-08-05 00:15:00,BUY,1.32982,1.32911,6.0,1.32911,loss,-1.1408,100,0.00071,0.1408,10.0,0.1146,1.0387,"max(structure,0.80ATR)",score,ORB 15m breakout,75.25,3.76,-4.29,70.96
dynamic_score,ORB,NZDUSD,M15,2025-08,2025-08-04 23:15:00,2025-08-05 00:15:00,BUY,0.59138,0.590893,5.0,0.59138,trail_stop,0.1513,100,0.00039,0.3487,17.0,0.0312,1.4182,"max(structure,1.25ATR)",score,ORB 15m breakout,70.96,3.55,0.54,71.5
dynamic_score,ORB,USDCHF,M15,2025-08,2025-08-04 23:30:00,2025-08-05 00:30:00,SELL,0.80696,0.80746,6.0,0.80746,loss,-1.24,100,0.0005,0.24,12.0,0.5,1.1609,"max(structure,0.80ATR)",score,ORB 15m breakout,71.5,3.57,-4.43,67.06
dynamic_score,LTA,GBPJPY,M15,2025-08,2025-08-05 03:30:00,2025-08-05 05:00:00,SELL,195.445,195.56798,3.0,195.445,trail_stop,0.3211,94,0.119857,0.1789,22.0,0.3021,,"max(structure,0.80ATR)",score,Entry Model 1 - Double Wick Confirmation + Entry Model 3 - Confirmation of Internal Structure,67.06,3.35,1.08,68.14
dynamic_score,ORB,AUDUSD,M15,2025-08,2025-08-05 23:15:00,2025-08-06 00:00:00,BUY,0.64717,0.64689,6.0,0.64717,trail_stop,0.1786,100,0.000299,0.3214,9.0,0.0938,0.9356,"max(structure,0.80ATR)",score,ORB 15m breakout,68.14,3.41,0.61,68.75
dynamic_score,ORB,NZDUSD,M15,2025-08,2025-08-05 23:15:00,2025-08-06 14:30:00,BUY,0.59095,0.589725,4.0,0.592175,trail_stop,0.8612,95,0.00098,0.1388,17.0,0.5417,2.5082,"max(structure,1.25ATR)",score,ORB 15m breakout,68.75,3.44,2.96,71.71
dynamic_score,ORB,USDCAD,M15,2025-08,2025-08-05 23:15:00,2025-08-06 00:15:00,SELL,1.37714,1.377511,6.0,1.37714,trail_stop,0.0951,100,0.000529,0.4049,15.0,0.3542,0.6235,"max(structure,0.70ATR)",score,ORB 15m breakout,71.71,3.59,0.34,72.05
dynamic_score,LTA,USDCAD,M15,2025-08,2025-08-06 01:30:00,2025-08-06 05:30:00,SELL,1.37738,1.37794,3.0,1.37738,trail_stop,0.2321,94,0.000323,0.2679,15.0,0.0104,,"max(structure,0.80ATR)",score,Entry Model 1 - Double Wick Confirmation,72.05,3.6,0.84,72.89
dynamic_score,LTA,USDCAD,M15,2025-08,2025-08-06 06:00:00,2025-08-06 07:00:00,SELL,1.37694,1.37747,6.0,1.37694,trail_stop,0.217,100,0.000276,0.283,15.0,0.0417,,"max(structure,0.80ATR)",score,Entry Model 1 - Double Wick Confirmation + Entry Model 3 - Confirmation of Internal Structure,72.89,3.64,0.79,73.68
dynamic_score,ORB,AUDUSD,M15,2025-08,2025-08-06 23:15:00,2025-08-07 00:15:00,SELL,0.65034,0.65059,6.0,0.65009,trail_stop,0.64,100,0.00025,0.36,9.0,0.0833,1.0057,"max(structure,0.80ATR)",score,ORB 15m breakout,73.68,3.68,2.36,76.04
dynamic_score,ORB,NZDUSD,M15,2025-08,2025-08-06 23:15:00,2025-08-07 00:15:00,SELL,0.5932,0.593389,6.0,0.592442,trail_stop,1.6029,100,0.000271,0.8971,17.0,0.0208,0.628,"max(structure,0.70ATR)",score,ORB 15m breakout,76.04,3.8,6.09,82.13
dynamic_score,ORB,USDCAD,M15,2025-08,2025-08-06 23:15:00,2025-08-07 00:00:00,SELL,1.37388,1.374135,6.0,1.374135,loss,-1.5871,100,0.000365,0.5871,15.0,0.1562,0.6027,"max(structure,0.70ATR)",score,ORB 15m breakout,82.13,4.11,-6.52,75.61
dynamic_score,LTA,AUDUSD,M30,2025-08,2025-08-07 01:30:00,2025-08-07 09:30:00,BUY,0.651,0.64947,6.0,0.65253,trail_stop,0.9412,98,0.000451,0.0588,9.0,0.0729,,"max(structure,0.80ATR)",score,Entry Model 3 - Confirmation of Internal Structure,75.61,3.78,3.56,79.17
dynamic_score,ORB,AUDUSD,M15,2025-08,2025-08-07 23:15:00,2025-08-08 00:00:00,BUY,0.65263,0.652282,6.0,0.652282,loss,-1.259,100,0.000496,0.259,9.0,0.1875,0.6043,"max(structure,0.70ATR)",score,ORB 15m breakout,79.17,3.96,-4.98,74.19
dynamic_score,ORB,GBPUSD,M15,2025-08,2025-08-07 23:15:00,2025-08-08 00:15:00,BUY,1.345,1.344471,6.0,1.344471,loss,-1.189,100,0.000756,0.189,10.0,0.2812,0.5955,"max(structure,0.70ATR)",score,ORB 15m breakout,74.19,3.71,-4.41,69.78
dynamic_score,ORB,NZDUSD,M15,2025-08,2025-08-07 23:15:00,2025-08-08 01:00:00,BUY,0.59655,0.595961,5.0,0.595961,loss,-1.2888,95,0.000589,0.2888,17.0,0.6042,0.4757,"max(structure,1.00ATR)",score,ORB 15m breakout,69.78,3.49,-4.5,65.28
dynamic_score,ORB,USDCAD,M15,2025-08,2025-08-07 23:15:00,2025-08-08 00:00:00,SELL,1.37341,1.373795,6.0,1.373795,loss,-1.3896,100,0.00055,0.3896,15.0,0.375,0.6545,"max(structure,0.70ATR)",score,ORB 15m breakout,65.28,3.26,-4.54,60.74
dynamic_score,LTA,AUDUSD,M30,2025-08,2025-08-08 00:00:00,2025-08-08 07:00:00,SELL,0.65194,0.65284,3.0,0.65284,loss,-1.1,93,0.000611,0.1,9.0,0.5208,,"max(structure,0.80ATR)",score,Entry Model 3 - Confirmation of Internal Structure,60.74,3.04,-3.34,57.4
dynamic_score,LTA,GBPJPY,M15,2025-08,2025-08-08 05:00:00,2025-08-08 06:15:00,BUY,197.754,197.6651,5.0,197.8429,trail_stop,0.7525,97,0.092643,0.2475,22.0,0.0208,,"max(structure,0.80ATR)",score,Entry Model 1 - Double Wick Confirmation,57.4,2.87,2.16,59.56
dynamic_score,ORB,AUDUSD,M15,2025-08,2025-08-10 23:15:00,2025-08-11 00:15:00,SELL,0.65181,0.65215,6.0,0.65181,trail_stop,0.2353,100,0.00034,0.2647,9.0,0.0104,1.2865,"max(structure,0.80ATR)",score,ORB 15m breakout,59.56,2.98,0.7,60.26
dynamic_score,ORB,GBPUSD,M15,2025-08,2025-08-10 23:15:00,2025-08-11 00:00:00,BUY,1.34447,1.343927,6.0,1.343927,loss,-1.2024,100,0.000776,0.2024,11.0,0.5521,0.5409,"max(structure,0.70ATR)",score,ORB 15m breakout,60.26,3.01,-3.62,56.64
dynamic_score,ORB,NZDUSD,M15,2025-08,2025-08-10 23:15:00,2025-08-11 00:15:00,SELL,0.59502,0.59526,6.0,0.59478,trail_stop,0.25,100,0.000343,0.75,18.0,0.0625,0.5542,"max(structure,0.70ATR)",score,ORB 15m breakout,56.64,2.83,0.71,57.35
dynamic_score,ORB,USDCAD,M15,2025-08,2025-08-10 23:15:00,2025-08-11 00:00:00,SELL,1.37507,1.37547,6.0,1.37547,loss,-1.375,100,0.000412,0.375,15.0,0.3125,0.9705,"max(structure,0.80ATR)",score,ORB 15m breakout,57.35,2.87,-3.94,53.41
dynamic_score,ORB,USDCHF,M15,2025-08,2025-08-10 23:15:00,2025-08-11 07:30:00,SELL,0.80763,0.808502,5.0,0.80763,trail_stop,0.351,100,0.000698,0.149,13.0,0.9271,0.5875,"max(structure,1.25ATR)",score,ORB 15m breakout,53.41,2.67,0.94,54.34
dynamic_score,LTA,USDCAD,M15,2025-08,2025-08-11 00:00:00,2025-08-11 01:30:00,BUY,1.37544,1.37496,3.0,1.37544,trail_stop,0.1875,92,0.000366,0.3125,15.0,0.1146,,"max(structure,0.80ATR)",score,Entry Model 1 - Double Wick Confirmation,54.34,2.72,0.51,54.85
dynamic_score,LTA,AUDUSD,M15,2025-08,2025-08-11 03:00:00,2025-08-11 03:15:00,SELL,0.65215,0.65251,5.0,0.65251,loss,-1.25,97,0.000338,0.25,9.0,0.3229,,"max(structure,0.80ATR)",score,Entry Model 3 - Confirmation of Internal Structure,54.85,2.74,-3.43,51.42
dynamic_score,LTA,GBPJPY,M30,2025-08,2025-08-11 03:00:00,2025-08-11 05:00:00,SELL,198.513,198.62444,6.0,198.62444,loss,-1.1974,98,0.129571,0.1974,22.0,0.5,,"max(structure,0.80ATR)",score,Entry Model 1 - Double Wick Confirmation,51.42,2.57,-3.08,48.35
dynamic_score,ORB,AUDUSD,M15,2025-08,2025-08-11 23:15:00,2025-08-12 00:00:00,BUY,0.65145,0.65127,6.0,0.65127,loss,-1.5,100,0.000225,0.5,9.0,0.5,0.8,"max(structure,0.80ATR)",score,ORB 15m breakout,48.35,2.42,-3.63,44.72
dynamic_score,ORB,NZDUSD,M15,2025-08,2025-08-11 23:15:00,2025-08-12 00:15:00,BUY,0.59392,0.59371,6.0,0.59392,trail_stop,-0.3571,100,0.000262,0.8571,18.0,0.0417,0.8011,"max(structure,0.80ATR)",score,ORB 15m breakout,44.72,2.24,-0.8,43.92
dynamic_score,LTA,AUDUSD,M15,2025-08,2025-08-12 01:30:00,2025-08-12 04:30:00,BUY,0.65179,0.65093,6.0,0.65093,loss,-1.1047,98,0.000315,0.1047,9.0,0.3646,,"max(structure,0.80ATR)",score,Entry Model 1 - Double Wick Confirmation + Entry Model 3 - Confirmation of Internal Structure,43.92,2.2,-2.43,41.5
dynamic_score,LTA,USDCAD,M30,2025-08,2025-08-12 03:00:00,2025-08-12 04:30:00,BUY,1.37735,1.377052,3.0,1.37735,trail_stop,-0.0029,94,0.000373,0.5029,15.0,0.0104,,"max(structure,0.80ATR)",score,Entry Model 1 - Double Wick Confirmation,41.5,2.07,-0.01,41.49
