basket,entry_time,exit_time,side,entry_a,entry_b,exit_a,exit_b,lots_a,lots_b,net,return_fraction,R,reason,swap,fees,entry_adaptive_RR,risk_usd,entry_fills,exit_fills
56,1758029400,1758030369,1,3694.424,42.964,3695.037,42.784,0.05,0.09,79.51,0.008009961325315649,0.800996132531565,4,0.0,-4.5600000000000005,0.7918272209242255,99.26389999999999,2,2
57,1758035700,1758036809,-1,3683.823,42.469,3680.409,42.373,0.05,0.09,-30.690000000000005,-0.003067190357688964,-0.3067190357688964,1,0.0,-4.5600000000000005,0.9177854458251976,100.059,2,2
58,1758037500,1758039799,-1,3680.27,42.304,3689.588,42.512,0.05,0.09,42.44999999999999,0.004255549507228418,0.4255549507228419,1,0.0,-4.5600000000000005,1.4796075075984745,99.75209999999998,2,2
59,1758044700,1758072628,-1,3687.13,42.465,3684.862,42.356,0.05,0.09,-42.269999999999996,-0.004219548277741508,-0.42195482777415083,1,0.0,-4.5600000000000005,0.9894984419986744,100.1766,2,2
60,1758073500,1758073807,-1,3677.705,42.124,3676.41,42.033,0.05,0.09,-39.03,-0.003912628979919583,-0.3912628979919583,1,0.0,-4.5600000000000005,1.61351835885026,99.75389999999999,2,2
61,1758075300,1758075757,-1,3681.687,42.079,3679.133,41.989,0.05,0.09,-32.290000000000006,-0.0032496809696911147,-0.3249680969691115,1,0.0,-4.5600000000000005,1.97386873062589,99.3636,2,2
62,1758077100,1758078397,-1,3681.293,41.976,3680.345,41.882,0.05,0.09,-42.12,-0.004252797082411574,-0.4252797082411574,1,0.0,-4.5600000000000005,2.406115244706401,99.0407,2,2
63,1758079800,1758093340,-1,3681.305,41.937,3670.425,41.823,0.04,0.08,-6.100000000000001,-0.0006185389299276513,-0.061853892992765135,1,0.0,-4.02,2.2872556996328193,98.6195,2,2
64,1758104100,1758106284,-1,3665.329,41.4,3661.24,41.228,0.03,0.06,-42.35000000000001,-0.004296940395805538,-0.42969403958055374,1,0.0,-3.02,2.0017034322588048,98.55850000000001,2,2
65,1758169800,1758170356,-1,3658.15,41.444,3655.725,41.341,0.05,0.09,-38.790000000000006,-0.003952718194324146,-0.3952718194324146,1,0.0,-4.5600000000000005,0.9062468780339216,98.135,2,2
66,1758171600,1758175517,-1,3653.463,41.391,3644.014,41.28,0.05,0.09,-7.260000000000005,-0.000742733032488944,-0.0742733032488944,1,0.0,-4.5600000000000005,0.9594929851991588,97.74709999999999,2,2
67,1758181500,1758187538,1,3659.344,41.815,3672.122,41.913,0.05,0.09,15.229999999999997,0.0015592606053780665,0.15592606053780664,1,0.0,-4.5600000000000005,0.964378306627381,97.67450000000001,2,2
68,1758204900,1758215587,1,3641.006,41.719,3645.499,41.828,0.05,0.09,-31.14,-0.0031831767981780044,-0.3183176798178004,1,0.0,-4.5600000000000005,1.2771708946665028,97.8268,2,2
69,1758249900,1758250101,1,3646.538,42.084,3649.47,42.17,0.05,0.09,-28.600000000000005,-0.0029328700902626664,-0.29328700902626664,1,0.0,-4.5600000000000005,1.430437080152925,97.51540000000001,2,2
70,1758250800,1758252529,1,3647.405,42.032,3654.254,42.134,0.05,0.09,-16.22,-0.0016682196948659559,-0.1668219694865956,1,0.0,-4.5600000000000005,1.2031216965956992,97.2294,2,2
71,1758253500,1758254765,1,3655.751,42.245,3657.821,42.349,0.05,0.09,-41.01,-0.004224908104900523,-0.4224908104900522,1,0.0,-4.5600000000000005,1.6928781765129557,97.0672,2,2
72,1758256200,1758262657,1,3659.485,42.316,3650.45,42.174,0.05,0.09,14.159999999999997,0.0014649725679748303,0.14649725679748304,1,0.0,-4.5600000000000005,1.68828780542115,96.65709999999999,2,2
73,1758294000,1758294202,1,3667.422,42.624,3668.836,42.715,0.05,0.09,-38.440000000000005,-0.003971127711425877,-0.39711277114258764,1,0.0,-4.5600000000000005,1.6101581020524383,96.79870000000001,2,2
74,1758294900,1758303918,1,3671.576,42.733,3674.832,42.843,0.05,0.09,-37.78,-0.003918505864793915,-0.3918505864793916,1,0.0,-4.5600000000000005,1.9105085188857476,96.4143,2,2
75,1758304800,1758307325,1,3678.625,42.919,3682.176,43.008,0.05,0.09,-26.86,-0.0027968532797425978,-0.2796853279742598,1,0.0,-4.5600000000000005,1.8226690721197636,96.03649999999999,2,2
76,1758308400,1758492308,1,3683.917,43.03,3688.053,43.144,0.05,0.09,-35.18,-0.00367346469954964,-0.367346469954964,1,0.0,-4.5600000000000005,1.9061407194841276,95.76790000000001,2,2
77,1758593700,1758603249,-1,3744.195,43.731,3745.548,43.959,0.05,0.09,91.28,0.009566519696361514,0.9566519696361515,4,0.0,-4.5600000000000005,0.9847508943464875,95.4161,2,2
78,1758607200,1758611140,-1,3753.308,43.807,3750.692,43.715,0.05,0.09,-32.88,-0.0034133058718619235,-0.34133058718619236,1,0.0,-4.5600000000000005,1.0595753749637324,96.32889999999999,2,2
79,1758676500,1758676885,-1,3763.719,43.913,3760.996,43.813,0.05,0.09,-35.940000000000005,-0.0037437461002644795,-0.37437461002644795,1,0.0,-4.5600000000000005,0.7082376193866129,96.0001,2,2
80,1758679200,1758680131,-1,3756.76,43.802,3753.28,43.71,0.05,0.09,-28.560000000000002,-0.0029861763872493616,-0.2986176387249362,1,0.0,-4.5600000000000005,0.7742359852887784,95.6407,2,2
