entry_time_utc,exit_time_utc,direction,entry,stop,initial_target,exit,exit_reason,lot,pnl,balance
2025-06-30 17:57:00+00:00,2025-06-30 18:06:00+00:00,long,6184.550908674252,6166.814506697775,6193.419109662491,6192.939400127799,target,1.72,12.708205300100015,3065.1692737889
2025-06-30 19:21:00+00:00,2025-06-30 19:55:00+00:00,short,6204.557086946474,6228.348301847467,6192.661479495977,6214.52,time,1.28,-14.032528708514292,3051.136745080386
2025-07-01 17:53:00+00:00,2025-07-01 19:01:00+00:00,short,6216.1037285127395,6253.014167348408,6197.648509094905,6199.159586599272,target,0.8200000000000001,13.074196369043204,3064.2109414494294
2025-07-02 14:06:00+00:00,2025-07-02 15:35:00+00:00,short,6207.143722523693,6221.244886888369,6200.093140341355,6221.494886888369,stop,2.17,-33.31202667134725,3030.898914778082
2025-07-04 14:30:00+00:00,2025-07-04 15:17:00+00:00,short,6247.56106503317,6259.8606072182365,6241.411293940637,6242.9658619317615,target,2.46,8.844199629464946,3039.743114407547
2025-07-07 14:53:00+00:00,2025-07-07 16:20:00+00:00,long,6248.002658341609,6226.340466081456,6258.833754471686,6226.090466081456,stop,1.4000000000000001,-32.07706916421485,3007.6660452433325
2025-07-08 14:06:00+00:00,2025-07-08 14:32:00+00:00,long,6227.391861822913,6209.157293730628,6236.509145869055,6233.164395240247,target,1.6400000000000001,7.82695480442886,3015.4930000477616
2025-07-08 16:26:00+00:00,2025-07-08 16:35:00+00:00,short,6246.752134551132,6274.550894655276,6232.85275449906,6233.501082046522,target,1.08,13.231136704978818,3028.7241367527404
2025-07-09 14:31:00+00:00,2025-07-09 17:18:00+00:00,long,6254.023532121492,6226.092620005139,6267.988988179669,6253.202943757479,target,1.08,-1.9662354331340612,3026.7579013196064
2025-07-10 14:40:00+00:00,2025-07-10 17:30:00+00:00,short,6272.57989084179,6290.644055126443,6263.5478086994635,6290.894055126443,stop,1.67,-32.254654355370654,2994.5032469642356
2025-07-16 15:17:00+00:00,2025-07-16 15:37:00+00:00,long,6235.146005230344,6205.342881908259,6250.047566891386,6205.092881908259,stop,1.0,-31.053123322084502,2963.450123642151
2025-07-18 14:14:00+00:00,2025-07-18 15:33:00+00:00,long,6303.00611489703,6290.897034972381,6309.060654859354,6302.676357556644,target,2.44,-3.244607910542072,2960.205515731609
2025-07-23 15:54:00+00:00,2025-07-23 19:55:00+00:00,short,6340.590313480767,6363.293420448897,6329.238759996701,6360.200000000001,time,1.3,-26.79259247500413,2933.4129232566047
2025-07-24 15:00:00+00:00,2025-07-24 16:14:00+00:00,short,6381.916167937272,6402.921129539998,6371.413687135909,6373.293348249801,target,1.3900000000000001,10.595719365584465,2944.008642622189
2025-07-25 14:34:00+00:00,2025-07-25 16:23:00+00:00,short,6378.955746757162,6387.4650811694855,6374.7010795510005,6387.7150811694855,stop,3.45,-33.66970372251563,2910.3389388996734
2025-07-28 14:06:00+00:00,2025-07-28 14:21:00+00:00,short,6401.52211063146,6410.0074882580175,6397.279421818182,6398.0320508658015,target,3.42,8.516004398552996,2918.8549432982263
2025-07-28 15:19:00+00:00,2025-07-28 15:50:00+00:00,long,6392.333063832984,6380.797634054477,6398.100778722238,6396.921964907048,target,2.5300000000000002,9.079919717381593,2927.934863015608
2025-07-28 17:18:00+00:00,2025-07-28 19:55:00+00:00,long,6386.714251232791,6367.434460912088,6396.354146393142,6392.694008547687,target,1.51,7.519433545493312,2935.4542965611013
2025-07-29 14:53:00+00:00,2025-07-29 15:42:00+00:00,long,6392.211077967456,6371.184217795245,6402.724508053561,6370.934217795245,stop,1.3900000000000001,-30.964835639373216,2904.489460921728
2025-07-30 14:21:00+00:00,2025-07-30 15:04:00+00:00,short,6386.790180085092,6396.960518401927,6381.705010926675,6384.231677818136,target,2.85,4.4417314608262135,2908.9311923825544
2025-07-30 18:34:00+00:00,2025-07-30 18:40:00+00:00,short,6399.845936656014,6428.973730111936,6385.282039928053,6386.089818865088,target,0.99,12.628556613016343,2921.5597489955708
2025-07-30 18:55:00+00:00,2025-07-30 19:55:00+00:00,long,6368.00842255766,6333.469299027735,6385.277984322623,6361.12,time,0.84,-6.626274948434657,2914.9334740471363
2025-07-31 14:52:00+00:00,2025-07-31 16:16:00+00:00,long,6396.716344946427,6365.637438767521,6412.25579803588,6403.209585988103,target,0.93,5.108714168758588,2920.042188215895
2025-08-06 14:04:00+00:00,2025-08-06 14:17:00+00:00,short,6323.522264630224,6345.141140897741,6312.712826496465,6314.652442986055,target,1.35,10.624259219628085,2930.666447435523
2025-08-06 15:28:00+00:00,2025-08-06 19:55:00+00:00,short,6342.735046927889,6393.287010931265,6317.459064926201,6348.780000000001,time,0.5700000000000001,-4.0156232511036345,2926.6508241844194
2025-08-07 14:10:00+00:00,2025-08-07 14:55:00+00:00,long,6371.4601701123665,6347.608109699611,6383.386200318744,6347.358109699611,stop,1.22,-30.624513703561387,2896.0263104808582
2025-08-11 14:02:00+00:00,2025-08-11 14:25:00+00:00,short,6399.749335522984,6409.408095508304,6394.919955530325,6395.793478697262,target,2.99,8.838011908910422,2904.864322389769
2025-08-11 14:47:00+00:00,2025-08-11 15:20:00+00:00,long,6389.417008184014,6377.194360986151,6395.528331782945,6394.287530953161,target,2.37,9.173138962878628,2914.0374613526474
2025-08-11 16:07:00+00:00,2025-08-11 16:59:00+00:00,short,6403.237814197435,6421.240543398973,6394.236449596666,6395.785482419498,target,1.61,10.388254162478098,2924.4257155151254
2025-08-18 14:24:00+00:00,2025-08-18 14:29:00+00:00,short,6458.282722465886,6471.828176274711,6451.509995561473,6451.886331921175,target,2.15,11.602239671128244,2936.0279551862536
2025-08-18 14:47:00+00:00,2025-08-18 14:52:00+00:00,long,6444.256657539284,6429.19601314766,6451.786979735096,6451.416728135753,target,1.94,11.95053695715038,2947.978492143404
2025-08-19 14:04:00+00:00,2025-08-19 14:28:00+00:00,short,6456.879539640491,6476.9400695021795,6446.849274709647,6450.446959477545,target,1.46,7.931567037902005,2955.9100591813058
2025-08-19 15:00:00+00:00,2025-08-19 19:55:00+00:00,long,6429.815535980331,6392.10565192405,6448.670478008472,6410.24,time,0.78,-16.04891806465861,2939.861141116647
2025-08-21 14:04:00+00:00,2025-08-21 14:41:00+00:00,short,6387.62510586061,6412.940716533902,6374.967300523965,6380.313215741455,target,1.16,7.321792538220469,2947.1829336548676
2025-08-25 15:11:00+00:00,2025-08-25 17:40:00+00:00,short,6464.791462144765,6477.332915718594,6458.520735357851,6460.909545551434,target,2.34,6.743684828394471,2953.9266184832622
2025-08-26 16:21:00+00:00,2025-08-26 17:54:00+00:00,short,6453.746584184653,6472.88061662224,6444.17956796586,6445.157150245801,target,1.54,11.687728265832668,2965.6143467490947
2025-08-26 18:59:00+00:00,2025-08-26 19:55:00+00:00,short,6458.696664555248,6484.537646077238,6445.776173794254,6471.490000000001,time,1.1400000000000001,-15.724402407017626,2949.889944342077
2025-08-27 14:15:00+00:00,2025-08-27 16:27:00+00:00,short,6477.755754712943,6493.069238106428,6470.0990130162,6474.738987834029,target,1.92,3.8721924075140848,2953.762136749591
2025-09-02 14:01:00+00:00,2025-09-02 14:43:00+00:00,short,6417.1868138326945,6470.732619234664,6390.41391113171,6399.4149747493875,target,0.55,9.224511495818842,2962.9866482454095
2025-09-03 14:13:00+00:00,2025-09-03 14:18:00+00:00,long,6436.53259245476,6420.751885609958,6444.422945877161,6443.69049187168,target,1.87,11.515271909641097,2974.5019201550504
2025-09-03 14:43:00+00:00,2025-09-03 15:27:00+00:00,short,6455.053144602907,6476.448049898918,6444.355691954902,6446.514854614674,target,1.3900000000000001,10.478223083644389,2984.980143238695
2025-09-03 17:45:00+00:00,2025-09-03 19:44:00+00:00,long,6427.773049423316,6394.16122597165,6444.578961149148,6440.165485399227,target,0.88,10.025343658801866,2995.0054868974967
2025-09-04 14:04:00+00:00,2025-09-04 14:23:00+00:00,long,6459.40436925929,6446.249666296068,6465.981720740901,6463.4212524834975,target,2.27,6.848324918950002,3001.8538118164465
2025-09-04 19:14:00+00:00,2025-09-04 19:55:00+00:00,short,6500.030274107949,6557.5933708401535,6471.248725741846,6506.490000000001,time,0.52,-3.8790574638671025,2997.9747543525796
2025-09-05 14:01:00+00:00,2025-09-05 14:18:00+00:00,long,6520.581520650601,6498.849556840309,6531.447502555748,6498.599556840309,stop,1.37,-31.48529042010094,2966.4894639324784
2025-09-08 14:19:00+00:00,2025-09-08 14:27:00+00:00,long,6495.634126394012,6483.393397451404,6501.754490865316,6501.166192817576,target,2.42,10.967600745025301,2977.4570646775037
2025-09-08 14:39:00+00:00,2025-09-08 15:46:00+00:00,short,6509.941158192052,6526.562079210227,6501.630697682965,6504.493551474897,target,1.79,7.961216023708157,2985.4182807012116
2025-09-09 14:11:00+00:00,2025-09-09 14:17:00+00:00,short,6513.061499073172,6525.463709326072,6506.860393946722,6507.344381270903,target,2.4,11.32108272544574,2996.7393634266573
2025-09-09 14:32:00+00:00,2025-09-09 15:26:00+00:00,long,6499.90284814666,6485.628212374643,6507.040166032669,6503.52528830556,target,2.09,5.480899932100447,3002.2202633587576
2025-09-10 14:05:00+00:00,2025-09-10 14:37:00+00:00,short,6558.173430417158,6575.006599282277,6549.756845984598,6552.587642257957,target,1.78,8.162702923377784,3010.3829662821354
2025-09-12 14:07:00+00:00,2025-09-12 14:13:00+00:00,short,6595.585405356958,6605.683606438755,6590.53630481606,6590.896253687316,target,2.98,10.993671975534179,3021.3766382576696
2025-09-12 14:55:00+00:00,2025-09-12 15:28:00+00:00,short,6597.388604735575,6609.463422977951,6591.3511956143875,6591.9367368634885,target,2.5,11.129669680217376,3032.506307937887
2025-09-12 18:33:00+00:00,2025-09-12 19:32:00+00:00,short,6602.379757699835,6621.262778281191,6592.938247409157,6595.026560947727,target,1.6,10.165114803372127,3042.671422741259
2025-09-17 18:00:00+00:00,2025-09-17 18:10:00+00:00,short,6626.5389069206785,6662.031966428517,6608.792377166759,6613.578843160676,target,0.85,10.166054196002051,3052.8374769372613
2025-09-17 18:15:00+00:00,2025-09-17 18:22:00+00:00,long,6588.3539383334355,6538.234598334893,6613.413608332707,6610.003469419074,target,0.6,12.389718651382827,3065.227195588644
2025-09-17 18:42:00+00:00,2025-09-17 19:00:00+00:00,long,6577.010082932335,6516.095121485523,6607.46756365574,6599.318361795962,target,0.5,10.654139431813746,3075.8813350204578
