timeframe_minutes,pivot_bars,minimum_leg_atr,structure_mode,reaction_mode,poc_tolerance_atr,expiry_bars,stop_mode,stop_buffer_atr,reward_risk,maximum_hold_hours,management,train_trades,train_wins,train_losses,train_win_rate_pct,train_profit_factor,train_net_r,train_mean_r,train_return_pct,train_max_drawdown_pct,train_final_balance,validation_trades,validation_wins,validation_losses,validation_win_rate_pct,validation_profit_factor,validation_net_r,validation_mean_r,validation_return_pct,validation_max_drawdown_pct,validation_final_balance,robust_score
60,3,3.5,1,2,0.05,12,0,0.25,3.0,6,0,129,45,84,34.883720930232556,0.5646306958712345,-16.308061928448907,-0.1264190847166582,-15.232170605710216,19.959078353209573,8476.782939428978,58,20,38,34.48275862068966,0.6283799945895431,-5.980403492098305,-0.10311040503617767,-5.917908754465295,9.422699085110658,9408.20912455347,-12.302438036725352
60,3,3.5,1,2,0.05,12,0,0.25,2.0,6,1,129,45,84,34.883720930232556,0.5645440570568291,-16.31130724486725,-0.12644424220827327,-15.234869056647227,19.961626330450024,8476.513094335278,58,20,38,34.48275862068966,0.5662403737593658,-6.980403492098305,-0.12035178434652251,-6.831496903914413,9.422699085110658,9316.850309608559,-12.305279942150097
60,3,3.5,1,2,0.05,12,0,0.25,2.0,6,0,129,45,84,34.883720930232556,0.5645440570568291,-16.31130724486725,-0.12644424220827327,-15.234869056647227,19.961626330450024,8476.513094335278,58,20,38,34.48275862068966,0.5662403737593658,-6.980403492098305,-0.12035178434652251,-6.831496903914413,9.422699085110658,9316.850309608559,-12.305279942150097
60,2,3.5,1,2,0.15,12,0,0.1,1.0,6,0,128,46,82,35.9375,0.5371129416586943,-16.32873959381845,-0.12756827807670665,-15.220333211751203,17.699131534856996,8477.96667882488,45,14,31,31.11111111111111,0.6597566368155934,-4.634781454845261,-0.10299514344100581,-4.614514775036261,8.686296078106695,9538.548522496374,-12.361685676795785
60,2,3.5,1,2,0.15,12,0,0.1,1.0,6,1,128,46,82,35.9375,0.5371129416586943,-16.32873959381845,-0.12756827807670665,-15.220333211751203,17.699131534856996,8477.96667882488,45,14,31,31.11111111111111,0.6597566368155934,-4.634781454845261,-0.10299514344100581,-4.614514775036261,8.686296078106695,9538.548522496374,-12.361685676795785
60,2,3.5,1,2,0.15,12,0,0.0,3.0,6,1,128,45,83,35.15625,0.5617527880107647,-16.447635742122564,-0.12849715423533253,-15.36953297771606,18.931476336149572,8463.046702228394,45,14,31,31.11111111111111,1.0739601573238213,1.0260146669919952,0.02280032593315545,0.8229459484385471,6.922246406332837,10082.294594843854,-12.479234288031789
60,2,3.5,1,2,0.15,12,0,0.0,2.5,6,1,128,45,83,35.15625,0.5617527880107647,-16.447635742122564,-0.12849715423533253,-15.36953297771606,18.931476336149572,8463.046702228394,45,14,31,31.11111111111111,0.965832818061724,-0.47398533300800433,-0.010533007400177874,-0.6388010371822017,7.37437090782752,9936.11989628178,-12.479234288031789
60,2,3.5,1,2,0.05,12,0,0.25,1.0,6,0,117,40,77,34.18803418803419,0.5346471538833738,-15.160545624590153,-0.12957731303068507,-14.212956883676053,16.678507674484546,8578.704311632395,44,13,31,29.545454545454547,0.6209562810086019,-4.842250893463288,-0.11005115666962019,-4.802767199068514,8.013291447601977,9519.723280093149,-12.508481206793798
60,2,3.5,1,2,0.05,12,0,0.25,1.0,6,1,117,40,77,34.18803418803419,0.5346471538833738,-15.160545624590153,-0.12957731303068507,-14.212956883676053,16.678507674484546,8578.704311632395,44,13,31,29.545454545454547,0.6209562810086019,-4.842250893463288,-0.11005115666962019,-4.802767199068514,8.013291447601977,9519.723280093149,-12.508481206793798
60,2,3.5,1,2,0.15,12,0,0.1,3.0,72,0,104,36,68,34.61538461538461,0.7758256773922899,-13.813168715219913,-0.13281892995403763,-13.619936828402423,20.874886210120305,8638.006317159758,36,15,21,41.666666666666664,1.3237888565221543,6.562062969293493,0.18227952692481925,6.333416922443846,7.356727710800103,10633.341692244385,-12.621643021961978
60,3,3.5,1,2,0.05,12,0,0.0,3.0,72,0,107,38,69,35.51401869158879,0.7790838075136578,-14.308760717186804,-0.13372673567464302,-14.124148425350958,20.048919103976175,8587.585157464904,43,15,28,34.883720930232556,1.24193167785929,5.697088983956866,0.132490441487369,5.371780907962065,8.978955747709067,10537.178090796207,-12.63902213528373
