date,event,source,prior_business_day,prior_day_had_auction
2024-12-05,Initial Jobless Claims,https://oui.doleta.gov/unemploy/claims_arch.asp,2024-12-04,False
2024-12-12,Initial Jobless Claims,https://oui.doleta.gov/unemploy/claims_arch.asp,2024-12-11,True
2024-12-19,Initial Jobless Claims,https://oui.doleta.gov/unemploy/claims_arch.asp,2024-12-18,False
2024-12-26,Initial Jobless Claims,https://oui.doleta.gov/unemploy/claims_arch.asp,2024-12-25,False
2025-01-02,Initial Jobless Claims,https://oui.doleta.gov/unemploy/claims_arch.asp,2025-01-01,False
2025-01-09,Initial Jobless Claims,https://oui.doleta.gov/unemploy/claims_arch.asp,2025-01-08,True
2025-01-16,Initial Jobless Claims,https://oui.doleta.gov/unemploy/claims_arch.asp,2025-01-15,False
2025-01-23,Initial Jobless Claims,https://oui.doleta.gov/unemploy/claims_arch.asp,2025-01-22,True
2025-01-30,Gross Domestic Product,https://www.bea.gov/news/schedule/full-2025,2025-01-29,False
2025-01-30,Initial Jobless Claims,https://oui.doleta.gov/unemploy/claims_arch.asp,2025-01-29,False
2025-02-06,Initial Jobless Claims,https://oui.doleta.gov/unemploy/claims_arch.asp,2025-02-05,False
2025-02-13,Initial Jobless Claims,https://oui.doleta.gov/unemploy/claims_arch.asp,2025-02-12,True
2025-02-20,Initial Jobless Claims,https://oui.doleta.gov/unemploy/claims_arch.asp,2025-02-19,True
2025-02-27,Gross Domestic Product,https://www.bea.gov/news/schedule/full-2025,2025-02-26,True
2025-02-27,Initial Jobless Claims,https://oui.doleta.gov/unemploy/claims_arch.asp,2025-02-26,True
2025-03-06,Initial Jobless Claims,https://oui.doleta.gov/unemploy/claims_arch.asp,2025-03-05,False
2025-03-13,Initial Jobless Claims,https://oui.doleta.gov/unemploy/claims_arch.asp,2025-03-12,True
2025-03-20,Initial Jobless Claims,https://oui.doleta.gov/unemploy/claims_arch.asp,2025-03-19,False
2025-03-27,Gross Domestic Product,https://www.bea.gov/news/schedule/full-2025,2025-03-26,True
2025-03-27,Initial Jobless Claims,https://oui.doleta.gov/unemploy/claims_arch.asp,2025-03-26,True
2025-04-03,Initial Jobless Claims,https://oui.doleta.gov/unemploy/claims_arch.asp,2025-04-02,False
2025-04-10,Initial Jobless Claims,https://oui.doleta.gov/unemploy/claims_arch.asp,2025-04-09,True
2025-04-17,Initial Jobless Claims,https://oui.doleta.gov/unemploy/claims_arch.asp,2025-04-16,True
2025-04-24,Initial Jobless Claims,https://oui.doleta.gov/unemploy/claims_arch.asp,2025-04-23,True
2025-04-30,Gross Domestic Product,https://www.bea.gov/news/schedule/full-2025,2025-04-29,False
2025-05-01,Initial Jobless Claims,https://oui.doleta.gov/unemploy/claims_arch.asp,2025-04-30,False
2025-05-08,Initial Jobless Claims,https://oui.doleta.gov/unemploy/claims_arch.asp,2025-05-07,False
2025-05-15,Initial Jobless Claims,https://oui.doleta.gov/unemploy/claims_arch.asp,2025-05-14,False
2025-05-22,Initial Jobless Claims,https://oui.doleta.gov/unemploy/claims_arch.asp,2025-05-21,True
2025-05-29,Gross Domestic Product,https://www.bea.gov/news/schedule/full-2025,2025-05-28,True
2025-05-29,Initial Jobless Claims,https://oui.doleta.gov/unemploy/claims_arch.asp,2025-05-28,True
2025-06-05,Initial Jobless Claims,https://oui.doleta.gov/unemploy/claims_arch.asp,2025-06-04,False
2025-06-12,Initial Jobless Claims,https://oui.doleta.gov/unemploy/claims_arch.asp,2025-06-11,True
2025-06-18,Initial Jobless Claims,https://oui.doleta.gov/unemploy/claims_arch.asp,2025-06-17,True
2025-06-26,Gross Domestic Product,https://www.bea.gov/news/schedule/full-2025,2025-06-25,True
2025-06-26,Initial Jobless Claims,https://oui.doleta.gov/unemploy/claims_arch.asp,2025-06-25,True
2025-07-03,Initial Jobless Claims,https://oui.doleta.gov/unemploy/claims_arch.asp,2025-07-02,False
2025-07-10,Initial Jobless Claims,https://oui.doleta.gov/unemploy/claims_arch.asp,2025-07-09,True
2025-07-17,Initial Jobless Claims,https://oui.doleta.gov/unemploy/claims_arch.asp,2025-07-16,False
2025-07-24,Initial Jobless Claims,https://oui.doleta.gov/unemploy/claims_arch.asp,2025-07-23,True
2025-07-30,Gross Domestic Product,https://www.bea.gov/news/schedule/full-2025,2025-07-29,True
2025-07-31,Initial Jobless Claims,https://oui.doleta.gov/unemploy/claims_arch.asp,2025-07-30,False
2025-08-07,Initial Jobless Claims,https://oui.doleta.gov/unemploy/claims_arch.asp,2025-08-06,True
2025-08-14,Initial Jobless Claims,https://oui.doleta.gov/unemploy/claims_arch.asp,2025-08-13,False
2025-08-21,Initial Jobless Claims,https://oui.doleta.gov/unemploy/claims_arch.asp,2025-08-20,True
2025-08-28,Gross Domestic Product,https://www.bea.gov/news/schedule/full-2025,2025-08-27,True
2025-08-28,Initial Jobless Claims,https://oui.doleta.gov/unemploy/claims_arch.asp,2025-08-27,True
2025-09-04,Initial Jobless Claims,https://oui.doleta.gov/unemploy/claims_arch.asp,2025-09-03,False
2025-09-11,Initial Jobless Claims,https://oui.doleta.gov/unemploy/claims_arch.asp,2025-09-10,True
2025-09-18,Initial Jobless Claims,https://oui.doleta.gov/unemploy/claims_arch.asp,2025-09-17,False
