bot,symbol,opened_at,closed_at,r_multiple,source,opened_dt,closed_dt,balance_before,risk_amount,pnl,balance_after
NewsPulse,BTCUSD,2026-06-07 14:00:00,2026-06-07 14:17:00,-1.118,strategy_suite,2026-06-07 14:00:00+00:00,2026-06-07 14:17:00+00:00,107.34,5.37,-6.0,101.34
Grid,AUDUSD,2026-06-08 05:45:00,2026-06-08 07:00:00,1.0859,strategy_suite,2026-06-08 05:45:00+00:00,2026-06-08 07:00:00+00:00,101.34,5.07,5.5,106.84
NewsPulse,BTCUSD,2026-06-08 12:30:00,2026-06-08 12:30:00,-1.0878,strategy_suite,2026-06-08 12:30:00+00:00,2026-06-08 12:30:00+00:00,106.84,5.34,-5.81,101.03
NewsPulse,US30,2026-06-08 12:30:00,2026-06-08 12:47:00,-1.0662,strategy_suite,2026-06-08 12:30:00+00:00,2026-06-08 12:47:00+00:00,101.03,5.05,-5.39,95.64
NewsPulse,XAGUSD,2026-06-08 12:30:00,2026-06-08 12:49:00,0.3571,strategy_suite,2026-06-08 12:30:00+00:00,2026-06-08 12:49:00+00:00,95.64,4.78,1.71,97.35
NewsPulse,US30,2026-06-08 14:00:00,2026-06-08 14:01:00,-1.0415,strategy_suite,2026-06-08 14:00:00+00:00,2026-06-08 14:01:00+00:00,97.35,4.87,-5.07,92.28
NewsPulse,BTCUSD,2026-06-08 18:00:00,2026-06-08 18:08:00,-1.1514,strategy_suite,2026-06-08 18:00:00+00:00,2026-06-08 18:08:00+00:00,92.28,4.61,-5.31,86.97
NewsPulse,US30,2026-06-08 18:00:00,2026-06-08 18:05:00,1.38,strategy_suite,2026-06-08 18:00:00+00:00,2026-06-08 18:05:00+00:00,86.97,4.35,6.0,92.97
Grid,AUDUSD,2026-06-09 06:00:00,2026-06-09 06:00:00,1.2754,strategy_suite,2026-06-09 06:00:00+00:00,2026-06-09 06:00:00+00:00,92.97,4.65,5.93,98.9
NewsPulse,BTCUSD,2026-06-09 12:30:00,2026-06-09 12:59:00,0.4041,strategy_suite,2026-06-09 12:30:00+00:00,2026-06-09 12:59:00+00:00,98.9,4.94,2.0,100.9
