symbol,range_minutes,rr,month,date,opened_at,closed_at,direction,entry,stop_loss,take_profit,exit_price,result,r_multiple,spread_r,spread_points,pnl,range_high,range_low,range_atr,risk_per_lot,lot_min,lot_max,lot_step
XAUUSD,30,1.1111111111111112,2026-03,2026-03-31,2026-03-31 07:45:00,2026-03-31 07:45:00,BUY,4563.885,4560.285,4567.885,4560.285,loss,-1.0778,0.0778,280.0,-360.0,4563.885,4543.2,1.6517,360.0,0.01,200.0,0.01
XAUUSD,30,1.1111111111111112,2026-04,2026-04-01,2026-04-01 07:30:00,2026-04-01 07:30:00,BUY,4732.731,4729.131,4736.731,4729.131,loss,-1.0778,0.0778,280.0,-360.0,4732.731,4713.076,1.593,360.0,0.01,200.0,0.01
XAUUSD,30,1.1111111111111112,2026-04,2026-04-02,2026-04-02 07:30:00,2026-04-02 07:30:00,BUY,4627.327,4623.727,4631.327,4623.727,loss,-1.0778,0.0778,280.0,-360.0,4627.327,4597.034,1.392,360.0,0.01,200.0,0.01
XAUUSD,30,1.1111111111111112,2026-04,2026-04-07,2026-04-07 07:30:00,2026-04-07 07:30:00,SELL,4638.676,4642.276,4634.676,4642.276,loss,-1.0778,0.0778,280.0,-360.0,4657.123,4638.676,1.6798,360.0,0.01,200.0,0.01
XAUUSD,30,1.1111111111111112,2026-04,2026-04-08,2026-04-08 07:30:00,2026-04-08 07:30:00,SELL,4808.974,4812.574,4804.974,4812.574,loss,-1.0778,0.0778,280.0,-360.0,4821.138,4808.974,1.0482,360.0,0.01,200.0,0.01
XAUUSD,30,1.1111111111111112,2026-04,2026-04-09,2026-04-09 07:30:00,2026-04-09 07:30:00,BUY,4730.359,4726.759,4734.359,4726.759,loss,-1.0778,0.0778,280.0,-360.0,4730.359,4705.732,2.3506,360.0,0.01,200.0,0.01
XAUUSD,30,1.1111111111111112,2026-04,2026-04-14,2026-04-14 10:30:00,2026-04-14 10:30:00,SELL,4767.967,4771.567,4763.967,4771.567,loss,-1.0778,0.0778,280.0,-360.0,4796.392,4767.967,4.0667,360.0,0.01,200.0,0.01
XAUUSD,30,1.1111111111111112,2026-04,2026-04-15,2026-04-15 08:45:00,2026-04-15 08:45:00,BUY,4817.015,4813.415,4821.015,4813.415,loss,-1.0778,0.0778,280.0,-360.0,4817.015,4803.857,1.8736,360.0,0.01,200.0,0.01
XAUUSD,30,1.1111111111111112,2026-04,2026-04-16,2026-04-16 08:00:00,2026-04-16 08:00:00,SELL,4817.112,4820.712,4813.112,4820.712,loss,-1.0778,0.0778,280.0,-360.0,4830.909,4817.112,2.0452,360.0,0.01,200.0,0.01
XAUUSD,30,1.1111111111111112,2026-04,2026-04-21,2026-04-21 07:45:00,2026-04-21 07:45:00,BUY,4787.406,4783.806,4791.406,4791.406,win,1.0333,0.0778,280.0,400.0,4787.406,4772.668,1.923,360.0,0.01,200.0,0.01
XAUUSD,30,1.1111111111111112,2026-04,2026-04-22,2026-04-22 07:30:00,2026-04-22 07:30:00,SELL,4762.537,4766.137,4758.537,4766.137,loss,-1.0778,0.0778,280.0,-360.0,4772.356,4762.537,1.5518,360.0,0.01,200.0,0.01
XAUUSD,30,1.1111111111111112,2026-04,2026-04-23,2026-04-23 07:45:00,2026-04-23 07:45:00,BUY,4716.324,4712.724,4720.324,4720.324,win,1.0333,0.0778,280.0,400.0,4716.324,4703.137,1.8168,360.0,0.01,200.0,0.01
XAUUSD,30,1.1111111111111112,2026-04,2026-04-28,2026-04-28 07:30:00,2026-04-28 07:30:00,SELL,4627.16,4630.76,4623.16,4630.76,loss,-1.0778,0.0778,280.0,-360.0,4639.348,4627.16,1.1677,360.0,0.01,200.0,0.01
XAUUSD,30,1.1111111111111112,2026-04,2026-04-29,2026-04-29 07:30:00,2026-04-29 07:30:00,SELL,4569.506,4573.106,4565.506,4573.106,loss,-1.0778,0.0778,280.0,-360.0,4588.639,4569.506,2.8161,360.0,0.01,200.0,0.01
XAUUSD,30,1.1111111111111112,2026-04,2026-04-30,2026-04-30 07:30:00,2026-04-30 07:30:00,BUY,4595.799,4592.199,4599.799,4592.199,loss,-1.0778,0.0778,280.0,-360.0,4595.799,4584.665,1.2616,360.0,0.01,200.0,0.01
XAUUSD,30,1.1111111111111112,2026-05,2026-05-05,2026-05-05 07:30:00,2026-05-05 07:30:00,BUY,4555.621,4552.021,4559.621,4552.021,loss,-1.0778,0.0778,280.0,-360.0,4555.621,4547.495,1.0822,360.0,0.01,200.0,0.01
XAUUSD,30,1.1111111111111112,2026-05,2026-05-06,2026-05-06 07:30:00,2026-05-06 07:30:00,BUY,4670.215,4666.615,4674.215,4666.615,loss,-1.0778,0.0778,280.0,-360.0,4670.215,4657.558,1.6269,360.0,0.01,200.0,0.01
XAUUSD,30,1.1111111111111112,2026-05,2026-05-07,2026-05-07 08:00:00,2026-05-07 08:00:00,BUY,4750.672,4747.072,4754.672,4747.072,loss,-1.0778,0.0778,280.0,-360.0,4750.672,4731.409,2.2158,360.0,0.01,200.0,0.01
XAUUSD,30,1.1111111111111112,2026-05,2026-05-12,2026-05-12 07:30:00,2026-05-12 07:30:00,BUY,4699.73,4696.13,4703.73,4696.13,loss,-1.0778,0.0778,280.0,-360.0,4699.73,4686.483,1.5425,360.0,0.01,200.0,0.01
XAUUSD,30,1.1111111111111112,2026-05,2026-05-13,2026-05-13 08:15:00,2026-05-13 08:15:00,SELL,4696.565,4700.165,4692.565,4700.165,loss,-1.0778,0.0778,280.0,-360.0,4708.873,4696.565,1.603,360.0,0.01,200.0,0.01
XAUUSD,30,1.1111111111111112,2026-05,2026-05-14,2026-05-14 07:30:00,2026-05-14 07:30:00,BUY,4706.794,4703.194,4710.794,4703.194,loss,-1.0778,0.0778,280.0,-360.0,4706.794,4694.533,1.2154,360.0,0.01,200.0,0.01
XAUUSD,30,1.1111111111111112,2026-05,2026-05-19,2026-05-19 07:30:00,2026-05-19 07:30:00,SELL,4543.093,4546.693,4539.093,4546.693,loss,-1.0778,0.0778,280.0,-360.0,4555.099,4543.093,1.4118,360.0,0.01,200.0,0.01
XAUUSD,30,1.1111111111111112,2026-05,2026-05-20,2026-05-20 07:30:00,2026-05-20 07:30:00,BUY,4485.14,4481.54,4489.14,4481.54,loss,-1.0778,0.0778,280.0,-360.0,4485.14,4471.907,1.4069,360.0,0.01,200.0,0.01
XAUUSD,30,1.1111111111111112,2026-05,2026-05-21,2026-05-21 08:00:00,2026-05-21 08:00:00,BUY,4524.274,4520.674,4528.274,4520.674,loss,-1.0778,0.0778,280.0,-360.0,4524.274,4511.588,1.4911,360.0,0.01,200.0,0.01
XAUUSD,30,1.1111111111111112,2026-05,2026-05-26,2026-05-26 07:30:00,2026-05-26 07:30:00,SELL,4522.042,4525.642,4518.042,4525.642,loss,-1.0778,0.0778,280.0,-360.0,4533.947,4522.042,1.9684,360.0,0.01,200.0,0.01
XAUUSD,30,1.1111111111111112,2026-05,2026-05-27,2026-05-27 07:45:00,2026-05-27 07:45:00,SELL,4479.959,4483.559,4475.959,4483.559,loss,-1.0778,0.0778,280.0,-360.0,4489.006,4479.959,1.091,360.0,0.01,200.0,0.01
XAUUSD,30,1.1111111111111112,2026-05,2026-05-28,2026-05-28 07:45:00,2026-05-28 07:45:00,SELL,4383.697,4387.297,4379.697,4387.297,loss,-1.0778,0.0778,280.0,-360.0,4396.46,4383.697,1.1754,360.0,0.01,200.0,0.01
XAUUSD,30,1.1111111111111112,2026-06,2026-06-02,2026-06-02 07:30:00,2026-06-02 07:45:00,SELL,4533.175,4536.775,4529.175,4529.175,win,1.0333,0.0778,280.0,400.0,4541.596,4533.175,1.1218,360.0,0.01,200.0,0.01
