bot,symbol,timeframe,month,opened_at,closed_at,direction,entry,stop_loss,take_profit,exit_price,result,r_multiple,setup_score,spread_r,spread_points,atr,reason,balance_before,risk_amount,pnl,balance_after
Trend,GBPJPY,H1,2026-06,2026-06-10 13:00:00,2026-06-10 15:00:00,BUY,215.061,214.734643,216.040071,214.734643,loss,-1.0674,84,0.0674,22.0,0.217571,EMA trend aligned with ADX breakout.,57.38,2.87,-3.06,54.31
NewsPulse,US30,M1,2026-06,2026-06-10 14:00:00,2026-06-10 14:03:00,SELL,50732.1,50784.4,50627.5,50784.4,loss,-1.0402,88,0.0402,21.0,47.592857,News straddle sell pulse around 10:00 NY.,54.31,2.72,-2.82,51.49
NewsPulse,XAGUSD,M1,2026-06,2026-06-10 14:00:00,2026-06-10 14:00:00,SELL,65.398,65.601,64.992,65.601,loss,-1.1478,77,0.1478,30.0,0.151143,News straddle sell pulse around 10:00 NY.,51.49,2.57,-2.95,48.53
Trend,XAUUSD,H1,2026-06,2026-06-10 14:00:00,2026-06-10 14:00:00,SELL,4124.67,4170.164036,3988.187893,4170.164036,loss,-1.0572,85,0.0572,260.0,30.329357,EMA trend aligned with ADX breakdown.,48.53,2.43,-2.57,45.97
NewsPulse,BTCUSD,M1,2026-06,2026-06-10 18:00:00,2026-06-10 18:07:00,BUY,61941.93,61844.87,62136.05,61941.93,trail_stop,0.397,82,0.103,1000.0,84.699286,News straddle buy pulse around 14:00 NY.,45.97,2.3,0.91,46.88
NewsPulse,US30,M1,2026-06,2026-06-10 18:00:00,2026-06-10 18:08:00,BUY,50333.3,50285.4,50429.1,50333.3,trail_stop,0.4562,88,0.0438,21.0,43.964286,News straddle buy pulse around 14:00 NY.,46.88,2.34,1.07,47.95
Trend,US30,H1,2026-06,2026-06-10 19:00:00,2026-06-11 07:00:00,SELL,49999.1,50327.503571,49013.889286,50327.503571,loss,-1.0064,90,0.0064,21.0,218.935714,EMA trend aligned with ADX breakdown.,47.95,2.4,-2.41,45.54
Trend,XAUUSD,H1,2026-06,2026-06-10 19:00:00,2026-06-11 01:00:00,SELL,4082.848,4129.316607,3943.442179,4082.848,trail_stop,0.444,85,0.056,260.0,30.979071,EMA trend aligned with ADX breakdown.,45.54,2.28,1.01,46.55
NewsPulse,BTCUSD,M1,2026-06,2026-06-11 12:30:00,2026-06-11 12:30:00,SELL,62571.28,62707.87,62298.1,62707.87,loss,-1.0732,85,0.0732,1000.0,116.543571,News straddle sell pulse around 08:30 NY.,46.55,2.33,-2.5,44.05
NewsPulse,BTCUSD,M1,2026-06,2026-06-11 14:00:00,2026-06-11 14:05:00,BUY,62993.28,62891.74,63196.36,62891.74,loss,-1.0985,82,0.0985,1000.0,83.705714,News straddle buy pulse around 10:00 NY.,44.05,2.2,-2.42,41.63
NewsPulse,US30,M1,2026-06,2026-06-11 14:00:00,2026-06-11 14:16:00,SELL,50374.2,50455.8,50211.0,50211.0,win,1.4743,89,0.0257,21.0,42.7,News straddle sell pulse around 10:00 NY.,41.63,2.08,3.07,44.7
NewsPulse,BTCUSD,M1,2026-06,2026-06-11 18:00:00,2026-06-11 18:08:00,BUY,63589.43,63298.2,64171.89,63298.2,loss,-1.0343,89,0.0343,1000.0,115.472143,News straddle buy pulse around 14:00 NY.,44.7,2.24,-2.31,42.39
NewsPulse,XAGUSD,M1,2026-06,2026-06-11 18:00:00,2026-06-11 18:03:00,BUY,65.932,65.736,66.324,65.736,loss,-1.1531,77,0.1531,30.0,0.147714,News straddle buy pulse around 14:00 NY.,42.39,2.12,-2.44,39.94
NewsPulse,BTCUSD,M1,2026-06,2026-06-12 12:30:00,2026-06-12 12:48:00,SELL,63438.07,63519.45,63275.31,63438.07,trail_stop,0.3771,80,0.1229,1000.0,44.555,News straddle sell pulse around 08:30 NY.,39.94,2.0,0.75,40.7
NewsPulse,US30,M1,2026-06,2026-06-12 12:30:00,2026-06-12 12:33:00,BUY,51217.2,51203.8,51244.0,51203.8,loss,-1.1567,76,0.1567,21.0,13.257143,News straddle buy pulse around 08:30 NY.,40.7,2.03,-2.35,38.34
NewsPulse,BTCUSD,M1,2026-06,2026-06-12 14:00:00,2026-06-12 14:00:00,BUY,63365.68,63248.41,63600.22,63248.41,loss,-1.0853,83,0.0853,1000.0,78.566429,News straddle buy pulse around 10:00 NY.,38.34,1.92,-2.08,36.26
NewsPulse,XAGUSD,M1,2026-06,2026-06-12 14:00:00,2026-06-12 14:00:00,BUY,66.497,66.281,66.929,66.281,loss,-1.1389,78,0.1389,30.0,0.144643,News straddle buy pulse around 10:00 NY.,36.26,1.81,-2.07,34.2
NewsPulse,US30,M1,2026-06,2026-06-12 18:00:00,2026-06-12 18:01:00,BUY,51273.1,51251.6,51316.1,51273.1,trail_stop,0.4023,82,0.0977,21.0,18.714286,News straddle buy pulse around 14:00 NY.,34.2,1.71,0.69,34.89
NewsPulse,BTCUSD,M1,2026-06,2026-06-14 18:00:00,2026-06-14 18:09:00,BUY,63716.13,63651.65,63845.09,63651.65,loss,-1.1551,76,0.1551,1000.0,41.747857,News straddle buy pulse around 14:00 NY.,34.89,1.74,-2.01,32.87
Trend,BTCUSD,H1,2026-06,2026-06-14 21:00:00,2026-06-14 21:00:00,BUY,65278.55,64757.446786,66841.859643,64757.446786,loss,-1.0192,89,0.0192,1000.0,347.402143,EMA trend aligned with ADX breakout.,32.87,1.64,-1.68,31.2
Trend,BTCUSD,H1,2026-06,2026-06-15 12:00:00,2026-06-15 19:00:00,BUY,66528.38,65945.017143,68278.468571,66528.38,trail_stop,0.4829,89,0.0171,1000.0,388.908571,EMA trend aligned with ADX breakout.,31.2,1.56,0.75,31.95
Trend,US30,H1,2026-06,2026-06-15 12:00:00,2026-06-15 12:00:00,BUY,51844.3,51728.135714,52192.792857,51728.135714,loss,-1.0181,89,0.0181,21.0,77.442857,EMA trend aligned with ADX breakout.,31.95,1.6,-1.63,30.32
